record,lma_code,lma_fips,lma_title
1,MC0110700000000,10700,"Albertville, AL Micropolitan Statistical Area"
2,MC0110760000000,10760,"Alexander City, AL Micropolitan Statistical Area"
3,MT0111500000000,11500,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
4,MC0112120000000,12120,"Atmore, AL Micropolitan Statistical Area"
5,MT0112220000000,12220,"Auburn-Opelika, AL Metropolitan Statistical Area"
6,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
7,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
8,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
9,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
10,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
11,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
12,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area"
13,CN0101100000000,011,"Bullock County, AL"
14,CN0101300000000,013,"Butler County, AL"
15,CN0101900000000,019,"Cherokee County, AL"
16,CN0102300000000,023,"Choctaw County, AL"
17,CN0102500000000,025,"Clarke County, AL"
18,CN0102700000000,027,"Clay County, AL"
19,CN0102900000000,029,"Cleburne County, AL"
20,MT1317980000000,17980,"Columbus, GA-AL Metropolitan Statistical Area"
21,CN0103500000000,035,"Conecuh County, AL"
22,CN0103900000000,039,"Covington County, AL"
23,CN0104100000000,041,"Crenshaw County, AL"
24,MC0118980000000,18980,"Cullman, AL Micropolitan Statistical Area"
25,MT0119300000000,19300,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
26,MT0119460000000,19460,"Decatur, AL Metropolitan Statistical Area"
27,MT0119460000000,19460,"Decatur, AL Metropolitan Statistical Area"
28,MT0120020000000,20020,"Dothan, AL Metropolitan Statistical Area"
29,MT0120020000000,20020,"Dothan, AL Metropolitan Statistical Area"
30,MT0120020000000,20020,"Dothan, AL Metropolitan Statistical Area"
31,MC0121460000000,21460,"Enterprise, AL Micropolitan Statistical Area"
32,MC0121640000000,21640,"Eufaula, AL-GA Micropolitan Statistical Area"
33,CN0105700000000,057,"Fayette County, AL"
