,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG
0,10180,"Abilene, TX Metro Area",2005,146427,10/1/15,2015.0,2016.0,0
1,10180,"Abilene, TX Metro Area",2006,158548,10/1/15,2015.0,2016.0,0
2,10180,"Abilene, TX Metro Area",2007,159439,10/1/15,2015.0,2016.0,0
3,10180,"Abilene, TX Metro Area",2008,160012,10/1/15,2015.0,2016.0,0
4,10180,"Abilene, TX Metro Area",2009,160266,10/1/15,2015.0,2016.0,0
5,10180,"Abilene, TX Metro Area",2010,164941,10/1/15,2015.0,2016.0,0
6,10180,"Abilene, TX Metro Area",2011,165858,10/1/15,2015.0,2016.0,0
7,10180,"Abilene, TX Metro Area",2012,167800,10/1/15,2015.0,2016.0,0
8,10180,"Abilene, TX Metro Area",2013,168144,10/1/15,2015.0,2016.0,0
9,10180,"Abilene, TX Metro Area",2014,166900,10/1/15,2015.0,2016.0,0
10,10180,"Abilene, TX Metro Area",2015,168922,10/1/15,2015.0,2016.0,0
11,10180,"Abilene, TX Metro Area",2016,170860,10/1/15,2015.0,2016.0,1
12,10180,"Abilene, TX Metro Area",2017,169747,10/1/15,2015.0,2016.0,1
13,10420,"Akron, OH Metro Area",2005,684459,12/1/14,2014.0,2015.0,0
14,10420,"Akron, OH Metro Area",2006,700943,12/1/14,2014.0,2015.0,0
15,10420,"Akron, OH Metro Area",2007,699356,12/1/14,2014.0,2015.0,0
16,10420,"Akron, OH Metro Area",2008,698553,12/1/14,2014.0,2015.0,0
17,10420,"Akron, OH Metro Area",2009,699935,12/1/14,2014.0,2015.0,0
18,10420,"Akron, OH Metro Area",2010,702951,12/1/14,2014.0,2015.0,0
19,10420,"Akron, OH Metro Area",2011,701456,12/1/14,2014.0,2015.0,0
20,10420,"Akron, OH Metro Area",2012,702262,12/1/14,2014.0,2015.0,0
21,10420,"Akron, OH Metro Area",2013,705686,12/1/14,2014.0,2015.0,0
22,10420,"Akron, OH Metro Area",2014,703825,12/1/14,2014.0,2015.0,0
23,10420,"Akron, OH Metro Area",2015,704243,12/1/14,2014.0,2015.0,1
24,10420,"Akron, OH Metro Area",2016,702221,12/1/14,2014.0,2015.0,1
25,10420,"Akron, OH Metro Area",2017,703505,12/1/14,2014.0,2015.0,1
26,10500,"Albany, GA Metro Area",2005,158772,5/1/17,2017.0,2018.0,0
27,10500,"Albany, GA Metro Area",2006,165062,5/1/17,2017.0,2018.0,0
28,10500,"Albany, GA Metro Area",2007,162767,5/1/17,2017.0,2018.0,0
29,10500,"Albany, GA Metro Area",2008,163074,5/1/17,2017.0,2018.0,0
30,10500,"Albany, GA Metro Area",2009,164238,5/1/17,2017.0,2018.0,0
31,10500,"Albany, GA Metro Area",2010,162659,5/1/17,2017.0,2018.0,0
32,10500,"Albany, GA Metro Area",2011,161617,5/1/17,2017.0,2018.0,0
33,10500,"Albany, GA Metro Area",2012,155019,5/1/17,2017.0,2018.0,0
34,10500,"Albany, GA Metro Area",2013,156277,5/1/17,2017.0,2018.0,0
35,10500,"Albany, GA Metro Area",2014,152596,5/1/17,2017.0,2018.0,0
36,10500,"Albany, GA Metro Area",2015,156997,5/1/17,2017.0,2018.0,0
37,10500,"Albany, GA Metro Area",2016,152506,5/1/17,2017.0,2018.0,0
38,10500,"Albany, GA Metro Area",2017,151754,5/1/17,2017.0,2018.0,0
39,10540,"Albany, OR Metro Area",2013,118765,6/1/18,2018.0,2019.0,0
40,10540,"Albany, OR Metro Area",2014,119356,6/1/18,2018.0,2019.0,0
41,10540,"Albany, OR Metro Area",2015,120547,6/1/18,2018.0,2019.0,0
