,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,MNAME_y,TNC_CLUSTER,TNC_TRIPS_PER_PERSON,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA
388,14500,"Boulder, CO Metro Area",2017,322514,2/1/14,2014,2015,1,"Boulder, CO Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
389,14740,"Bremerton-Silverdale, WA Metro Area",2017,266414,5/1/16,2016,2017,1,"Bremerton-Silverdale, WA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
266,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2015,948053,4/1/14,2014,2015,1,"Bridgeport-Stamford-Norwalk, CT Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
323,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2016,944177,4/1/14,2014,2015,1,"Bridgeport-Stamford-Norwalk, CT Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
390,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,949921,4/1/14,2014,2015,1,"Bridgeport-Stamford-Norwalk, CT Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
324,16580,"Champaign-Urbana, IL Metro Area",2016,239872,2/1/15,2015,2016,1,"Champaign-Urbana, IL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
391,16580,"Champaign-Urbana, IL Metro Area",2017,241000,2/1/15,2015,2016,1,"Champaign-Urbana, IL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
525,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2014,2380314,9/1/13,2013,2014,1,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
267,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015,2426363,9/1/13,2013,2014,1,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
325,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016,2474314,9/1/13,2013,2014,1,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
392,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017,2525305,9/1/13,2013,2014,1,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
268,17140,"Cincinnati, OH-KY-IN Metro Area",2015,2159329,3/1/14,2014,2015,1,"Cincinnati, OH-KY-IN Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
326,17140,"Cincinnati, OH-KY-IN Metro Area",2016,2161441,3/1/14,2014,2015,1,"Cincinnati, OH-KY-IN Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
393,17140,"Cincinnati, OH-KY-IN Metro Area",2017,2180746,3/1/14,2014,2015,1,"Cincinnati, OH-KY-IN Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
269,17460,"Cleveland-Elyria, OH Metro Area",2015,2060810,4/1/14,2014,2015,1,"Cleveland-Elyria, OH Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
327,17460,"Cleveland-Elyria, OH Metro Area",2016,2055612,4/1/14,2014,2015,1,"Cleveland-Elyria, OH Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
394,17460,"Cleveland-Elyria, OH Metro Area",2017,2058844,4/1/14,2014,2015,1,"Cleveland-Elyria, OH Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
526,18140,"Columbus, OH Metro Area",2014,1994536,12/1/13,2013,2014,1,"Columbus, OH Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
270,18140,"Columbus, OH Metro Area",2015,2021632,12/1/13,2013,2014,1,"Columbus, OH Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
328,18140,"Columbus, OH Metro Area",2016,2041520,12/1/13,2013,2014,1,"Columbus, OH Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
395,18140,"Columbus, OH Metro Area",2017,2078725,12/1/13,2013,2014,1,"Columbus, OH Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
271,19380,"Dayton, OH Metro Area",2015,800909,10/1/14,2014,2015,1,"Dayton, OH Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
329,19380,"Dayton, OH Metro Area",2016,800683,10/1/14,2014,2015,1,"Dayton, OH Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
396,19380,"Dayton, OH Metro Area",2017,803416,10/1/14,2014,2015,1,"Dayton, OH Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
272,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2015,623279,12/1/14,2014,2015,1,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
330,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2016,637674,12/1/14,2014,2015,1,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
397,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2017,649202,12/1/14,2014,2015,1,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
527,19820,"Detroit-Warren-Dearborn, MI Metro Area",2014,4296611,3/1/13,2013,2014,1,"Detroit-Warren-Dearborn, MI Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
273,19820,"Detroit-Warren-Dearborn, MI Metro Area",2015,4302043,3/1/13,2013,2014,1,"Detroit-Warren-Dearborn, MI Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
331,19820,"Detroit-Warren-Dearborn, MI Metro Area",2016,4297617,3/1/13,2013,2014,1,"Detroit-Warren-Dearborn, MI Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
398,19820,"Detroit-Warren-Dearborn, MI Metro Area",2017,4313002,3/1/13,2013,2014,1,"Detroit-Warren-Dearborn, MI Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
274,20500,"Durham-Chapel Hill, NC Metro Area",2015,552493,6/1/14,2014,2015,1,"Durham-Chapel Hill, NC Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
332,20500,"Durham-Chapel Hill, NC Metro Area",2016,559535,6/1/14,2014,2015,1,"Durham-Chapel Hill, NC Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
399,20500,"Durham-Chapel Hill, NC Metro Area",2017,567428,6/1/14,2014,2015,1,"Durham-Chapel Hill, NC Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
275,21340,"El Paso, TX Metro Area",2015,838019,7/1/14,2014,2015,1,"El Paso, TX Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
333,21340,"El Paso, TX Metro Area",2016,842114,7/1/14,2014,2015,1,"El Paso, TX Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
400,21340,"El Paso, TX Metro Area",2017,842677,7/1/14,2014,2015,1,"El Paso, TX Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
276,23420,"Fresno, CA Metro Area",2015,974861,2/1/14,2014,2015,1,"Fresno, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
334,23420,"Fresno, CA Metro Area",2016,979915,2/1/14,2014,2015,1,"Fresno, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
401,23420,"Fresno, CA Metro Area",2017,989255,2/1/14,2014,2015,1,"Fresno, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
277,24340,"Grand Rapids-Wyoming, MI Metro Area",2015,1038583,8/1/14,2014,2015,1,"Grand Rapids-Wyoming, MI Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
335,24340,"Grand Rapids-Wyoming, MI Metro Area",2016,1047099,8/1/14,2014,2015,1,"Grand Rapids-Wyoming, MI Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
402,24340,"Grand Rapids-Wyoming, MI Metro Area",2017,1059113,8/1/14,2014,2015,1,"Grand Rapids-Wyoming, MI Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
336,25420,"Harrisburg-Carlisle, PA Metro Area",2016,568033,2/1/15,2015,2016,1,"Harrisburg-Carlisle, PA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
403,25420,"Harrisburg-Carlisle, PA Metro Area",2017,571903,2/1/15,2015,2016,1,"Harrisburg-Carlisle, PA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
278,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2015,1211324,7/1/14,2014,2015,1,"Hartford-West Hartford-East Hartford, CT Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
337,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2016,1206836,7/1/14,2014,2015,1,"Hartford-West Hartford-East Hartford, CT Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
404,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2017,1210259,7/1/14,2014,2015,1,"Hartford-West Hartford-East Hartford, CT Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
528,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2014,1972241,6/1/13,2013,2014,1,"Indianapolis-Carmel-Anderson, IN Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
279,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2015,1988152,6/1/13,2013,2014,1,"Indianapolis-Carmel-Anderson, IN Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
338,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2016,2001737,6/1/13,2013,2014,1,"Indianapolis-Carmel-Anderson, IN Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
405,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2017,2027059,6/1/13,2013,2014,1,"Indianapolis-Carmel-Anderson, IN Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
280,27260,"Jacksonville, FL Metro Area",2015,1449481,1/1/14,2014,2015,1,"Jacksonville, FL Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
339,27260,"Jacksonville, FL Metro Area",2016,1478212,1/1/14,2014,2015,1,"Jacksonville, FL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
406,27260,"Jacksonville, FL Metro Area",2017,1504980,1/1/14,2014,2015,1,"Jacksonville, FL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
281,28140,"Kansas City, MO-KS Metro Area",2015,2088269,5/1/14,2014,2015,1,"Kansas City, MO-KS Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
340,28140,"Kansas City, MO-KS Metro Area",2016,2104115,5/1/14,2014,2015,1,"Kansas City, MO-KS Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
407,28140,"Kansas City, MO-KS Metro Area",2017,2126945,5/1/14,2014,2015,1,"Kansas City, MO-KS Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
408,28420,"Kennewick-Richland, WA Metro Area",2017,290296,12/1/16,2016,2017,1,"Kennewick-Richland, WA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
341,29540,"Lancaster, PA Metro Area",2016,538500,4/1/15,2015,2016,1,"Lancaster, PA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
409,29540,"Lancaster, PA Metro Area",2017,542903,4/1/15,2015,2016,1,"Lancaster, PA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
282,29620,"Lansing-East Lansing, MI Metro Area",2015,472276,8/1/14,2014,2015,1,"Lansing-East Lansing, MI Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
342,29620,"Lansing-East Lansing, MI Metro Area",2016,475099,8/1/14,2014,2015,1,"Lansing-East Lansing, MI Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
410,29620,"Lansing-East Lansing, MI Metro Area",2017,477656,8/1/14,2014,2015,1,"Lansing-East Lansing, MI Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
343,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2016,2155664,9/1/15,2015,2016,1,"Las Vegas-Henderson-Paradise, NV Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
411,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2017,2204079,9/1/15,2015,2016,1,"Las Vegas-Henderson-Paradise, NV Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
283,31140,"Louisville-Jefferson County, KY-IN Metro Area",2015,1279335,4/1/14,2014,2015,1,"Louisville-Jefferson County, KY-IN Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
344,31140,"Louisville-Jefferson County, KY-IN Metro Area",2016,1283297,4/1/14,2014,2015,1,"Louisville-Jefferson County, KY-IN Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
412,31140,"Louisville-Jefferson County, KY-IN Metro Area",2017,1293722,4/1/14,2014,2015,1,"Louisville-Jefferson County, KY-IN Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
284,31540,"Madison, WI Metro Area",2015,641385,3/1/14,2014,2015,1,"Madison, WI Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
345,31540,"Madison, WI Metro Area",2016,648929,3/1/14,2014,2015,1,"Madison, WI Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
413,31540,"Madison, WI Metro Area",2017,654230,3/1/14,2014,2015,1,"Madison, WI Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
285,32820,"Memphis, TN-MS-AR Metro Area",2015,1343572,5/1/14,2014,2015,1,"Memphis, TN-MS-AR Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
346,32820,"Memphis, TN-MS-AR Metro Area",2016,1346437,5/1/14,2014,2015,1,"Memphis, TN-MS-AR Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
414,32820,"Memphis, TN-MS-AR Metro Area",2017,1346626,5/1/14,2014,2015,1,"Memphis, TN-MS-AR Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
286,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2015,1575747,3/1/14,2014,2015,1,"Milwaukee-Waukesha-West Allis, WI Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
347,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2016,1572482,3/1/14,2014,2015,1,"Milwaukee-Waukesha-West Allis, WI Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
415,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2017,1576236,3/1/14,2014,2015,1,"Milwaukee-Waukesha-West Allis, WI Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
529,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2014,1792468,12/1/13,2013,2014,1,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
287,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2015,1830298,12/1/13,2013,2014,1,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
348,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2016,1865535,12/1/13,2013,2014,1,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
416,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2017,1904226,12/1/13,2013,2014,1,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
288,35300,"New Haven-Milford, CT Metro Area",2015,859470,5/1/14,2014,2015,1,"New Haven-Milford, CT Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
349,35300,"New Haven-Milford, CT Metro Area",2016,856875,5/1/14,2014,2015,1,"New Haven-Milford, CT Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
417,35300,"New Haven-Milford, CT Metro Area",2017,860435,5/1/14,2014,2015,1,"New Haven-Milford, CT Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
289,35380,"New Orleans-Metairie, LA Metro Area",2015,1262888,9/1/14,2014,2015,1,"New Orleans-Metairie, LA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
350,35380,"New Orleans-Metairie, LA Metro Area",2016,1268883,9/1/14,2014,2015,1,"New Orleans-Metairie, LA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
418,35380,"New Orleans-Metairie, LA Metro Area",2017,1275762,9/1/14,2014,2015,1,"New Orleans-Metairie, LA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
290,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2015,768918,12/1/14,2014,2015,1,"North Port-Sarasota-Bradenton, FL Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
351,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2016,788457,12/1/14,2014,2015,1,"North Port-Sarasota-Bradenton, FL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
419,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2017,804690,12/1/14,2014,2015,1,"North Port-Sarasota-Bradenton, FL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
352,36260,"Ogden-Clearfield, UT Metro Area",2016,656061,3/1/15,2015,2016,1,"Ogden-Clearfield, UT Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
420,36260,"Ogden-Clearfield, UT Metro Area",2017,666547,3/1/15,2015,2016,1,"Ogden-Clearfield, UT Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
530,36420,"Oklahoma City, OK Metro Area",2014,1336767,11/1/13,2013,2014,1,"Oklahoma City, OK Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
291,36420,"Oklahoma City, OK Metro Area",2015,1358452,11/1/13,2013,2014,1,"Oklahoma City, OK Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
353,36420,"Oklahoma City, OK Metro Area",2016,1373211,11/1/13,2013,2014,1,"Oklahoma City, OK Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
421,36420,"Oklahoma City, OK Metro Area",2017,1383737,11/1/13,2013,2014,1,"Oklahoma City, OK Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
354,36500,"Olympia-Tumwater, WA Metro Area",2016,275222,6/1/15,2015,2016,1,"Olympia-Tumwater, WA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
422,36500,"Olympia-Tumwater, WA Metro Area",2017,280588,6/1/15,2015,2016,1,"Olympia-Tumwater, WA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
292,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2015,2387138,6/1/14,2014,2015,1,"Orlando-Kissimmee-Sanford, FL Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
355,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2016,2441257,6/1/14,2014,2015,1,"Orlando-Kissimmee-Sanford, FL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
423,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2017,2509831,6/1/14,2014,2015,1,"Orlando-Kissimmee-Sanford, FL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
293,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2015,850536,5/1/14,2014,2015,1,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
356,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2016,849738,5/1/14,2014,2015,1,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
424,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2017,854223,5/1/14,2014,2015,1,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
294,38860,"Portland-South Portland, ME Metro Area",2015,526295,10/1/14,2014,2015,1,"Portland-South Portland, ME Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
357,38860,"Portland-South Portland, ME Metro Area",2016,529657,10/1/14,2014,2015,1,"Portland-South Portland, ME Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
425,38860,"Portland-South Portland, ME Metro Area",2017,532083,10/1/14,2014,2015,1,"Portland-South Portland, ME Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
531,39300,"Providence-Warwick, RI-MA Metro Area",2014,1609367,11/1/13,2013,2014,1,"Providence-Warwick, RI-MA Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
295,39300,"Providence-Warwick, RI-MA Metro Area",2015,1613070,11/1/13,2013,2014,1,"Providence-Warwick, RI-MA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
358,39300,"Providence-Warwick, RI-MA Metro Area",2016,1614750,11/1/13,2013,2014,1,"Providence-Warwick, RI-MA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
426,39300,"Providence-Warwick, RI-MA Metro Area",2017,1621122,11/1/13,2013,2014,1,"Providence-Warwick, RI-MA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
359,39340,"Provo-Orem, UT Metro Area",2016,602543,4/1/15,2015,2016,1,"Provo-Orem, UT Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
427,39340,"Provo-Orem, UT Metro Area",2017,617678,4/1/15,2015,2016,1,"Provo-Orem, UT Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
296,39580,"Raleigh, NC Metro Area",2015,1273568,4/1/14,2014,2015,1,"Raleigh, NC Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
360,39580,"Raleigh, NC Metro Area",2016,1302946,4/1/14,2014,2015,1,"Raleigh, NC Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
428,39580,"Raleigh, NC Metro Area",2017,1335079,4/1/14,2014,2015,1,"Raleigh, NC Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
361,39900,"Reno, NV Metro Area",2016,457387,9/1/15,2015,2016,1,"Reno, NV Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
429,39900,"Reno, NV Metro Area",2017,465208,9/1/15,2015,2016,1,"Reno, NV Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
297,40060,"Richmond, VA Metro Area",2015,1271142,8/1/14,2014,2015,1,"Richmond, VA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
362,40060,"Richmond, VA Metro Area",2016,1282066,8/1/14,2014,2015,1,"Richmond, VA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
430,40060,"Richmond, VA Metro Area",2017,1301540,8/1/14,2014,2015,1,"Richmond, VA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
298,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2015,4489159,2/1/14,2014,2015,1,"Riverside-San Bernardino-Ontario, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
363,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2016,4527837,2/1/14,2014,2015,1,"Riverside-San Bernardino-Ontario, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
431,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2017,4580670,2/1/14,2014,2015,1,"Riverside-San Bernardino-Ontario, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
532,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2014,2244397,2/1/13,2013,2014,1,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
299,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2015,2274194,2/1/13,2013,2014,1,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
364,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2016,2296418,2/1/13,2013,2014,1,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
432,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2017,2324884,2/1/13,2013,2014,1,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
300,41180,"St. Louis, MO-IL Metro Area",2015,2812313,11/1/14,2014,2015,1,"St. Louis, MO-IL Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
365,41180,"St. Louis, MO-IL Metro Area",2016,2807954,11/1/14,2014,2015,1,"St. Louis, MO-IL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
433,41180,"St. Louis, MO-IL Metro Area",2017,2807216,11/1/14,2014,2015,1,"St. Louis, MO-IL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
301,41500,"Salinas, CA Metro Area",2015,433898,8/1/14,2014,2015,1,"Salinas, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
366,41500,"Salinas, CA Metro Area",2016,435232,8/1/14,2014,2015,1,"Salinas, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
434,41500,"Salinas, CA Metro Area",2017,437907,8/1/14,2014,2015,1,"Salinas, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
302,41620,"Salt Lake City, UT Metro Area",2015,1170266,5/1/14,2014,2015,1,"Salt Lake City, UT Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
367,41620,"Salt Lake City, UT Metro Area",2016,1186187,5/1/14,2014,2015,1,"Salt Lake City, UT Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
435,41620,"Salt Lake City, UT Metro Area",2017,1203105,5/1/14,2014,2015,1,"Salt Lake City, UT Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
303,41700,"San Antonio-New Braunfels, TX Metro Area",2015,2381828,4/1/14,2014,2015,1,"San Antonio-New Braunfels, TX Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
368,41700,"San Antonio-New Braunfels, TX Metro Area",2016,2429609,4/1/14,2014,2015,1,"San Antonio-New Braunfels, TX Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
436,41700,"San Antonio-New Braunfels, TX Metro Area",2017,2473974,4/1/14,2014,2015,1,"San Antonio-New Braunfels, TX Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
533,42060,"Santa Maria-Santa Barbara, CA Metro Area",2014,440668,10/1/13,2013,2014,1,"Santa Maria-Santa Barbara, CA Metro Area",21,4.4,20063673,119360751,0.168092718,8.605663344
304,42060,"Santa Maria-Santa Barbara, CA Metro Area",2015,444769,10/1/13,2013,2014,1,"Santa Maria-Santa Barbara, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
369,42060,"Santa Maria-Santa Barbara, CA Metro Area",2016,446170,10/1/13,2013,2014,1,"Santa Maria-Santa Barbara, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
437,42060,"Santa Maria-Santa Barbara, CA Metro Area",2017,448150,10/1/13,2013,2014,1,"Santa Maria-Santa Barbara, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
305,42100,"Santa Cruz-Watsonville, CA Metro Area",2015,274146,6/1/14,2014,2015,1,"Santa Cruz-Watsonville, CA Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
370,42100,"Santa Cruz-Watsonville, CA Metro Area",2016,274673,6/1/14,2014,2015,1,"Santa Cruz-Watsonville, CA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
438,42100,"Santa Cruz-Watsonville, CA Metro Area",2017,275897,6/1/14,2014,2015,1,"Santa Cruz-Watsonville, CA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
