,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,TNC_CLUSTER,TNC_TRIPS_PER_PERSON,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TOT_TNC_TRIPS
378,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",2012,19160024,5/1/11,2011,2012,1,1,21.5,19160024,47135322,1,4.242035429,81277500.63
379,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2013,19949502,5/1/11,2011,2012,1,1,21.5,19949502,95436888,1,8.249128569,164566006.9
380,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2014,20092883,5/1/11,2011,2012,1,1,21.5,20092883,119360751,1,10.24337682,205818972
381,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2015,20182305,5/1/11,2011,2012,1,1,21.5,20182305,213074972,1,18.20478427,367414508.6
382,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2016,20153634,5/1/11,2011,2012,1,1,21.5,20153634,240308609,1,20.56079127,414374662
383,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2017,20320876,5/1/11,2011,2012,1,1,21.5,20320876,253371069,1,21.5,436898834
497,41860,"San Francisco-Oakland-Fremont, CA Metro Area",2011,4391037,10/1/10,2010,2011,1,2,22.8,4391037,4391037,1,,0
498,41860,"San Francisco-Oakland-Fremont, CA Metro Area",2012,4455560,10/1/10,2010,2011,1,2,22.8,4455560,47135322,1,4.500289015,20051307.72
499,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2013,4516276,10/1/10,2010,2011,1,2,22.8,4516276,95436888,1,8.989427174,40598734.2
500,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2014,4594060,10/1/10,2010,2011,1,2,22.8,4594060,119360751,1,11.05251476,50775915.96
501,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2015,4656132,10/1/10,2010,2011,1,2,22.8,4656132,213074972,1,19.46719503,90641829.73
502,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2016,4679166,10/1/10,2010,2011,1,2,22.8,4679166,240308609,1,21.84726621,102226985.2
503,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2017,4727357,10/1/10,2010,2011,1,2,22.8,4727357,253371069,1,22.8,107783739.6
593,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2012,5804333,12/1/11,2011,2012,1,3,18.3,5804333,47135322,1,3.646270069,21164165.69
