,ID,Year,BUS_FLAG,RAIL_FLAG,CBSA, UPT ,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_TOTAL_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_VRM_ADJ,Bus_VRH_ADJ,Bus_FARE_TOTAL,Bus_FARE_per_UPT_2018,Bus_AVG_SPEED,Rail_UPT_ADJ,Rail_VRM_ADJ,Rail_VRH_ADJ,Rail_FARE_TOTAL,Rail_FARE_per_UPT_2018,Rail_AVG_SPEED,CLUSTER_APTA,CLUSTER_GT,CLUSTER_APTA_HML
276,"Lexington-Fayette, KY Metro Area-Bus",2018,1,0,0," (230,959)",-92335,-230959,-92335,32849,1416441.5,0.378205548,0,24439.25,17712,3129.5,3961.5,5182.5,4009,3171.5,24542.5,-3.77,-1.2,4.98,-0.05,-1.57,1.63,9132.25,1670.5,-5053.25,5408.25,3342.75,3764,0.5,11187,14927.5,-6.25,-2.05,8.3,-3479.19,17682.02,14202.83,-1.53,1.53,-0.64,,2799,-2.45,-0.06,0,0,4,1269867.86,3647.28,2493.76,1470.44,8170.8,10820.92,-0.8416,0.344286986,0,0,0,0,,1,85,54,85,-230959,-92335,32849,1416441.5,0.344286986,-2.45,0,0,0,0,0,0,31,2,3
256,"La Crosse, WI-MN Metro Area-Bus",2018,1,0,0," (232,926)",78576.0768,-232925.7218,78576.0768,4237.2096,-45090.75,0.082299478,0,171.25,-4838,6673,-893.75,6654.5,7362.5,4869.75,733.75,-1.85,-5.87,7.75,-0.62,-0.9,1.53,1936,1431,-2240.5,-1031.5,1985,1792,2.36,7863.25,10240.5,-7.47,5.65,1.83,-1308.87,3599.33,2290.47,-1.78,1.78,-0.64,,603.5,0.32,-0.06,0,1,1,-83105.67,5086.94,5824.94,3253.35,4829.17,6268.5,-0.8416,0.050376798,0,0,0,,,0,78,0,82,-232925.7218,78576.0768,4237.2096,-45090.75,0.050376798,0.32,0,0,0,0,0,0,31,2,3
368,"Palm Bay-Melbourne-Titusville, FL Metro Area-Bus",2018,1,0,0," (248,234)",222322,-248234,222322,11260,-469570.5,-0.161376982,0,42561.5,12253.25,22756.5,9396,2419.25,710.75,2909,41906,-3.67,-1.6,5.1,-0.25,-0.15,0.4,5016.75,-4136.5,2313,2831.5,1751,2257.75,-1.94,5842,11238,-5.8,-1.02,6.83,-8359.26,21997.05,13637.78,-3.43,3.43,-0.7,,,0.15,-0.06,0,0,4,-543176.7,907.91,-555.67,1293.38,2967.58,7365,-0.9046,-0.192597853,0,0,0,,,0,34,0,43,-248234,222322,11260,-469570.5,-0.192597853,0.15,0,0,0,0,0,0,32,3,3
169,"Fargo, ND-MN Metro Area-Bus",2018,1,0,0," (250,721)",173989,-250721,173989,15769,-198108.25,-0.042329315,0,16561,2025.25,9364.5,2226.75,7200.75,9623.75,2959,17986.25,-4.25,-2.57,6.7,0.05,-0.82,0.78,9897.25,-1723.75,989.5,4953.5,1984.5,3693.5,-2.27,12983.5,10832.75,-10.17,2.3,7.88,-38.81,9789.47,9750.67,-0.22,0.22,-0.64,,-1851,-0.24,-0.06,0,1,3,-259028.83,5460.99,7810.37,1205.98,9751.48,6318.41,-0.8416,-0.069875071,11,0,0,0,,0,96,0,65,-250721,173989,15769,-198108.25,-0.069875071,-0.24,0,0,0,0,0,0,31,2,3
294,"Lubbock, TX Metro Area-Bus",2018,1,0,0," (251,913)",91852,-251913,91852,4251,-594.75,0.07369843,0,16194,5946.75,2392,6078.75,1116.75,-869.75,6368.25,14611,1.38,-0.65,-0.87,0.18,-0.07,-0.1,1538.5,53.75,451.75,-156,2794,-1605,-0.03,749.75,4519,5.8,-11.55,5.75,-950.03,12268.56,11318.52,-0.86,0.86,-0.64,,-995.25,0.26,-0.06,0,0,4,-254595.33,-270.33,-2209.97,4833.03,-1999.75,607.84,-0.8332,0.009031894,0,0,1,,,0,66,38,61,-251913,91852,4251,-594.75,0.009031894,0.26,0,0,0,0,0,0,31,2,3
478,"Sioux City, IA-NE-SD Metro Area-Bus",2018,1,0,0," (254,140)",-32968.405,-254140.1616,-32968.405,-1524.695,-81729.25,0.108797423,0,1575,62,1853.75,-398.25,6561.75,9074.25,3594.25,2639.25,-0.72,-3.85,4.4,-0.2,-1.82,2.03,2821.75,1080.25,-3140.25,2068.75,2567.75,245.25,1.31,8613.25,14408,-9.35,-0.87,10.23,-1143.76,-690.05,-1833.81,-1.4,1.4,-0.64,,260.75,-0.27,-0.06,0,1,1,-127268.05,5019.75,7571.91,2053.21,5614.39,10609.34,-0.8416,0.067621901,0,0,0,,,0,87,0,56,-254140.1616,-32968.405,-1524.695,-81729.25,0.067621901,-0.27,0,0,0,0,0,0,31,2,3
75,"Burlington-South Burlington, VT Metro Area-Bus",2018,1,0,0," (255,122)",115496,-255122,115496,7153,-313174,-0.034608318,0,3402,4350.25,-2832.5,-1100.25,2897.75,5966.25,-3635.75,4010.25,1.63,0.58,-2.2,-1.07,-1.4,2.48,4369.25,1464.5,1743.25,1872.5,1698,-2409,1.35,-1302.25,8601.25,1.93,-5.25,3.33,-1217.31,1804.66,587.35,-0.97,0.97,-0.7,,135.25,0.11,-0.06,0,0,4,-453704.56,1138.91,4321.53,-5721.47,-5019.07,3798.07,-0.913,-0.089499938,16,0,0,0,,1,95,0,87,-255122,115496,7153,-313174,-0.089499938,0.11,0,0,0,0,0,0,31,3,3
554,"Youngstown-Warren-Boardman, OH-PA Metro Area-Bus",2018,1,0,0," (255,820)",-12453.039,-255819.647,-12453.039,3010.3832,-63366,0.064042572,0,-14736.75,-24650.75,6601.75,4578.75,3479.5,3718,2574.25,-13424.25,-2.57,2.83,-0.15,-1,-1.27,2.28,4806.75,-376.75,-1426.5,92.25,2729.5,3788.25,-0.35,3918.25,7352.75,-2.67,-1.05,3.73,-3219.67,-9652.24,-12871.92,-0.98,0.98,-0.62,,-583,-0.57,-0.06,0,1,2,-123203.88,2098.6,2346.76,1151.29,1384.57,4029.59,-0.8324,0.02805087,0,0,0,,,,0,0,0,-255819.647,-12453.039,3010.3832,-63366,0.02805087,-0.57,0,0,0,0,0,0,34,3,3
130,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2018,1,0,0," (268,832)",125289,-268832,125289,5759,-380764,-0.0858748,0,-1182.5,-6172,3360.5,-182.25,1944.75,2224.75,1307.75,-859,-3.42,0.9,2.43,0.35,-2.17,1.83,-4430.75,-293,-5683.25,-18,-552.5,2116,0.01,3223.75,9611.5,-6.07,3.68,2.4,-4454.37,2352.78,-2101.58,-2.24,2.24,-0.64,,-323.75,0.25,-0.06,0,1,3,-464692.48,274.83,587.17,-467.47,139.15,5696.02,-0.8416,-0.110388148,0,0,0,,,0,88,0,66,-268832,125289,5759,-380764,-0.110388148,0.25,0,0,0,0,0,0,31,2,3
243,"Kankakee-Bradley, IL Metro Area-Bus",2018,1,0,0," (292,356)",9216,-292356,9216,-3714,-79266.5,0.052815148,0,-2290,-614.5,906.5,-641,3723.25,3850.75,-206,-1738.5,2.63,-8.9,6.28,-1.2,-1.02,2.23,-728.75,1345,-663,-1604.75,-469.25,663.25,3.49,3147.25,6313.25,4.33,-7.4,3.08,-1677.94,4219.88,2541.94,-3.21,3.21,-0.64,,-408.5,0.99,-0.06,0,1,3,-101949.2,2123.41,2228.05,-1914.32,-355.43,2125.55,-0.8416,0.029272824,0,0,0,0,,1,86,0,45,-292356,9216,-3714,-79266.5,0.029272824,0.99,0,0,0,0,0,0,33,3,3
332,"Naples-Marco Island, FL Metro Area-Bus",2018,1,0,0," (292,357)",16588.846,-292357.0992,16588.846,5454.3486,-418507.5,-0.079364856,0,31868.75,3574.75,11430.5,4168.25,5079.25,-2861.5,5609.75,29858.75,-2.57,-2.3,5.03,-1.25,-1.65,2.9,15970,-2349.25,5116.5,8027,2583.75,2592,-2.24,11412.5,8248,-5.57,0.08,5.5,-3530.13,15552.78,12022.66,-2.48,2.48,-0.7,,1360.75,-1.38,-0.06,0,0,4,-491414.04,3449.17,-4135.78,3497.51,7930.94,2501.68,-0.9046,-0.15413429,0,0,0,,,0,77,0,58,-292357.0992,16588.846,5454.3486,-418507.5,-0.15413429,-1.38,0,0,0,0,0,0,32,2,3
211,"Holland-Grand Haven, MI Metro Area-Bus",2018,1,0,0," (292,662)",79178.898,-292661.753,79178.898,6424.7344,67424.25,0.908615093,0,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,-2421.65,12974.43,10552.78,-1.83,1.83,-0.64,,,-0.01,-0.06,0,1,1,-512484.63,,,,,,-0.8416,0.612341751,0,0,0,,,,0,0,0,-292661.753,79178.898,6424.7344,67424.25,0.612341751,-0.01,0,0,0,0,0,0,,3,1
181,"Fort Wayne, IN Metro Area-Bus",2018,1,0,0," (303,902)",-46754,-303902,-46754,-3436,-140260.25,0.06626374,0,10040.75,15319.75,-9230.25,1040.25,3479.75,6252,-486.75,11402,-3.75,0.68,3.1,-0.27,-0.92,1.2,6321,-4974.25,38,6281.25,1706.75,3269.25,-3.23,4710.5,3001.5,-6.4,2.9,3.5,-4813.87,16107.08,11293.2,-2.5,2.5,-0.64,,1100.25,0.01,-0.06,0,1,3,-239796.95,1917.65,4709.7,-2157.81,1746.2,-889.98,-0.8416,0.016421375,0,0,0,0,,1,75,47,83,-303902,-46754,-3436,-140260.25,0.016421375,0.01,0,0,0,0,0,0,32,3,3
65,"Bremerton-Silverdale, WA Metro Area-Bus",2018,1,0,0," (308,141)",242209,-308141,242209,9052,-1276040.25,-0.289349716,0,14603.25,-1105.75,8462,3389,8793.75,6648.5,10939.25,13810,-4.75,-0.1,5.03,-0.05,-1.8,1.85,12709.5,-599.5,3342.5,8949,-370.25,1387.75,-1.33,14893.5,13172.25,-7.6,-1.67,9.28,-1243.33,9192.83,7949.49,-1.43,1.43,-0.31,,-954.25,0.76,-0.06,0,1,3,-1577709.99,7017.81,5075,8948.63,11185.86,8350.17,-0.5326,-0.396387353,0,0,0,,,0,79,48,49,-308141,242209,9052,-1276040.25,-0.396387353,0.76,0,0,0,0,0,0,23,3,2
324,"Montgomery, AL Metro Area-Bus",2018,1,0,0," (308,391)",134452,-308391,134452,8668,-270598.25,0.058174804,0,-2064.5,-9049,2297.5,-260,-1371,-1065.25,1400.5,-3151.25,-0.35,-3.02,3.3,-0.67,-1.37,2.05,-3020.25,-855,-3157.75,-2576.75,1168.25,2401,-0.43,3764.75,6237,-2.9,0.13,2.78,-4475.93,7121.17,2645.24,-2.67,2.67,-0.64,,-58.75,-0.02,-0.06,0,1,2,-324167.15,-2870.76,-2388.19,-480.98,935.21,2585.76,-0.8332,-0.001194408,0,0,0,0,,0,60,0,45,-308391,134452,8668,-270598.25,-0.001194408,-0.02,0,0,0,0,0,0,34,3,3
556,"Yuba City, CA Metro Area-Bus",2018,1,0,0," (315,598)",18373,-315598,18373,1311,-234768.75,0.114269817,0,5423.5,2481.5,-6.25,582,7462.75,7843,10022,4018.5,-9.45,-6.7,15.88,-0.32,0.53,-0.2,349.25,824.5,-1227.75,-1987,985.25,1754.25,1.39,16473.5,9851.5,-11.8,5,6.8,-3539.39,5457.47,1918.08,-5.08,5.08,-0.31,,-570.75,-0.04,-0.06,0,1,2,-313099.05,6117.19,6481.42,8585.84,13586.6,6029.26,-0.5326,0.050011139,0,0,0,,,0,85,0,67,-315598,18373,1311,-234768.75,0.050011139,-0.04,0,0,0,0,0,0,31,3,3
404,"Racine, WI Metro Area-Bus",2018,1,0,0," (320,319)",-16490.8,-320318.636,-16490.8,1484.2416,-271074.5,0.032423602,0,1621.25,12147.25,-3026.5,-1854.75,5375.75,1557.25,7932.75,1466,-4.7,5.28,-0.65,-1,-0.35,1.35,3001.25,-788.25,-2184.5,3205,3022.25,-253.25,-1.25,9883.75,18651.5,-3.87,-8.8,12.68,-2982.97,2915.58,-67.39,-2.99,2.99,-0.64,,588.75,-0.44,-0.06,0,1,3,-353896.88,3700.31,-261.35,6379.71,6612.25,14550.26,-0.8416,-0.025144561,0,0,0,,,0,89,0,73,-320318.636,-16490.8,1484.2416,-271074.5,-0.025144561,-0.44,0,0,0,0,0,0,31,3,3
15,"Ames, IA Metro Area-Bus",2018,1,0,0," (330,845)",83541.808,-330844.897,83541.808,8692.096,1215080.5,0.222281598,0,4005.25,5256,-1564.25,-608.5,4423,4605.5,-478.25,1056.75,-4.3,-5.42,9.73,-0.27,-0.55,0.83,2084.75,59,1648.5,-1129.25,1570.25,-63.75,-0.23,20135,20733,-3.67,-8.6,12.28,-706.25,2249.55,1543.3,-1.3,1.3,-0.64,,1390,-0.05,-0.06,0,1,3,952032.7,3209.62,3249.92,-1619.09,17369.54,16884.12,-0.8416,0.183381973,0,0,0,,,0,27,0,77,-330844.897,83541.808,8692.096,1215080.5,0.183381973,-0.05,0,0,0,0,0,0,31,2,3
320,"Mobile, AL Metro Area-Bus",2018,1,0,0," (337,838)",-286479,-337838,-286479,-16161,-230982.25,-0.003451681,0,-1968.5,9518.5,-8462.75,-1665,2985.75,2653.75,3312.75,6264.25,0.88,1.38,-2.25,-0.77,-1.35,2.13,440.25,2707.5,-3235.25,1022,769.25,-823.25,1.74,3351.5,6634.25,-1.12,-1.37,2.5,-5406.19,8033.23,2627.03,-2.98,2.98,-0.64,,-960,-0.77,-0.06,0,1,3,-278862.79,1606.47,1372.09,1588.23,732.98,3091.43,-0.8332,-0.043956565,0,0,0,0,,1,61,0,47,-337838,-286479,-16161,-230982.25,-0.043956565,-0.77,0,0,0,0,0,0,34,3,3
148,"Duluth, MN-WI Metro Area-Bus",2018,1,0,0," (339,830)",440502,-339830,440502,37271,-282646.75,0.001408422,0,-1863.25,-4911.5,2144,-31.5,4439.5,4825.5,2949.25,-3493.25,-2.97,-1.82,4.78,-0.55,-1.35,1.9,1975,-2924,3925.25,340,653.5,-19.75,-2.61,6220,8258.75,-4.27,0.45,3.83,-1979.28,3831.84,1852.56,-1.43,1.43,-0.64,,333,-0.31,-0.06,0,1,1,-439491.91,2927.26,3292.26,1427.77,3203.5,4488.17,-0.8416,-0.049181814,4,0,0,0,,1,73,55,73,-339830,440502,37271,-282646.75,-0.049181814,-0.31,0,0,0,0,0,0,33,3,3
57,"Bloomington-Normal, IL Metro Area-Bus",2018,1,0,0," (339,876)",36520,-339876,36520,18366,-244983,-0.036506666,0,-3638.25,1127,-4256.75,64.25,3897.75,3979.25,9254.75,-4841.75,7.13,-5.05,-2.1,0.1,-2.2,2.1,-1517.75,588.75,148.25,-35.5,-618.25,-1601,0.96,11175.5,11347,4.45,-11.52,7.08,-1592.37,228.84,-1363.53,-1.69,1.69,-0.64,,,-1.98,-0.06,0,1,3,-320141.52,2135.97,2314.91,7294.55,7719.98,6905.68,-0.8416,-0.064864091,0,0,0,,,,0,0,0,-339876,36520,18366,-244983,-0.064864091,-1.98,0,0,0,0,0,0,,2,1
506,"Syracuse, NY Metro Area-Bus",2018,1,0,0," (356,226)",824411,-356226,824411,64853,467885.5,0.091683784,0,-8875.75,646.25,-11173.75,1761.5,4826.25,4196.75,6196.75,-10836,-3.1,3.1,0,-0.62,-1.1,1.73,3815.25,-611.25,-5341.75,5892.75,1918.25,1957.25,-0.4,5006.25,9004,-3.9,-0.4,4.3,-5157.03,-2107.51,-7264.56,-1.52,1.52,-0.62,,-1038,0.1,-0.06,0,1,1,-355305.62,3214.83,2551.97,4611.49,1891.35,4902.7,-0.8324,0.013467121,0,0,0,,,0,93,0,72,-356226,824411,64853,467885.5,0.013467121,0.1,0,0,0,0,0,0,23,1,2
134,"Decatur, IL Metro Area-Bus",2018,1,0,0," (357,083)",11578,-357083,11578,-585,-74808.75,0.051121786,0,-3299,-1948.75,-995.5,-776.5,2904.5,2221.5,4725.5,-3504.75,-6.17,1.4,4.68,-0.15,-2,2.15,-1961.5,-1604.5,5,-1097.5,-89,824.5,-3.33,8264.5,9823,-5.5,-1.4,6.9,-1767.76,897.3,-870.47,-3.38,3.38,-0.64,,404,0.29,-0.06,0,1,1,-108027.81,1392.74,733.38,3162.26,5410.06,6034.6,-0.8416,0.0288227,0,0,0,,,0,70,0,62,-357083,11578,-585,-74808.75,0.0288227,0.29,0,0,0,0,0,0,33,1,3
524,"Tulsa, OK Metro Area-Bus",2018,1,0,0," (364,569)",107350,-364569,107350,15512,-269604.25,0.016840107,0,24284.25,20468.25,-2581,1925.5,1707.5,273,1774,22623,-0.77,0.28,0.4,-0.55,-0.6,1.15,2713.5,-4020.25,-2767.5,-3525.75,8231.25,4795.75,-1.11,2091.75,3744,-1.65,-0.55,2.2,-2947.33,24334.35,21387.02,-0.8,0.8,-0.64,,1998.75,-0.67,-0.06,0,0,4,-429755.65,69.5,-1321.8,-42.38,-952.65,-352.62,-0.8416,-0.035070824,3,0,2,0,,1,75,48,60,-364569,107350,15512,-269604.25,-0.035070824,-0.67,0,0,0,0,0,0,32,2,3
77,"Canton-Massillon, OH Metro Area-Bus",2018,1,0,0," (370,562)",81017.91,-370562.393,81017.91,3290.4368,-329213.75,-0.038759018,0,-5435.25,-10177.5,5238,107.25,1816.25,1560,2234,-5980.75,0.8,-0.8,-0.05,-0.42,-1.4,1.83,7655.25,1448.75,-1073.5,1275.5,5208,796.5,0.48,4133.75,3042.25,0.28,-4.2,3.93,-2072.87,640.19,-1432.67,-1,1,-0.64,,-1954.25,0.2,-0.06,0,0,4,-432636.17,340.13,79.02,759.56,1270.01,-680.63,-0.8416,-0.077738521,0,0,0,0,,1,88,0,59,-370562.393,81017.91,3290.4368,-329213.75,-0.077738521,0.2,0,0,0,0,0,0,31,3,3
486,"Springfield, IL Metro Area-Bus",2018,1,0,0," (373,455)",-19629,-373455,-19629,-2129,-225759.75,-0.012370846,0,-5363.5,-7925.5,380.75,127,5903.75,6638.75,-741,-4492.75,1.45,-3.6,2.33,-1.02,-0.62,1.65,2279.25,-179,462.75,-1165.5,570,2591,-0.39,11376.75,11195.75,-2.92,-1.6,4.53,-2174.76,1346.73,-828.03,-1.93,1.93,-0.64,,-80.25,0.07,-0.06,0,1,3,-288952.23,4075.61,4808.93,-2634.36,8075.49,6803.27,-0.8416,-0.045604946,0,0,0,,,0,59,0,57,-373455,-19629,-2129,-225759.75,-0.045604946,0.07,0,0,0,0,0,0,,3,1
241,"Kalamazoo-Portage, MI Metro Area-Bus",2018,1,0,0," (379,039)",234513,-379039,234513,18565,547358.5,0.32339605,0,5801,248.25,1834,1000.25,7755.5,8942.5,3471.75,6875,-7.67,2.8,4.85,-0.55,-0.75,1.3,5906.5,-2521.5,-975.75,1924.75,5358.25,2120.75,-2.23,11940.5,18223.75,-10.97,2.13,8.85,-3420.11,8624.44,5204.33,-2.23,2.23,-0.64,,1337,-0.13,-0.06,0,0,4,399212.32,6381.32,7615.06,1948.59,9197.24,14468.23,-0.8416,0.274461981,0,0,0,,,0,90,0,77,-379039,234513,18565,547358.5,0.274461981,-0.13,0,0,0,0,0,0,33,3,3
136,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2018,1,0,0," (389,517)",374667.044,-389516.781,374667.044,24038.4457,-454841,-0.030411597,0,51507.75,22761,22056.75,11497.25,3994.25,3372,2710.75,48955.75,-0.72,-2.75,3.5,-0.27,-0.72,1,27567,-2877.25,14385.5,12338.25,2577.25,1143.25,-1.68,6530.25,9458,-5.57,-1.07,6.65,-6841.14,24094.94,17253.81,-3.14,3.14,-0.7,,-6.25,0.01,-0.06,0,0,4,-618527.42,2649.95,2081.04,1266.13,3982.17,6074.24,-0.9046,-0.089271179,0,0,0,,,0,22,0,33,-389516.781,374667.044,24038.4457,-454841,-0.089271179,0.01,0,0,0,0,0,0,24,3,2
101,"Chico, CA Metro Area-Bus",2018,1,0,0," (396,826)",-111412,-396826,-111412,-637,-85056.25,0.28909227,0,7238.75,-4735.25,12758.5,-420.5,2934.75,2252.75,5083.5,6216.5,-5.67,-0.25,5.93,-0.42,-0.82,1.25,5941,-1131.25,-133.75,1292.25,669,5244.75,-1.75,9492.25,10068.75,-8.72,5.58,3.15,-3770.13,6223.53,2453.4,-3.83,3.83,-0.31,,-1175.75,-1.44,-0.06,0,1,3,-162623.89,1710.51,1058.45,3697.2,6950.35,6188.97,-0.5326,0.233063331,0,0,0,,,0,93,0,73,-396826,-111412,-637,-85056.25,0.233063331,-1.44,0,0,0,0,0,0,31,3,3
49,"Binghamton, NY Metro Area-Bus",2018,1,0,0," (397,267)",-2985.611,-397267.368,-2985.611,-3786.1715,248374.75,0.364169313,0,-6891.25,-2619.5,-4559.75,-998.75,1242.25,1279.75,1455,-5891.75,-0.25,-1.95,2.3,-0.12,-1.55,1.68,1998.25,2349.75,-68.25,-727.5,117.25,327,2.09,2239.25,4061,-0.45,0.83,-0.37,-1906.11,-2571.25,-4477.36,-1.49,1.49,-0.62,,-1460.5,0.42,-0.06,0,1,3,90043.57,-288.41,-236.09,-263.04,-652.03,293,-0.8324,0.295925272,0,0,0,,,0,89,0,72,-397267.368,-2985.611,-3786.1715,248374.75,0.295925272,0.42,0,0,0,0,0,0,31,1,3
434,"Salem, OR Metro Area-Bus",2018,1,0,0," (402,114)",69931,-402114,69931,12509,55830,0.121748796,0,28100.25,25931.75,-10055.5,6033.5,4818.5,5663.25,5951.75,26809.25,0.95,-3.35,2.4,-0.32,-0.27,0.6,2551.5,-2214.75,-987.25,-1061,2051.25,4763.25,-1.66,7713.75,14619.5,-6.27,-1.62,7.9,-4968.99,22202.35,17233.35,-3.09,3.09,-0.31,,3998,-0.57,-0.06,0,1,1,-100254.9,3449.3,4303.17,4422.47,4743.27,10952.12,-0.5326,0.075746396,0,0,0,0,,0,89,58,89,-402114,69931,12509,55830,0.075746396,-0.57,0,0,0,0,0,0,24,2,2
55,"Bloomington, IN Metro Area-Bus",2018,1,0,0," (405,714)",-3446,-405714,-3446,1467,39161.25,0.070603022,0,4823.5,1805.5,998.5,-1049.5,3493.25,6641.5,1265,4225.25,-2.27,0.63,1.65,-0.12,-1.45,1.58,3710.75,1615.25,-955.5,3952.75,-1394.25,492.5,2.05,7921.75,8566.25,-8.1,-0.62,8.73,-2179.13,353.98,-1825.15,-2.32,2.32,-0.64,,-1425.5,-0.2,-0.06,0,0,4,-54309.27,2248.49,5410.18,-18.76,5223.97,4858.31,-0.8416,0.043976802,0,0,0,0,0,0,87,39,61,-405714,-3446,1467,39161.25,0.043976802,-0.2,0,0,0,0,0,0,31,3,3
366,"Oxnard-Thousand Oaks-Ventura, CA Metro Area-Bus",2018,1,0,0," (434,730)",203700,-434730,203700,16404,-398350,0.010487378,0,11209.25,23639.75,5798,-2232.25,3262.75,2755.25,5802,10417.75,-2.17,-1.17,3.18,-1.35,-0.47,1.83,4842.75,-570.75,-8247,-1709.25,4146.5,11223.25,-0.28,9475.25,15419,-2.65,-2.5,5.15,-12693.67,8056.09,-4637.58,-2.91,2.91,-0.31,,5778,-0.11,-0.06,0,0,4,-683822.92,1464.79,913.43,3376.8,4948.31,9494.54,-0.5326,-0.050623825,0,0,0,,,0,92,0,53,-434730,203700,16404,-398350,-0.050623825,-0.11,0,0,0,0,0,0,22,2,2
284,"Logan, UT-ID Metro Area-Bus",2018,1,0,0," (435,810)",8712,-435810,8712,321,0,0,0,9774.5,8117,5441,-527,1107.25,2992.75,-3631.5,9957.25,2.15,-2.52,0.1,-1.05,0.78,0.28,4009.25,-578.5,2770,1052.25,-1465.5,2231,-1.7,-388.25,4707.75,-5.42,-0.5,5.93,-238.31,5445.92,5207.62,-0.58,0.58,-0.51,,-199.75,0.07,-0.06,0,1,1,0,-167.93,1843.63,-5042.46,-3478.07,980.55,-0.714,0,0,0,0,,,0,80,0,70,-435810,8712,321,0,0,0.07,0,0,0,0,0,0,31,2,3
542,"Wichita, KS Metro Area-Bus",2018,1,0,0," (442,542)",156818,-442542,156818,19088,-299468.25,0.073264732,0,6374.5,10611,-1473,-2077.25,1861.75,2263.5,1057.25,2400.25,-0.97,-0.02,1.08,-0.2,-1.15,1.35,7674,2845,-2703.25,-1753.25,4199,5086.5,0.98,3295.75,2962.75,-4.65,1.78,2.88,-4714.08,1749.49,-2964.6,-1.49,1.49,-0.64,,-2136.25,-1.06,-0.06,0,0,4,-401489.97,221.65,634.56,-699.13,161.89,-1164.41,-0.8416,0.018540241,42,0,0,0,,1,75,0,60,-442542,156818,19088,-299468.25,0.018540241,-1.06,0,0,0,0,0,0,32,2,3
418,"Roanoke, VA Metro Area-Bus",2018,1,0,0," (453,115)",37708.642,-453115.265,37708.642,-269.4824,-378290.25,0.015433193,0,103.75,-5064.5,7152.25,-1261,2513,-817.5,6727,-273,-1.07,1.73,-0.45,-1.22,-1.35,2.58,4004.5,3173,-7918.75,5310.75,2962.5,477,2.13,5671.5,11618.75,-2.32,-1.95,4.28,-3579.12,1077.36,-2501.76,-2.18,2.18,-0.7,,-190,0.37,-0.06,0,0,4,-504787.59,888.62,-2354.34,4874.5,2592.42,7694.45,-0.9046,-0.038523803,17,0,0,0,,1,90,0,83,-453115.265,37708.642,-269.4824,-378290.25,-0.038523803,0.37,0,0,0,0,0,0,33,3,3
213,"Houston-Sugar Land-Baytown, TX Metro Area-Bus",2018,1,0,0," (454,152)",3897117,-454152,3897117,439444,-10636642.5,-0.149442889,0,521095.75,281422,35055.5,39452.75,2214.75,2057.75,2389.5,515463.75,-2.02,-0.25,2.23,-0.42,-0.82,1.25,102436.5,-10732,-41100.75,78307,50847.5,25114.75,-0.71,5361.25,8363.75,-3.95,0.18,3.78,-13115.92,177188.65,164072.73,-0.62,0.62,-0.64,,120573.5,-0.75,-0.06,0,0,4,-14483627.28,409.41,326.99,-7.98,1756.93,3185.99,-0.8332,-0.2053606,88,0,0,0,,0,79,94,78,-454152,3897117,439444,-10636642.5,-0.2053606,-0.75,0,0,0,0,0,0,10,4,1
490,"Springfield, MO Metro Area-Bus",2018,1,0,0," (459,792)",-4351,-459792,-4351,-2616,-133818,0.101194433,0,14966.25,26625.75,-11292,83.75,3960.25,3263.25,4976.5,15242.25,-4.47,-2.05,6.48,-0.52,-1.07,1.6,6015,1127.75,-765.25,-1794.25,2713.5,4733.25,0.43,9151.25,12931,-6.4,0.75,5.65,-5183.44,8241.94,3058.49,-2.32,2.32,-0.64,,1816.5,0.45,-0.06,0,1,2,-193647.3,2600.47,1935.81,3587.62,6676.37,9594.76,-0.8416,0.066819834,0,0,0,,,,0,0,0,-459792,-4351,-2616,-133818,0.066819834,0.45,0,0,0,0,0,0,,2,1
