COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Autauga County, AL",2016,"25,966","24,645","1,321"
"Baldwin County, AL",2016,"90,670","85,839","4,831"
"Barbour County, AL",2016,"8,417","7,717",700
"Bibb County, AL",2016,"8,623","8,067",556
"Blount County, AL",2016,"24,623","23,298","1,325"
"Bullock County, AL",2016,"4,833","4,503",330
"Butler County, AL",2016,"9,206","8,571",635
"Calhoun County, AL",2016,"45,902","42,906","2,996"
"Chambers County, AL",2016,"15,006","14,188",818
"Cherokee County, AL",2016,"11,353","10,780",573
"Chilton County, AL",2016,"19,219","18,167","1,052"
"Choctaw County, AL",2016,"4,334","3,966",368
"Clarke County, AL",2016,"7,966","7,102",864
"Clay County, AL",2016,"5,634","5,300",334
"Cleburne County, AL",2016,"5,796","5,450",346
"Coffee County, AL",2016,"20,633","19,424","1,209"
"Colbert County, AL",2016,"23,491","21,862","1,629"
"Conecuh County, AL",2016,"4,556","4,173",383
"Coosa County, AL",2016,"4,387","4,126",261
"Covington County, AL",2016,"15,519","14,472","1,047"
"Crenshaw County, AL",2016,"6,463","6,085",378
"Cullman County, AL",2016,"37,971","36,087","1,884"
"Dale County, AL",2016,"19,993","18,839","1,154"
"Dallas County, AL",2016,"15,443","14,023","1,420"
"DeKalb County, AL",2016,"29,283","27,511","1,772"
"Elmore County, AL",2016,"37,292","35,521","1,771"
"Escambia County, AL",2016,"14,577","13,611",966
"Etowah County, AL",2016,"43,345","40,787","2,558"
"Fayette County, AL",2016,"6,607","6,163",444
"Franklin County, AL",2016,"13,889","13,074",815
"Geneva County, AL",2016,"10,825","10,200",625
"Greene County, AL",2016,"2,876","2,591",285
"Hale County, AL",2016,"5,991","5,534",457
"Henry County, AL",2016,"6,733","6,295",438
"Houston County, AL",2016,"44,624","42,048","2,576"
"Jackson County, AL",2016,"23,623","22,136","1,487"
"Jefferson County, AL",2016,"311,710","293,873","17,837"
"Lamar County, AL",2016,"5,699","5,379",320
"Lauderdale County, AL",2016,"42,599","39,895","2,704"
"Lawrence County, AL",2016,"13,742","12,795",947
"Lee County, AL",2016,"72,474","68,690","3,784"
"Limestone County, AL",2016,"40,753","38,621","2,132"
"Lowndes County, AL",2016,"3,806","3,405",401
"Macon County, AL",2016,"7,881","7,282",599
"Madison County, AL",2016,"173,846","164,964","8,882"
"Marengo County, AL",2016,"7,684","7,136",548
"Marion County, AL",2016,"12,517","11,690",827
"Marshall County, AL",2016,"41,652","39,434","2,218"
"Mobile County, AL",2016,"188,082","175,642","12,440"
"Monroe County, AL",2016,"7,326","6,664",662
"Montgomery County, AL",2016,"105,928","99,944","5,984"
"Morgan County, AL",2016,"54,957","51,923","3,034"
"Perry County, AL",2016,"3,472","3,115",357
"Pickens County, AL",2016,"7,779","7,246",533
"Pike County, AL",2016,"14,973","14,002",971
"Randolph County, AL",2016,"9,444","8,918",526
"Russell County, AL",2016,"23,571","22,264","1,307"
"St. Clair County, AL",2016,"39,145","37,122","2,023"
"Shelby County, AL",2016,"109,762","105,053","4,709"
"Sumter County, AL",2016,"5,119","4,726",393
"Talladega County, AL",2016,"34,872","32,576","2,296"
"Tallapoosa County, AL",2016,"18,611","17,575","1,036"
"Tuscaloosa County, AL",2016,"99,416","93,818","5,598"
"Walker County, AL",2016,"25,607","23,706","1,901"
"Washington County, AL",2016,"6,752","6,172",580
"Wilcox County, AL",2016,"2,822","2,416",406
"Winston County, AL",2016,"9,548","8,872",676
"Aleutians East Borough, AK",2016,"2,587","2,517",70
"Aleutians West Census Area, AK",2016,"3,978","3,846",132
"Anchorage Borough/municipality, AK",2016,"155,461","146,890","8,571"
"Bethel Census Area, AK",2016,"7,246","6,214","1,032"
"Bristol Bay Borough, AK",2016,413,384,29
"Denali Borough, AK",2016,"1,094",995,99
"Dillingham Census Area, AK",2016,"2,077","1,877",200
"Fairbanks North Star Borough, AK",2016,"46,449","43,717","2,732"
"Haines Borough, AK",2016,"1,074",964,110
"Hoonah-Angoon Census Area, AK",2016,"1,205","1,062",143
"Juneau Borough/city, AK",2016,"17,338","16,559",779
"Kenai Peninsula Borough, AK",2016,"27,161","24,847","2,314"
"Ketchikan Gateway Borough, AK",2016,"7,026","6,566",460
"Kodiak Island Borough, AK",2016,"6,416","6,086",330
"Kusilvak Census Area, AK",2016,"2,725","2,136",589
"Lake and Peninsula Borough, AK",2016,655,573,82
"Matanuska-Susitna Borough, AK",2016,"47,408","43,505","3,903"
"Nome Census Area, AK",2016,"4,084","3,565",519
"North Slope Borough, AK",2016,"3,953","3,685",268
"Northwest Arctic Borough, AK",2016,"2,964","2,490",474
"Petersburg Borough, AK",2016,"1,450","1,319",131
"Prince of Wales-Hyder Census Area, AK",2016,"2,768","2,431",337
"Sitka Borough/city, AK",2016,"4,371","4,169",202
"Skagway Municipality, AK",2016,805,715,90
"Southeast Fairbanks Census Area, AK",2016,"2,996","2,674",322
"Valdez-Cordova Census Area, AK",2016,"4,810","4,396",414
"Wrangell Borough/city, AK",2016,"1,055",975,80
"Yakutat Borough/city, AK",2016,243,223,20
"Yukon-Koyukuk Census Area, AK",2016,"2,423","1,990",433
"Apache County, AZ",2016,"20,320","17,984","2,336"
"Cochise County, AZ",2016,"49,597","46,498","3,099"
"Coconino County, AZ",2016,"74,181","69,706","4,475"
"Gila County, AZ",2016,"20,996","19,474","1,522"
"Graham County, AZ",2016,"14,373","13,402",971
"Greenlee County, AZ",2016,"3,900","3,604",296
"La Paz County, AZ",2016,"8,470","7,957",513
"Maricopa County, AZ",2016,"2,080,523","1,985,001","95,522"
"Mohave County, AZ",2016,"80,509","75,168","5,341"
"Navajo County, AZ",2016,"41,330","37,908","3,422"
"Pima County, AZ",2016,"469,613","446,263","23,350"
"Pinal County, AZ",2016,"163,946","154,832","9,114"
"Santa Cruz County, AZ",2016,"19,192","17,261","1,931"
"Yavapai County, AZ",2016,"99,526","94,609","4,917"
"Yuma County, AZ",2016,"94,117","76,345","17,772"
"Arkansas County, AR",2016,"9,267","8,952",315
"Ashley County, AR",2016,"7,735","7,249",486
"Baxter County, AR",2016,"16,098","15,408",690
"Benton County, AR",2016,"127,925","124,210","3,715"
"Boone County, AR",2016,"15,930","15,346",584
"Bradley County, AR",2016,"4,292","4,067",225
"Calhoun County, AR",2016,"2,377","2,268",109
"Carroll County, AR",2016,"12,871","12,414",457
"Chicot County, AR",2016,"3,582","3,347",235
"Clark County, AR",2016,"9,384","8,970",414
"Clay County, AR",2016,"6,037","5,697",340
"Cleburne County, AR",2016,"9,474","8,912",562
"Cleveland County, AR",2016,"3,343","3,193",150
"Columbia County, AR",2016,"9,267","8,738",529
"Conway County, AR",2016,"8,444","7,962",482
"Craighead County, AR",2016,"52,230","50,539","1,691"
"Crawford County, AR",2016,"26,949","25,902","1,047"
"Crittenden County, AR",2016,"21,608","20,634",974
"Cross County, AR",2016,"7,882","7,534",348
"Dallas County, AR",2016,"2,884","2,739",145
"Desha County, AR",2016,"5,441","5,145",296
"Drew County, AR",2016,"7,809","7,357",452
"Faulkner County, AR",2016,"60,553","58,259","2,294"
"Franklin County, AR",2016,"7,362","7,066",296
"Fulton County, AR",2016,"4,666","4,464",202
"Garland County, AR",2016,"40,084","38,363","1,721"
"Grant County, AR",2016,"8,275","7,977",298
"Greene County, AR",2016,"19,799","18,953",846
"Hempstead County, AR",2016,"9,928","9,554",374
"Hot Spring County, AR",2016,"14,069","13,516",553
"Howard County, AR",2016,"5,950","5,755",195
"Independence County, AR",2016,"16,006","15,215",791
"Izard County, AR",2016,"4,964","4,686",278
"Jackson County, AR",2016,"6,057","5,680",377
"Jefferson County, AR",2016,"28,323","26,739","1,584"
"Johnson County, AR",2016,"10,526","10,028",498
"Lafayette County, AR",2016,"2,547","2,397",150
"Lawrence County, AR",2016,"6,917","6,618",299
"Lee County, AR",2016,"3,091","2,946",145
"Lincoln County, AR",2016,"4,095","3,898",197
"Little River County, AR",2016,"5,592","5,331",261
"Logan County, AR",2016,"9,121","8,703",418
"Lonoke County, AR",2016,"33,387","32,279","1,108"
"Madison County, AR",2016,"7,286","7,053",233
"Marion County, AR",2016,"6,521","6,261",260
"Miller County, AR",2016,"19,869","19,038",831
"Mississippi County, AR",2016,"18,066","16,844","1,222"
"Monroe County, AR",2016,"2,879","2,741",138
"Montgomery County, AR",2016,"3,100","2,939",161
"Nevada County, AR",2016,"3,616","3,482",134
"Newton County, AR",2016,"3,411","3,280",131
"Ouachita County, AR",2016,"9,816","9,320",496
"Perry County, AR",2016,"4,167","3,968",199
"Phillips County, AR",2016,"6,657","6,265",392
"Pike County, AR",2016,"4,170","3,991",179
"Poinsett County, AR",2016,"10,091","9,661",430
"Polk County, AR",2016,"8,150","7,752",398
"Pope County, AR",2016,"29,216","27,874","1,342"
"Prairie County, AR",2016,"3,650","3,511",139
"Pulaski County, AR",2016,"187,109","180,487","6,622"
"Randolph County, AR",2016,"6,521","6,221",300
"St. Francis County, AR",2016,"8,829","8,371",458
"Saline County, AR",2016,"56,860","55,089","1,771"
"Scott County, AR",2016,"4,420","4,256",164
"Searcy County, AR",2016,"2,989","2,853",136
"Sebastian County, AR",2016,"57,601","55,461","2,140"
"Sevier County, AR",2016,"5,627","5,352",275
"Sharp County, AR",2016,"6,050","5,722",328
"Stone County, AR",2016,"4,740","4,497",243
"Union County, AR",2016,"16,312","15,421",891
"Van Buren County, AR",2016,"6,101","5,682",419
"Washington County, AR",2016,"118,386","115,134","3,252"
"White County, AR",2016,"34,022","32,258","1,764"
"Woodruff County, AR",2016,"2,968","2,806",162
"Yell County, AR",2016,"8,668","8,281",387
"Alameda County, CA",2016,"832,455","796,753","35,702"
"Alpine County, CA",2016,555,519,36
"Amador County, CA",2016,"14,534","13,670",864
"Butte County, CA",2016,"101,713","94,995","6,718"
"Calaveras County, CA",2016,"20,812","19,632","1,180"
"Colusa County, CA",2016,"10,910","9,214","1,696"
"Contra Costa County, CA",2016,"553,635","528,876","24,759"
"Del Norte County, CA",2016,"9,762","9,028",734
"El Dorado County, CA",2016,"88,888","84,324","4,564"
"Fresno County, CA",2016,"444,982","402,728","42,254"
"Glenn County, CA",2016,"12,956","11,878","1,078"
"Humboldt County, CA",2016,"62,468","59,391","3,077"
"Imperial County, CA",2016,"75,207","57,049","18,158"
"Inyo County, CA",2016,"8,865","8,397",468
"Kern County, CA",2016,"388,311","348,006","40,305"
"Kings County, CA",2016,"57,189","51,492","5,697"
"Lake County, CA",2016,"29,086","27,133","1,953"
"Lassen County, CA",2016,"10,369","9,650",719
"Los Angeles County, CA",2016,"5,030,508","4,765,899","264,609"
"Madera County, CA",2016,"61,085","55,443","5,642"
"Marin County, CA",2016,"139,744","135,162","4,582"
"Mariposa County, CA",2016,"7,573","7,054",519
"Mendocino County, CA",2016,"39,644","37,555","2,089"
"Merced County, CA",2016,"114,393","102,304","12,089"
"Modoc County, CA",2016,"3,294","3,037",257
"Mono County, CA",2016,"8,372","7,923",449
"Monterey County, CA",2016,"218,899","202,158","16,741"
"Napa County, CA",2016,"72,994","69,862","3,132"
"Nevada County, CA",2016,"48,182","45,879","2,303"
"Orange County, CA",2016,"1,598,784","1,534,101","64,683"
"Placer County, CA",2016,"179,769","171,704","8,065"
"Plumas County, CA",2016,"7,854","7,091",763
"Riverside County, CA",2016,"1,052,365","988,072","64,293"
"Sacramento County, CA",2016,"694,482","656,950","37,532"
"San Benito County, CA",2016,"30,453","28,423","2,030"
"San Bernardino County, CA",2016,"930,888","877,173","53,715"
"San Diego County, CA",2016,"1,564,339","1,490,482","73,857"
"San Francisco County/city, CA",2016,"555,755","537,455","18,300"
"San Joaquin County, CA",2016,"318,508","292,630","25,878"
"San Luis Obispo County, CA",2016,"139,585","133,558","6,027"
"San Mateo County, CA",2016,"442,147","428,667","13,480"
"Santa Barbara County, CA",2016,"215,420","204,513","10,907"
"Santa Clara County, CA",2016,"1,028,720","989,938","38,782"
"Santa Cruz County, CA",2016,"143,850","133,851","9,999"
"Shasta County, CA",2016,"74,255","69,082","5,173"
"Sierra County, CA",2016,"1,334","1,233",101
