ID,Year,UPT_ADJ_log
"Akron, OH Metro Area-Bus",2002,15.469230710079277
"Akron, OH Metro Area-Bus",2003,15.501150499112994
"Akron, OH Metro Area-Bus",2004,15.591676287857569
"Akron, OH Metro Area-Bus",2005,15.609547744723166
"Akron, OH Metro Area-Bus",2006,15.619000689641032
"Akron, OH Metro Area-Bus",2007,15.585151724047213
"Akron, OH Metro Area-Bus",2008,15.630405328290188
"Akron, OH Metro Area-Bus",2009,15.531262442891736
"Akron, OH Metro Area-Bus",2010,15.541231502678654
"Akron, OH Metro Area-Bus",2011,15.5834815935631
"Akron, OH Metro Area-Bus",2012,15.606640740733132
"Akron, OH Metro Area-Bus",2013,15.603275226925597
"Akron, OH Metro Area-Bus",2014,15.604068691547843
"Akron, OH Metro Area-Bus",2015,15.582682874265892
"Akron, OH Metro Area-Bus",2016,15.52043055778938
"Akron, OH Metro Area-Bus",2017,15.513199708941904
"Akron, OH Metro Area-Bus",2018,15.506986703532068
"Albany, GA Metro Area-Bus",2002,13.35081282750872
"Albany, GA Metro Area-Bus",2003,13.416437974065815
"Albany, GA Metro Area-Bus",2004,13.409538821541656
"Albany, GA Metro Area-Bus",2005,13.390674539356821
"Albany, GA Metro Area-Bus",2006,13.544765573160273
"Albany, GA Metro Area-Bus",2007,13.550783003124678
"Albany, GA Metro Area-Bus",2008,13.688659658216368
"Albany, GA Metro Area-Bus",2009,13.677601597756786
"Albany, GA Metro Area-Bus",2010,13.710602162307017
"Albany, GA Metro Area-Bus",2011,13.80127369303693
"Albany, GA Metro Area-Bus",2012,13.833005622924423
"Albany, GA Metro Area-Bus",2013,13.832383407453648
"Albany, GA Metro Area-Bus",2014,13.691188061567917
"Albany, GA Metro Area-Bus",2015,13.451684390584921
"Albany, GA Metro Area-Bus",2016,13.39294608545017
"Albany, GA Metro Area-Bus",2017,13.491183864715529
"Albany, GA Metro Area-Bus",2018,13.51426626630345
"Albany-Schenectady-Troy, NY Metro Area-Bus",2002,16.26910497331326
"Albany-Schenectady-Troy, NY Metro Area-Bus",2003,16.26056496856173
"Albany-Schenectady-Troy, NY Metro Area-Bus",2004,16.245925118460583
"Albany-Schenectady-Troy, NY Metro Area-Bus",2005,16.330827023183883
"Albany-Schenectady-Troy, NY Metro Area-Bus",2006,16.35994726997254
"Albany-Schenectady-Troy, NY Metro Area-Bus",2007,16.39426275489958
"Albany-Schenectady-Troy, NY Metro Area-Bus",2008,16.526665733639952
"Albany-Schenectady-Troy, NY Metro Area-Bus",2009,16.446696921205966
"Albany-Schenectady-Troy, NY Metro Area-Bus",2010,16.422552536204662
"Albany-Schenectady-Troy, NY Metro Area-Bus",2011,16.4670614456192
"Albany-Schenectady-Troy, NY Metro Area-Bus",2012,16.53767672503411
"Albany-Schenectady-Troy, NY Metro Area-Bus",2013,16.59139247667512
"Albany-Schenectady-Troy, NY Metro Area-Bus",2014,16.625430348525665
"Albany-Schenectady-Troy, NY Metro Area-Bus",2015,16.624469841781387
"Albany-Schenectady-Troy, NY Metro Area-Bus",2016,16.61979753974662
"Albany-Schenectady-Troy, NY Metro Area-Bus",2017,16.61013923125524
"Albany-Schenectady-Troy, NY Metro Area-Bus",2018,16.549556846966933
"Albuquerque, NM Metro Area-Bus",2002,15.783967604574936
"Albuquerque, NM Metro Area-Bus",2003,15.705656832961918
"Albuquerque, NM Metro Area-Bus",2004,15.703280870565505
"Albuquerque, NM Metro Area-Bus",2005,15.864353062796102
"Albuquerque, NM Metro Area-Bus",2006,16.02074849793198
"Albuquerque, NM Metro Area-Bus",2007,16.097035433226672
"Albuquerque, NM Metro Area-Bus",2008,16.208128566831572
"Albuquerque, NM Metro Area-Bus",2009,16.180059234788427
"Albuquerque, NM Metro Area-Bus",2010,16.260223661550334
"Albuquerque, NM Metro Area-Bus",2011,16.331063282776157
"Albuquerque, NM Metro Area-Bus",2012,16.380707730870874
"Albuquerque, NM Metro Area-Bus",2013,16.377312274489917
"Albuquerque, NM Metro Area-Bus",2014,16.371470322147236
"Albuquerque, NM Metro Area-Bus",2015,16.283193816365603
"Albuquerque, NM Metro Area-Bus",2016,16.2044495702033
"Albuquerque, NM Metro Area-Bus",2017,16.086055710236785
"Albuquerque, NM Metro Area-Bus",2018,16.074340609257487
"Albuquerque, NM Metro Area-Rail",2009,14.116420751756621
"Albuquerque, NM Metro Area-Rail",2010,13.968822028611136
"Albuquerque, NM Metro Area-Rail",2011,14.032374433321175
"Albuquerque, NM Metro Area-Rail",2012,13.937112071722668
"Albuquerque, NM Metro Area-Rail",2013,13.894865952569212
"Albuquerque, NM Metro Area-Rail",2014,13.876810716260435
"Albuquerque, NM Metro Area-Rail",2015,13.744363582345734
"Albuquerque, NM Metro Area-Rail",2016,13.654649077667795
"Albuquerque, NM Metro Area-Rail",2017,13.606543543017677
"Albuquerque, NM Metro Area-Rail",2018,13.556225448031036
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2002,15.220021923032045
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2003,15.212229906329569
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2004,15.276524684000952
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2005,15.35598621587129
