lma_title,Year,record,Total_Labor,Unemployment_Labor,employment_Labor,Unemployment_Rate,Month
"Albuquerque, NM Metropolitan Statistical Area",2002,3048.0,378470.0,19348.18181818182,359121.8181818182,5.109090909090909,7.0
"Albuquerque, NM Metropolitan Statistical Area",2003,3048.0,381343.25,20593.083333333332,360750.1666666667,5.408333333333334,6.5
"Albuquerque, NM Metropolitan Statistical Area",2004,3048.0,387459.6666666667,19779.5,367680.1666666667,5.1000000000000005,6.5
"Albuquerque, NM Metropolitan Statistical Area",2005,3048.0,394235.5833333333,19014.583333333332,375221.0,4.824999999999999,6.5
"Albuquerque, NM Metropolitan Statistical Area",2006,3048.0,402297.6666666667,15859.166666666666,386438.5,3.9416666666666664,6.5
"Albuquerque, NM Metropolitan Statistical Area",2007,3048.0,404248.5833333333,15005.75,389242.8333333333,3.7000000000000006,6.5
"Albuquerque, NM Metropolitan Statistical Area",2008,3048.0,407339.4166666667,18586.5,388752.9166666667,4.558333333333333,6.5
"Albuquerque, NM Metropolitan Statistical Area",2009,3048.0,404223.5833333333,31447.333333333332,372776.25,7.766666666666667,6.5
"Albuquerque, NM Metropolitan Statistical Area",2010,3048.0,424689.5833333333,34020.5,390669.0833333333,7.999999999999999,6.5
"Albuquerque, NM Metropolitan Statistical Area",2011,3048.0,421066.4166666667,31629.166666666668,389437.25,7.491666666666667,6.5
"Albuquerque, NM Metropolitan Statistical Area",2012,3048.0,417516.25,29752.5,387763.75,7.125,6.5
"Albuquerque, NM Metropolitan Statistical Area",2013,3048.0,415693.1666666667,28250.833333333332,387442.3333333333,6.783333333333332,6.5
"Albuquerque, NM Metropolitan Statistical Area",2014,3048.0,418886.75,27273.583333333332,391613.1666666667,6.508333333333333,6.5
"Albuquerque, NM Metropolitan Statistical Area",2015,3048.0,420490.3333333333,25728.583333333332,394761.75,6.125,6.5
"Albuquerque, NM Metropolitan Statistical Area",2016,3048.0,426050.0,25624.75,400425.25,6.033333333333334,6.5
"Albuquerque, NM Metropolitan Statistical Area",2017,3048.0,427866.5,23297.833333333332,404568.6666666667,5.458333333333333,6.5
"Albuquerque, NM Metropolitan Statistical Area",2018,3048.0,429849.75,20144.0,409705.75,4.675,6.5
"Albuquerque, NM Metropolitan Statistical Area",2019,3048.0,436069.6666666667,20590.666666666668,415479.0,4.699999999999999,2.0
"Ames, IA Metropolitan Statistical Area",2002,953.0,48067.181818181816,1222.2727272727273,46844.90909090909,2.536363636363636,7.0
"Ames, IA Metropolitan Statistical Area",2003,953.0,46959.833333333336,1340.0833333333333,45619.75,2.858333333333334,6.5
"Ames, IA Metropolitan Statistical Area",2004,953.0,46472.916666666664,1370.6666666666667,45102.25,2.9499999999999997,6.5
"Ames, IA Metropolitan Statistical Area",2005,953.0,46921.833333333336,1422.0833333333333,45499.75,3.041666666666666,6.5
"Ames, IA Metropolitan Statistical Area",2006,953.0,47827.0,1248.4166666666667,46578.583333333336,2.6249999999999996,6.5
