,Year,Total_Labor_MSA,Unemployment_Labor_MSA,Employment_Labor_MSA,Unemployment_Rate_MSA,Geography
0,2002,378470.0,19348.18181818182,359121.8181818182,5.109090909090909,"Albuquerque, NM  Metro Area"
1,2003,381343.25,20593.08333333333,360750.16666666674,5.408333333333334,"Albuquerque, NM  Metro Area"
2,2004,387459.66666666674,19779.5,367680.16666666674,5.1000000000000005,"Albuquerque, NM  Metro Area"
3,2005,394235.58333333326,19014.58333333333,375221.0,4.824999999999998,"Albuquerque, NM  Metro Area"
4,2006,402297.66666666674,15859.166666666664,386438.5,3.9416666666666655,"Albuquerque, NM  Metro Area"
5,2007,404248.58333333326,15005.75,389242.83333333326,3.7000000000000006,"Albuquerque, NM  Metro Area"
6,2008,407339.41666666674,18586.5,388752.91666666674,4.558333333333334,"Albuquerque, NM  Metro Area"
7,2009,404223.58333333326,31447.33333333333,372776.25,7.7666666666666675,"Albuquerque, NM  Metro Area"
8,2010,424689.58333333326,34020.5,390669.08333333326,7.999999999999999,"Albuquerque, NM  Metro Area"
9,2011,421066.41666666674,31629.16666666667,389437.25,7.491666666666667,"Albuquerque, NM  Metro Area"
10,2012,417516.25,29752.5,387763.75,7.125,"Albuquerque, NM  Metro Area"
11,2013,415693.16666666674,28250.83333333333,387442.33333333326,6.783333333333332,"Albuquerque, NM  Metro Area"
12,2014,418886.75,27273.58333333333,391613.16666666674,6.508333333333333,"Albuquerque, NM  Metro Area"
13,2015,420490.33333333326,25728.58333333333,394761.75,6.125,"Albuquerque, NM  Metro Area"
14,2016,426050.0,25624.75,400425.25,6.033333333333334,"Albuquerque, NM  Metro Area"
15,2017,427866.5,23297.83333333333,404568.66666666674,5.458333333333332,"Albuquerque, NM  Metro Area"
16,2018,429849.75,20144.0,409705.75,4.675,"Albuquerque, NM  Metro Area"
17,2019,436069.66666666674,20590.666666666668,415479.0,4.699999999999998,"Albuquerque, NM  Metro Area"
18,2002,48067.181818181816,1222.2727272727273,46844.90909090909,2.5363636363636357,"Ames, IA  Metro Area"
19,2003,46959.83333333334,1340.0833333333333,45619.75,2.858333333333334,"Ames, IA  Metro Area"
20,2004,46472.91666666666,1370.6666666666667,45102.25,2.95,"Ames, IA  Metro Area"
21,2005,46921.83333333334,1422.083333333333,45499.75,3.041666666666666,"Ames, IA  Metro Area"
22,2006,47827.0,1248.4166666666667,46578.58333333334,2.625,"Ames, IA  Metro Area"
23,2007,48044.33333333334,1331.3333333333333,46713.0,2.766666666666667,"Ames, IA  Metro Area"
24,2008,48815.5,1555.25,47260.25,3.1833333333333336,"Ames, IA  Metro Area"
25,2009,49360.75,2339.833333333333,47020.91666666666,4.75,"Ames, IA  Metro Area"
26,2010,53334.83333333334,2239.583333333333,51095.25,4.191666666666666,"Ames, IA  Metro Area"
27,2011,53197.58333333334,2096.083333333333,51101.5,3.941666666666667,"Ames, IA  Metro Area"
28,2012,53317.5,1901.5,51416.0,3.5916666666666663,"Ames, IA  Metro Area"
29,2013,54751.41666666666,1823.75,52927.66666666666,3.3416666666666663,"Ames, IA  Metro Area"
30,2014,56722.16666666666,1633.0,55089.16666666666,2.8833333333333333,"Ames, IA  Metro Area"
31,2015,57461.41666666666,1448.0,56013.41666666666,2.5416666666666665,"Ames, IA  Metro Area"
