CBSA Title,CBSA Code,cty,trct,WAC_TOTAL,WAC_RETAIL,Target Geo Id2,Area_acre,HH_TRACT,Emp+Pop_Density,tract_id,TRACTA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Gainesville, FL",23540.0,144012,144012014717,47533,2917,144012014717,5740.799999999999,21872,201.3037283156031,14717,14717,43077,44485,45893,47301,48709,50117,51525,51229.0,51397.0,51671.0,51414.0,51898.0,52956.0,54014.0
"Gainesville, GA",23580.0,26278,26278001901,19328,708,26278001901,2195.2,2521,25.850022044722962,1901,1901,8321,8387,8453,8519,8585,8651,8717,8352.0,8432.0,8444.0,8423.0,8812.0,9352.0,9892.0
"Gettysburg, PA",23900.0,84002,84002063003,6270,449,84002063003,1068.8,2620,25.708068055994943,63003,63003,7385,7432,7479,7526,7573,7620,7667,7655.0,7639.0,7632.0,7615.0,7643.0,7627.0,7611.0
"Glens Falls, NY",24020.0,180565,180565351500,14929,909,180565351500,2508.8,7109,66.48854223402324,351500,351500,14535,14568,14601,14634,14667,14700,14733,14696.0,14652.0,14574.0,14496.0,14422.0,14428.0,14434.0
"Grand Forks, ND-MN",24220.0,190175,190175052803,11074,1275,190175052803,2227.2000000000003,7939,63.46812230536027,52803,52803,20226,19877,19528,19179,18830,18481,18132,18719.0,18648.0,18934.0,19401.0,19253.0,18934.0,18615.0
"Grand Island, NE",24260.0,62158,62158001000,7368,921,62158001000,1689.6,4373,21.686364850427346,1000,1000,12324,12037,11750,11463,11176,10889,10602,10824.0,10509.0,10796.0,10758.0,10538.0,10501.0,10464.0
"Grand Junction, CO",24300.0,40385,40385002002,17717,1716,40385002002,2451.2,6821,72.52928722165323,2002,2002,15334,15203,15072,14941,14810,14679,14548,14532.0,15351.0,15289.0,15291.0,15555.0,15231.0,14907.0
"Grand Rapids-Kentwood, MI",24340.0,965113,965113225519,126891,9082,965113225519,18720.000000000004,66915,652.6014061854039,225519,225519,148740,151505,154270,157035,159800,162565,165330,165454.0,165304.0,166080.0,166741.0,168362.0,169368.0,170374.0
"Great Falls, MT",24500.0,120052,120052013200,9050,544,120052013200,1568.0,5152,48.379622186904626,13200,13200,11731,11407,11083,10759,10435,10111,9787,10041.0,10036.0,9841.0,10143.0,9958.0,9868.0,9778.0
"Greeley, CO",24540.0,56861,56861004307,11628,1171,56861004307,2310.4,10119,107.85917839450104,4307,4307,21802,22249,22696,23143,23590,24037,24484,24981.0,25558.0,25001.0,25194.0,25555.0,25697.0,25839.0
"Green Bay, WI",24580.0,550090,550090988809,65793,6055,550090988809,6476.799999999999,15904,162.59722412974062,988809,988809,34724,34646,34568,34490,34412,34334,34256,34944.0,34912.0,35078.0,34717.0,35046.0,35006.0,34966.0
"Greensboro-High Point, NC",24660.0,222486,222486066021,43439,1702,222486066021,3564.7999999999997,7619,109.97834926753062,66021,66021,29040,27628,26216,24804,23392,21980,20568,20610.0,21024.0,21429.0,22019.0,22960.0,23912.0,24864.0
"Greenville, NC",24780.0,74294,74294000801,16396,1463,74294000801,1452.8000000000002,4784,33.432321259469695,801,801,11186,10764,10342,9920,9498,9076,8654,8477.0,8090.0,8481.0,8735.0,8975.0,9623.0,10271.0
"Greenville-Anderson, SC",24860.0,450450,450450011135,49965,3834,450450011135,5088.0,11859,159.1526089035856,11135,11135,24645,24522,24399,24276,24153,24030,23907,24536.0,24004.0,24281.0,24712.0,24678.0,24823.0,24968.0
"Gulfport-Biloxi, MS",25060.0,28047,28047002600,4347,113,28047002600,729.5999999999998,1595,11.155427631578947,2600,2600,6767,6172,5577,4982,4387,3792,3197,3376.0,3239.0,3395.0,3534.0,3483.0,3743.0,4003.0
"Hagerstown-Martinsburg, MD-WV",25180.0,198261,198261974602,24965,2435,198261974602,3244.8,13032,136.6568832895051,974602,974602,27195,27045,26895,26745,26595,26445,26295,26618.0,26901.0,26299.0,26205.0,25568.0,25624.0,25680.0
"Hanford-Corcoran, CA",25260.0,18093,18093984302,7626,455,18093984302,2752.0,2993,37.79734119865821,984302,984302,48773,44338,39903,35468,31033,26598,22163,22513.0,23164.0,23654.0,24137.0,22803.0,21766.0,20729.0
"Harrisburg-Carlisle, PA",25420.0,882891,882891390603,69747,2816,882891390603,6931.200000000001,32539,451.942332250902,390603,390603,68026,67665,67304,66943,66582,66221,65860,65312.0,65485.0,66204.0,66804.0,66586.0,67201.0,67816.0
"Harrisonburg, VA",25500.0,206640,206640000718,9671,904,206640000718,2048.0,5301,60.011272630209206,718,718,16047,16741,17435,18129,18823,19517,20211,19925.0,19971.0,19327.0,19287.0,19835.0,20151.0,20467.0
"Hartford-East Hartford-Middletown, CT",25540.0,621243,621276918701,183512,7411,621276918701,20979.199999999993,104260,1696.2426372364807,33918701,33918701,261075,258860,256645,254430,252215,250000,247785,248272.0,250569.0,250869.0,250435.0,249262.0,248356.0,247450.0
"Hot Springs, AR",26300.0,5051,5051011400,3041,774,5051011400,614.4,1742,10.791015625,11400,11400,3404,3441,3478,3515,3552,3589,3626,3577.0,3543.0,3458.0,3481.0,3543.0,3521.0,3499.0
"Houma-Thibodaux, LA",26380.0,44114,44114042100,7942,387,44114042100,1023.9999999999998,2295,25.733901515151516,42100,42100,4561,4702,4843,4984,5125,5266,5407,5252.0,5179.0,5074.0,5359.0,5029.0,4984.0,4939.0
"Houston-The Woodlands-Sugar Land, TX",26420.0,17833602,17833759384013,1399430,118756,17833759384013,184691.19999999992,765038,7183.959958279013,157384013,157384013,1987957,1955893,1923829,1891765,1859701,1827637,1795573,1809829.0,1835709.0,1869987.0,1896046.0,1924542.0,1958196.0,1991850.0
"Huntington-Ashland, WV-KY-OH",26580.0,507118,507118050100,29166,1821,507118050100,3008.0,12001,184.57730368287213,50100,50100,22153,22332,22511,22690,22869,23048,23227,22771.0,22608.0,22626.0,22557.0,21967.0,21693.0,21419.0
"Huntsville, AL",26620.0,2178,2178004401,20563,464,2178004401,1651.1999999999998,3496,30.353225554385734,4401,4401,6520,6586,6652,6718,6784,6850,6916,7007.0,6705.0,6787.0,7257.0,7559.0,8000.0,8441.0
"Idaho Falls, ID",26820.0,64076,64079883105,11902,1413,64079883105,2054.4,6667,52.590858625797864,3883105,3883105,19644,18738,17832,16926,16020,15114,14208,14218.0,14478.0,14151.0,14599.0,14937.0,15140.0,15343.0
"Indianapolis-Carmel-Anderson, IN",26900.0,1013444,1013463010795,282740,19067,1013463010795,27372.800000000007,93988,831.469256241866,19010795,19010795,184072,183158,182244,181330,180416,179502,178588,178362.0,179934.0,182712.0,183549.0,184051.0,185407.0,186763.0
"Iowa City, IA",26980.0,152824,152824010202,46795,4194,152824010202,4953.599999999999,16217,176.0649832144091,10202,10202,28578,30461,32344,34227,36110,37993,39876,40378.0,40365.0,39727.0,40608.0,40202.0,41002.0,41802.0
"Ithaca, NY",27060.0,180545,180545003000,12497,1007,180545003000,1318.4,6113,149.78321185150403,3000,3000,13742,14356,14970,15584,16198,16812,17426,16331.0,16658.0,17162.0,17199.0,17267.0,17346.0,17425.0
"Jackson, MI",27100.0,234675,234675017400,22520,1046,234675017400,3532.8,9815,145.24306127836272,17400,17400,40779,38189,35599,33009,30419,27829,25239,24791.0,24998.0,25860.0,26592.0,26155.0,26239.0,26323.0
"Jackson, MS",27140.0,140245,140245017402,60485,1885,140245017402,5766.4,7808,68.71006656486571,17402,17402,18297,18045,17793,17541,17289,17037,16785,16924.0,16014.0,15969.0,16526.0,16384.0,16722.0,17060.0
"Jacksonville, FL",27260.0,240596,240596249912,179699,16238,240596249912,17964.8,40021,309.955865257919,249912,249912,93169,90354,87539,84724,81909,79094,76279,75749.0,75833.0,78111.0,79044.0,79973.0,81016.0,82059.0
"Janesville-Beloit, WI",27500.0,220420,220420002500,11956,1534,220420002500,1753.6,5541,51.58216145833334,2500,2500,12546,12458,12370,12282,12194,12106,12018,12023.0,11953.0,12258.0,11764.0,11721.0,11978.0,12235.0
"Jefferson City, MO",27620.0,29051,29051020700,12242,271,29051020700,953.6,1515,15.185612416107382,20700,20700,-1,447,895,1343,1791,2239,2687,2277.0,2274.0,2167.0,2354.0,2134.0,2171.0,2208.0
"Johnson City, TN",27740.0,235735,235735313900,17745,1437,235735313900,3001.6,6224,52.8157765654783,313900,313900,17412,16730,16048,15366,14684,14002,13320,13652.0,13711.0,13610.0,13484.0,13342.0,13042.0,12742.0
"Johnstown, PA",27780.0,210105,210105002900,10696,487,210105002900,1382.4,6426,90.15665905353205,2900,2900,10617,10696,10775,10854,10933,11012,11091,11095.0,11184.0,10794.0,10782.0,10851.0,10618.0,10385.0
"Jonesboro, AR",27860.0,5031,5031000101,6333,192,5031000101,736.0,2005,14.089673913043477,101,101,5022,4825,4628,4431,4234,4037,3840,3902.0,4242.0,3952.0,4018.0,3855.0,3903.0,3951.0
"Kahului-Wailuku-Lahaina, HI",27980.0,45027,45027092905,6268,1010,45027092905,1081.6,4113,50.27728801049696,92905,92905,11593,11524,11455,11386,11317,11248,11179,11279.0,10976.0,11714.0,11822.0,12357.0,12437.0,12517.0
"Kalamazoo-Portage, MI",28020.0,182539,182539005908,35248,1619,182539005908,3590.4,12673,126.14450619171609,5908,5908,34170,32986,31802,30618,29434,28250,27066,27373.0,27864.0,28186.0,28283.0,29030.0,29205.0,29380.0
"Kankakee, IL",28100.0,51273,51273036200,10157,805,51273036200,1516.8,4212,52.139865375921545,36200,36200,10964,11186,11408,11630,11852,12074,12296,12461.0,12232.0,11868.0,11995.0,11645.0,11589.0,11533.0
"Kansas City, MO-KS",28140.0,1850239,1850242120001,309763,24474,1850242120001,34751.99999999999,112684,1382.8318406253231,3120001,3120001,243804,240902,238000,235098,232196,229294,226392,225400.0,224706.0,225029.0,229114.0,231021.0,233522.0,236023.0
"Kennewick-Richland, WA",28420.0,371051,371051084313,34816,3151,371051084313,5215.999999999999,15056,102.34605681562181,84313,84313,49027,46774,44521,42268,40015,37762,35509,36047.0,38301.0,38815.0,38796.0,38816.0,39891.0,40966.0
"Killeen-Temple, TX",28660.0,288162,288162133006,23619,1506,288162133006,3001.6,10216,78.91872422804332,133006,133006,18124,18243,18362,18481,18600,18719,18838,17708.0,18464.0,17384.0,17625.0,18190.0,18424.0,18658.0
"Kingston, NY",28740.0,144444,144447808400,9511,944,144447808400,1689.6,5444,55.66998774311453,3808400,3808400,12837,12645,12453,12261,12069,11877,11685,11723.0,11707.0,11938.0,11679.0,11899.0,11548.0,11197.0
"Knoxville, TN",28940.0,282558,282558015611,61930,2074,282558015611,3251.2,10273,210.32177105053532,15611,15611,21412,21384,21356,21328,21300,21272,21244,22538.0,21974.0,22458.0,22218.0,22459.0,22765.0,23071.0
"Kokomo, IN",29020.0,18067,18067001200,8300,1054,18067001200,1030.4,2000,11.617818322981364,1200,1200,4021,3951,3881,3811,3741,3671,3601,3457.0,3432.0,3663.0,3668.0,3643.0,3487.0,3331.0
"La Crosse-Onalaska, WI-MN",29100.0,220252,220252003301,22007,1379,220252003301,1478.4,6294,95.11359960018413,3301,3301,12058,12540,13022,13504,13986,14468,14950,15001.0,14836.0,15269.0,14953.0,15529.0,15643.0,15757.0
"Lafayette, LA",29180.0,198475,198475069809,31453,2301,198475069809,5465.599999999999,17117,114.96096060807575,69809,69809,46381,44855,43329,41803,40277,38751,37225,37368.0,38303.0,39166.0,39619.0,38781.0,38075.0,37369.0
"Lafayette-West Lafayette, IN",29200.0,181570,181570043601,24861,1186,181570043601,3724.8,13332,192.4412191540345,43601,43601,40488,40337,40186,40035,39884,39733,39582,38250.0,37735.0,39516.0,40738.0,41121.0,42563.0,44005.0
"Lake Charles, LA",29340.0,44038,44038001000,11725,725,44038001000,1318.4,3021,27.879618625756272,1000,1000,7054,6874,6694,6514,6334,6154,5974,5910.0,5912.0,6118.0,6060.0,6163.0,5997.0,5831.0
"Lakeland-Winter Haven, FL",29460.0,84735,84735091206,47999,1174,84735091206,3590.3999999999996,9008,124.13491924297688,91206,91206,18702,18546,18390,18234,18078,17922,17766,17736.0,17266.0,18041.0,18611.0,18674.0,18764.0,18854.0
"Lancaster, PA",29540.0,673136,673136046903,31390,1365,673136046903,4179.2,25515,511.4685405660615,46903,46903,61414,62120,62826,63532,64238,64944,65650,65382.0,65020.0,64672.0,65074.0,65122.0,65180.0,65238.0
"Lansing-East Lansing, MI",29620.0,495285,495285124800,111558,5386,495285124800,7833.6,27531,419.89238294226135,124800,124800,67943,66502,65061,63620,62179,60738,59297,59871.0,59196.0,59025.0,59886.0,59883.0,60437.0,60991.0
"Laredo, TX",29700.0,1599807,1599807035039,38572,6012,1599807035039,9977.599999999999,36235,543.3778787768854,35039,35039,114822,115650,116478,117306,118134,118962,119790,119409.0,120251.0,120150.0,119435.0,119571.0,119544.0,119517.0
"Las Vegas-Henderson-Paradise, NV",29820.0,9216864,9216864935701,603291,60916,9216864935701,108985.59999999999,513210,4936.565536729094,935701,935701,1249302,1236973,1224644,1212315,1199986,1187657,1175328,1184387.0,1184859.0,1196660.0,1210502.0,1223249.0,1236262.0,1249275.0
"Lawrence, KS",29940.0,80180,80180002307,9345,1367,80180002307,2528.0,10338,56.62743650855022,2307,2307,27560,26764,25968,25172,24376,23580,22784,22793.0,22844.0,22903.0,23153.0,23804.0,24234.0,24664.0
"Lawton, OK",30020.0,80062,80062002700,4977,806,80062002700,992.0000000000002,3138,21.573938862928348,2700,2700,8916,8335,7754,7173,6592,6011,5430,5374.0,5150.0,5237.0,5392.0,5327.0,5107.0,4887.0
"Lebanon, PA",30140.0,210375,210375001403,7359,764,210375001403,2182.4,9707,68.82736986388849,1403,1403,21337,21445,21553,21661,21769,21877,21985,22038.0,21843.0,21862.0,21849.0,21858.0,22151.0,22444.0
"Lewiston-Auburn, ME",30340.0,138006,138006101600,15683,1365,138006101600,1753.6,8389,111.53622585242493,101600,101600,22697,21569,20441,19313,18185,17057,15929,16439.0,16466.0,16772.0,15932.0,15269.0,14988.0,14707.0
"Lexington-Fayette, KY",30460.0,568809,568809058748,81038,7160,568809058748,11865.6,48406,468.2174469115334,58748,58748,103350,102760,102170,101580,100990,100400,99810,101617.0,102059.0,103662.0,104087.0,104673.0,105611.0,106549.0
"Lima, OH",30620.0,78006,78006027000,9169,145,78006027000,902.4000000000001,1854,36.79033471903669,27000,27000,2902,3100,3298,3496,3694,3892,4090,3786.0,3998.0,3725.0,3538.0,3516.0,3436.0,3356.0
"Lincoln, NE",30700.0,777725,777725044041,80095,6999,777725044041,11571.2,41790,474.3268603882479,44041,44041,99560,98674,97788,96902,96016,95130,94244,93347.0,94886.0,96625.0,97267.0,98335.0,99710.0,101085.0
"Little Rock-North Little Rock-Conway, AR",30780.0,56235,56235061737,102076,5516,56235061737,7436.800000000001,16102,186.68884137519763,61737,61737,32050,31853,31656,31459,31262,31065,30868,31703.0,32205.0,33027.0,33064.0,32457.0,31487.0,30517.0
"Logan, UT-ID",30860.0,196020,196020002801,11826,1483,196020002801,2124.8,7864,62.10301298813305,2801,2801,23205,22637,22069,21501,20933,20365,19797,19879.0,20014.0,20047.0,19860.0,19819.0,19841.0,19863.0
"Longview, TX",30980.0,48183,48183001000,3508,513,48183001000,569.6,900,10.849719101123595,1000,1000,3022,2952,2882,2812,2742,2672,2602,2794.0,2583.0,2650.0,2751.0,2746.0,2607.0,2468.0
"Longview, WA",31020.0,318090,318090005104,13353,1298,318090005104,2694.4000000000005,9712,75.8394224301949,5104,5104,20387,20448,20509,20570,20631,20692,20753,20560.0,20957.0,20477.0,20496.0,20433.0,20592.0,20751.0
"Los Angeles-Long Beach-Anaheim, CA",31080.0,14419823,14420592556362,4885794,491742,14420592556362,711955.200000001,3679911,69363.33300715793,769556362,769556362,10825958,10790637,10755316,10719995,10684674,10649353,10614032,10684048.0,10752006.0,10849167.0,10921327.0,10944789.0,11003240.0,11061691.0
"Louisville/Jefferson County, KY-IN",31140.0,1296538,1296538601460,230359,17011,1296538601460,27020.799999999996,99074,929.4258956375822,601460,601460,215533,212338,209143,205948,202753,199558,196363,197397.0,197463.0,198780.0,200738.0,202737.0,203056.0,203375.0
"Lubbock, TX",31180.0,966060,966060029260,73634,6626,966060029260,11296.0,31563,270.9179324949202,29260,29260,80697,79511,78325,77139,75953,74767,73581,75315.0,76534.0,78257.0,78834.0,78559.0,77857.0,77155.0
"Lynchburg, VA",31340.0,103360,103360000703,4292,159,103360000703,345.6,426,38.58203125,703,703,2295,2266,2237,2208,2179,2150,2121,2248.0,2411.0,2601.0,2562.0,2535.0,2668.0,2801.0
"Macon-Bibb County, GA",31420.0,39063,39063034400,13589,533,39063034400,1504.0,3582,41.2109375,34400,34400,8027,8140,8253,8366,8479,8592,8705,8927.0,9278.0,8775.0,8640.0,8549.0,8292.0,8035.0
"Madera, CA",31460.0,30195,30195003509,6217,603,30195003509,2732.8,7891,76.0131293849313,3509,3509,39412,38100,36788,35476,34164,32852,31540,32313.0,32415.0,32440.0,32656.0,32183.0,32367.0,32551.0
"Madison, WI",31540.0,1540700,1540700062257,153809,14572,1540700062257,12774.399999999998,57242,947.4221941803195,62257,62257,130950,128914,126878,124842,122806,120770,118734,121724.0,124192.0,125526.0,128942.0,130578.0,132326.0,134074.0
"Manchester-Nashua, NH",31700.0,726242,726242295003,61002,7307,726242295003,6892.799999999999,36130,519.4378776550013,295003,295003,82119,81183,80247,79311,78375,77439,76503,77424.0,78579.0,78149.0,78187.0,77786.0,78072.0,78358.0
"Manhattan, KS",31740.0,80644,80644002210,14609,1336,80644002210,1587.2000000000003,6002,79.62078460345406,2210,2210,11025,11636,12247,12858,13469,14080,14691,15163.0,15122.0,15539.0,15099.0,14475.0,14091.0,13707.0
"Mankato, MN",31860.0,108052,108052682801,16490,5773,108052682801,2220.7999999999997,5919,63.24152630694945,682801,682801,20278,19131,17984,16837,15690,14543,13396,14085.0,14696.0,14964.0,15100.0,15030.0,15089.0,15148.0
"Mansfield, OH",31900.0,39139,39139000500,3979,44,39139000500,448.0,2191,17.209821428571427,500,500,1591,2019,2447,2875,3303,3731,4159,3861.0,3775.0,3649.0,3586.0,3426.0,3331.0,3236.0
"McAllen-Edinburg-Mission, TX",32580.0,771440,771440336071,50973,5755,771440336071,10220.8,26930,201.98354211281665,336071,336071,62050,64315,66580,68845,71110,73375,75640,73936.0,73757.0,74626.0,74765.0,74299.0,74847.0,75395.0
"Medford, OR",32780.0,451319,451319007421,30224,5502,451319007421,5286.4,18445,151.75692353453744,7421,7421,41437,41404,41371,41338,41305,41272,41239,40830.0,41463.0,41477.0,41967.0,43311.0,43596.0,43881.0
"Memphis, TN-MS-AR",32820.0,1226082,1226082309061,167740,9718,1226082309061,14342.400000000003,45423,553.0789100234755,309061,309061,99968,99117,98266,97415,96564,95713,94862,95136.0,96801.0,97896.0,98580.0,97513.0,95975.0,94437.0
"Merced, CA",32900.0,54423,54423011019,15001,1979,54423011019,3705.6000000000004,13008,131.48460209300617,11019,11019,40209,39454,38699,37944,37189,36434,35679,37189.0,36457.0,36317.0,36206.0,37035.0,36293.0,35551.0
"Miami-Fort Lauderdale-Pompano Beach, FL",33100.0,7974361,7974377323857,1347393,167501,7974377323857,277043.1999999999,1372049,14076.702851830973,16323857,16323857,3273735,3249105,3224475,3199845,3175215,3150585,3125955,3159105.0,3204258.0,3267090.0,3313214.0,3351620.0,3404834.0,3458048.0
"Michigan City-La Porte, IN",33140.0,54273,54273123400,6299,1111,54273123400,998.4,3734,46.551285440162914,123400,123400,8790,8634,8478,8322,8166,8010,7854,8339.0,8123.0,8132.0,7991.0,7884.0,7376.0,6868.0
"Midland, MI",33220.0,26111,26111290100,3471,218,26111290100,627.2,1721,11.155931122448981,290100,290100,3231,3290,3349,3408,3467,3526,3585,3615.0,3579.0,3542.0,3615.0,3621.0,3710.0,3799.0
"Midland, TX",33260.0,241645,241645022307,23413,3171,241645022307,3385.5999999999995,8869,67.29160815712459,22307,22307,19174,19854,20534,21214,21894,22574,23254,23889.0,25009.0,26028.0,26909.0,27147.0,27324.0,27501.0
"Milwaukee-Waukesha, WI",33340.0,11016176,11016185415408,394245,29079,11016185415408,49958.4,261784,5008.5585950819,9415408,9415408,617053,612588,608123,603658,599193,594728,590263,590919.0,592135.0,593174.0,597123.0,595752.0,596378.0,597004.0
"Minneapolis-St. Paul-Bloomington, MN-WI",33460.0,6091321,6091333042172,747910,53873,6091333042172,87001.59999999996,348819,4689.436248966693,12042172,12042172,787913,784040,780167,776294,772421,768548,764675,772148.0,778675.0,790607.0,800939.0,809408.0,819424.0,829440.0
"Missoula, MT",33540.0,150315,150315004100,21835,3303,150315004100,3014.4,10112,82.69005720447481,4100,4100,21732,21804,21876,21948,22020,22092,22164,22322.0,22502.0,22805.0,22816.0,23027.0,22929.0,22831.0
"Mobile, AL",33660.0,13164,13164026629,45786,3945,13164026629,6041.6,16050,152.73803996589538,26629,26629,40482,38626,36770,34914,33058,31202,29346,29081.0,29880.0,29524.0,30333.0,30602.0,29399.0,28196.0
"Modesto, CA",33700.0,256158,256158083571,73596,9582,256158083571,22873.600000000006,80431,578.3751019391343,83571,83571,235812,233610,231408,229206,227004,224802,222600,224409.0,223598.0,226878.0,228302.0,229428.0,231884.0,234340.0
"Monroe, LA",33740.0,22073,22073010800,12340,1057,22073010800,1414.4,1078,10.07989253393665,10800,10800,4682,4129,3576,3023,2470,1917,1364,1473.0,1498.0,1429.0,1611.0,1796.0,1876.0,1956.0
"Monroe, MI",33780.0,104460,104463327800,10340,643,104463327800,1728.0,4538,48.75279944353221,3327800,3327800,8025,8362,8699,9036,9373,9710,10047,9918.0,9924.0,9524.0,9390.0,9797.0,9472.0,9147.0
"Montgomery, AL",33860.0,5505,5505002100,32149,507,5505002100,2182.4,4382,88.31829242267307,2100,2100,7051,7435,7819,8203,8587,8971,9355,8289.0,7999.0,7415.0,7399.0,6921.0,7238.0,7555.0
"Morgantown, WV",34060.0,324366,324366062107,18588,859,324366062107,2880.0000000000005,11660,129.11831530187777,62107,62107,34843,32887,30931,28975,27019,25063,23107,23860.0,24785.0,25089.0,24392.0,23830.0,23242.0,22654.0
"Mount Vernon-Anacortes, WA",34580.0,159171,159173845401,7376,405,159173845401,1292.8,3683,36.482548701298704,2845401,2845401,10518,10132,9746,9360,8974,8588,8202,8425.0,8182.0,8241.0,8387.0,8395.0,8549.0,8703.0
"Muncie, IN",34620.0,72140,72140005402,13302,414,72140005402,1728.0,5085,77.34570470647772,5402,5402,19752,19149,18546,17943,17340,16737,16134,16581.0,16442.0,16660.0,16918.0,16798.0,16089.0,15380.0
"Muskegon, MI",34740.0,52242,52242002700,4710,896,52242002700,1209.6,4026,22.35578008579815,2700,2700,8605,8623,8641,8659,8677,8695,8713,8509.0,8804.0,8279.0,8260.0,8559.0,8522.0,8485.0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820.0,45051,45051050600,12712,2610,45051050600,1472.0,2723,11.76086956521739,50600,50600,6140,5832,5524,5216,4908,4600,4292,4458.0,4464.0,4257.0,4551.0,4711.0,5076.0,5441.0
"Napa, CA",34900.0,72660,72662406741,19442,3120,72662406741,4198.4,16794,193.87947279266854,2406741,2406741,42345,43268,44191,45114,46037,46960,47883,47889.0,47795.0,48251.0,48883.0,49251.0,48562.0,47873.0
"Naples-Marco Island, FL",34940.0,60105,60105042138,20173,1125,60105042138,3379.2,10252,64.02235465665878,42138,42138,15161,16669,18177,19685,21193,22701,24209,24017.0,25054.0,24826.0,25147.0,25087.0,25724.0,26361.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980.0,1411896,1411896679841,272309,12340,1411896679841,20492.8,55719,591.0246338250688,679841,679841,152515,145678,138841,132004,125167,118330,111493,115433.0,116628.0,118933.0,119763.0,123524.0,126269.0,129014.0
"New Haven-Milford, CT",35300.0,495495,495506584208,123240,7635,495506584208,17996.8,92494,1276.7962731161444,11584208,11584208,227086,224662,222238,219814,217390,214966,212542,213150.0,212259.0,211829.0,212012.0,211343.0,210070.0,208797.0
"New Orleans-Metairie, LA",35380.0,3662434,3662436389817,267135,31510,3662436389817,42624.00000000001,215514,2886.2088898965917,2389817,2389817,469635,461423,453211,444999,436787,428575,420363,427534.0,432331.0,434155.0,440172.0,442872.0,446188.0,449504.0
"New York-Newark-Jersey City, NY-NJ-PA",35620.0,113911002,113911242595906,5898161,546626,113911242595906,542944.0000000012,5236746,264296.69280424947,240595906,240595906,13554860,13470309,13385758,13301207,13216656,13132105,13047554,13149572.0,13252329.0,13379952.0,13482738.0,13531238.0,13672194.0,13813150.0
"North Port-Sarasota-Bradenton, FL",35840.0,145108,145108003850,46910,2006,145108003850,6182.399999999999,25731,168.24423445060282,3850,3850,46777,46165,45553,44941,44329,43717,43105,42529.0,43983.0,45103.0,45925.0,46289.0,48011.0,49733.0
"Norwich-New London, CT",35980.0,45055,45058471000,22517,174,45058471000,1856.0000000000002,8142,108.40790158129207,3471000,3471000,14069,14645,15221,15797,16373,16949,17525,17187.0,17267.0,16541.0,16721.0,16319.0,16234.0,16149.0
"Ocala, FL",36100.0,12083,12083001900,19305,703,12083001900,1344.0,1331,16.174107142857142,1900,1900,2453,2449,2445,2441,2437,2433,2429,2499.0,2574.0,2052.0,2167.0,2289.0,2564.0,2839.0
"Odessa, TX",36220.0,96270,96270003700,6235,663,96270003700,1427.1999999999998,3584,21.79100699558174,3700,3700,12347,11772,11197,10622,10047,9472,8897,9640.0,9741.0,9514.0,9823.0,10144.0,9776.0,9408.0
"Ogden-Clearfield, UT",36260.0,980718,980722193526,56479,8712,980722193526,11014.400000000001,33455,260.80595074845314,4193526,4193526,80069,80911,81753,82595,83437,84279,85121,85312.0,84991.0,84782.0,85696.0,86179.0,87649.0,89119.0
"Oklahoma City, OK",36420.0,2606183,2606190910953,204487,14575,2606190910953,26688.000000000004,88701,1170.9371925060746,7910953,7910953,190301,191255,192209,193163,194117,195071,196025,197764.0,199324.0,200948.0,204567.0,205074.0,207424.0,209774.0
"Olympia-Lacey-Tumwater, WA",36500.0,212268,212268042320,35716,2605,212268042320,3532.8,7661,52.687079017579194,42320,42320,19211,18374,17537,16700,15863,15026,14189,13839.0,14112.0,14620.0,14975.0,15658.0,16190.0,16722.0
"Omaha-Council Bluffs, NE-IA",36540.0,1741886,1741886447042,176977,14655,1741886447042,26406.400000000005,95658,933.8983764451372,447042,447042,224822,222111,219400,216689,213978,211267,208556,210776.0,215471.0,216551.0,215762.0,216409.0,216702.0,216995.0
"Orlando-Kissimmee-Sanford, FL",36740.0,629184,629184873048,288431,24719,629184873048,34297.600000000006,113663,772.3202657660098,873048,873048,317275,301557,285839,270121,254403,238685,222967,227160.0,232141.0,241056.0,246935.0,250694.0,257728.0,264762.0
"Oshkosh-Neenah, WI",36780.0,385973,385973013802,43323,2944,385973013802,4371.2,11520,116.96863167206277,13802,13802,29866,29482,29098,28714,28330,27946,27562,27626.0,28184.0,28427.0,28044.0,28540.0,28509.0,28478.0
"Owensboro, KY",36980.0,42118,42118000800,9658,681,42118000800,953.6,1807,29.10119451992754,800,800,2848,3059,3270,3481,3692,3903,4114,4071.0,3908.0,3932.0,3723.0,3565.0,3638.0,3711.0
"Oxnard-Thousand Oaks-Ventura, CA",37100.0,470547,470547401937,133843,14699,470547401937,33715.200000000004,125329,1352.0472847778872,401937,401937,432282,425773,419264,412755,406246,399737,393228,398646.0,402108.0,405036.0,407524.0,408203.0,409598.0,410993.0
"Parkersburg-Vienna, WV",37620.0,108214,108214000800,2993,279,108214000800,851.2,3576,23.709087845757146,800,800,8557,8304,8051,7798,7545,7292,7039,7025.0,6946.0,6851.0,6807.0,6988.0,6837.0,6686.0
