,CBSA,MNAME,Year,TNC_TRIPS,TNC_BOOKINGS,TNC_REVENUE
76,12540,"Bakersfield-Delano, CA Metro Area",2018,2583058.1175,37590068.142503664,14254588.824032318
77,12580,"Baltimore-Towson, MD Metro Area",2013,1246832.1,18858948.80704409,961557.5638726921
78,12580,"Baltimore-Towson, MD Metro Area",2014,2089405.5,31610150.37353082,3252053.452089624
79,12580,"Baltimore-Towson, MD Metro Area",2015,3524732.82,52478067.058128364,12003877.32321179
80,12580,"Baltimore-Towson, MD Metro Area",2016,6297493.5,91838719.0666635,20587308.14633343
81,12580,"Baltimore-Towson, MD Metro Area",2017,9772449.0,141019708.09459925,54147877.91515501
82,12580,"Baltimore-Towson, MD Metro Area",2018,13852316.58,201663296.48187432,76473055.63713625
83,12580,"Baltimore-Towson, MD Metro Area",2013,1246832.1,18858948.80704409,961557.5638726921
84,12580,"Baltimore-Towson, MD Metro Area",2014,2089405.5,31610150.37353082,3252053.452089624
85,12580,"Baltimore-Towson, MD Metro Area",2015,3524732.82,52478067.058128364,12003877.32321179
86,12580,"Baltimore-Towson, MD Metro Area",2016,6297493.5,91838719.0666635,20587308.14633343
87,12580,"Baltimore-Towson, MD Metro Area",2017,9772449.0,141019708.09459925,54147877.91515501
88,12580,"Baltimore-Towson, MD Metro Area",2018,13852316.58,201663296.48187432,76473055.63713625
89,12700,"Barnstable Town, MA Metro Area",2016,280701.56,4099825.89422872,919050.0465090561
90,12700,"Barnstable Town, MA Metro Area",2017,433291.31999999995,6250156.175728081,2399896.42665696
91,12700,"Barnstable Town, MA Metro Area",2018,610752.5025000001,8888002.957285237,3370433.5715111024
92,12940,"Baton Rouge, LA Metro Area",2014,363210.32,5461624.907079143,561892.174754164
93,12940,"Baton Rouge, LA Metro Area",2015,606250.4,9084533.4116376,2078003.83494872
94,12940,"Baton Rouge, LA Metro Area",2016,1094079.25,15979727.5066385,3582144.6293248003
95,12940,"Baton Rouge, LA Metro Area",2017,1693342.7699999998,24426191.53215438,9379018.39997256
96,12940,"Baton Rouge, LA Metro Area",2018,2395218.0525,34856517.241962485,13217994.690468652
97,13020,"Bay City, MI Metro Area",2017,211605.16999999998,3052369.84689998,1172030.1513197601
98,13020,"Bay City, MI Metro Area",2018,297418.10000000003,4328190.1286194995,1641299.7816821
99,13140,"Beaumont-Port Arthur, TX Metro Area",2015,297997.68,4465431.90825192,1021426.661072424
100,13140,"Beaumont-Port Arthur, TX Metro Area",2016,536970.31,7842794.96476622,1758104.1885890563
101,13140,"Beaumont-Port Arthur, TX Metro Area",2017,835018.1699999999,12045000.05232198,4624964.84438376
102,13140,"Beaumont-Port Arthur, TX Metro Area",2018,1184847.2125000001,17242541.758772686,6538571.362008213
103,13380,"Bellingham, WA Metro Area",2015,154967.32,2322152.35858308,531171.089127076
104,13380,"Bellingham, WA Metro Area",2016,284008.0,4148118.566096,929875.7214208001
105,13380,"Bellingham, WA Metro Area",2017,449450.11999999994,6483244.213615281,2489396.13410336
106,13380,"Bellingham, WA Metro Area",2018,648579.8200000001,9438486.6776629,3579183.36836062
107,13460,"Bend, OR Metro Area",2016,237512.17,3469017.2180035403,777642.884795392
108,13460,"Bend, OR Metro Area",2017,379356.24999999994,5472151.6432375,2101163.04385
109,13460,"Bend, OR Metro Area",2018,552649.3525,8042454.282635987,3049791.7295719525
110,13740,"Billings, MT Metro Area",2016,222354.16,3247624.78290992,728013.770530816
111,13740,"Billings, MT Metro Area",2017,349324.43,5038947.56880242,1934824.01470904
112,13740,"Billings, MT Metro Area",2018,499212.10500000004,7264806.361644975,2754898.639153305
113,13780,"Binghamton, NY Metro Area",2015,179594.6,2691186.9159174003,615584.36503478
114,13780,"Binghamton, NY Metro Area",2016,319763.14,4670345.26417268,1046942.2709616642
115,13780,"Binghamton, NY Metro Area",2017,491700.50999999995,7092699.15488994,2723410.88423928
116,13780,"Binghamton, NY Metro Area",2018,689740.6425000001,10037481.377818538,3806329.0901008425
117,13820,"Birmingham-Hoover, AL Metro Area",2015,836322.3099999999,12532112.09113089,2866605.889964233
118,13820,"Birmingham-Hoover, AL Metro Area",2016,1503116.27,21953974.91122774,4921380.122903553
119,13820,"Birmingham-Hoover, AL Metro Area",2017,2334108.21,33669127.836553745,12928064.08540488
120,13820,"Birmingham-Hoover, AL Metro Area",2018,3306360.54,48115958.816511296,18246128.37101814
121,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2014,79749.56,1199201.011757052,123373.844950462
122,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2015,131329.91999999998,1967950.94269248,450150.75850425597
123,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2016,240268.41,3509273.86681842,786667.1399516161
124,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2017,369431.57999999996,5328989.907404521,2046192.6833342402
125,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2018,521748.78,7592772.326954099,2879267.12835198
126,14020,"Bloomington, IN Metro Area",2014,72295.52,1087113.969399984,111842.32583970399
127,14020,"Bloomington, IN Metro Area",2015,120871.20999999999,1811229.39588999,414302.139701503
128,14020,"Bloomington, IN Metro Area",2016,217900.16,3182571.26296192,713430.848700416
129,14020,"Bloomington, IN Metro Area",2017,340684.74999999994,4914321.602816501,1886970.9047980001
130,14020,"Bloomington, IN Metro Area",2018,485407.405,7063912.850898474,2678717.495180605
131,14060,"Bloomington-Normal, IL Metro Area",2015,137769.25,2064442.93434075,472222.41806027497
132,14060,"Bloomington-Normal, IL Metro Area",2016,245397.06,3584181.08169972,803458.9455298561
133,14060,"Bloomington-Normal, IL Metro Area",2017,378302.67999999993,5456954.06890792,2095327.5729750402
134,14060,"Bloomington-Normal, IL Metro Area",2018,531750.0125000001,7738315.707738687,2934458.8625430125
135,14260,"Boise City-Nampa, ID Metro Area",2014,293103.36,4407420.503152512,453435.586241472
136,14260,"Boise City-Nampa, ID Metro Area",2015,493334.0,7392505.153146001,1690967.8639562
137,14260,"Boise City-Nampa, ID Metro Area",2016,904180.3400000001,13206132.41687908,2960393.1788963843
138,14260,"Boise City-Nampa, ID Metro Area",2017,1441955.69,20799974.16283286,7986645.8156343205
139,14260,"Boise City-Nampa, ID Metro Area",2018,2092253.6775,30447614.69972186,11546087.827554278
140,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2012,2784481.1999999997,42778020.43297941,1100806.824524502
141,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2013,9087540.06,138892647.01956677,7081692.442986973
142,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2014,15474166.47,233903774.06766215,24064029.02218976
143,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2015,26115535.869999997,390163298.1673631,89246281.90579973
144,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2016,46937636.129999995,685317395.4945424,153626275.98061085
145,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2017,73273444.65,1058040383.429824,406259821.8753755
146,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2018,104382348.21000001,1520511742.3220353,576595647.9860758
147,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2012,2784481.1999999997,42778020.43297941,1100806.824524502
148,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2013,9087540.06,138892647.01956677,7081692.442986973
149,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2014,15474166.47,233903774.06766215,24064029.02218976
150,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2015,26115535.869999997,390163298.1673631,89246281.90579973
151,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2016,46937636.129999995,685317395.4945424,153626275.98061085
152,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2017,73273444.65,1058040383.429824,406259821.8753755
153,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2018,104382348.21000001,1520511742.3220353,576595647.9860758
154,14740,"Bremerton-Silverdale, WA Metro Area",2015,189895.63,2845545.66142797,650892.514677109
155,14740,"Bremerton-Silverdale, WA Metro Area",2016,346902.41000000003,5066731.66792642,1135799.4449500162
156,14740,"Bremerton-Silverdale, WA Metro Area",2017,540820.4199999999,7801245.794683481,2995474.25372176
157,14740,"Bremerton-Silverdale, WA Metro Area",2018,771416.5375,11226073.472533561,4257056.966555538
158,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2014,415992.72000000003,6255318.408121224,643547.391832644
159,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2015,692078.69,10370652.09818811,2372191.708090067
160,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2016,1236871.87,18065305.089394942,4049664.5250181123
161,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,1928339.63,27815982.66807122,10680609.49713464
162,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2018,2735856.2,39813669.034139,15097804.013184201
163,15180,"Brownsville-Harlingen, TX Metro Area",2017,860161.7499999999,12407692.0670545,4764229.087654
164,15180,"Brownsville-Harlingen, TX Metro Area",2018,1219498.1575,17746801.177067462,6729792.368609957
165,15380,"Buffalo-Niagara Falls, NY Metro Area",2014,499998.4,7518519.06338928,773505.52250168
166,15380,"Buffalo-Niagara Falls, NY Metro Area",2015,828717.9,12418161.6232701,2840540.76383397
167,15380,"Buffalo-Niagara Falls, NY Metro Area",2016,1483973.24,21674378.70916888,4858703.582695425
168,15380,"Buffalo-Niagara Falls, NY Metro Area",2017,2307817.6799999997,33289891.25631792,12782447.16189504
169,15380,"Buffalo-Niagara Falls, NY Metro Area",2018,3269757.995,47583298.65241452,18044137.472960796
170,15380,"Buffalo-Niagara Falls, NY Metro Area",2014,499998.4,7518519.06338928,773505.52250168
171,15380,"Buffalo-Niagara Falls, NY Metro Area",2015,828717.9,12418161.6232701,2840540.76383397
172,15380,"Buffalo-Niagara Falls, NY Metro Area",2016,1483973.24,21674378.70916888,4858703.582695425
173,15380,"Buffalo-Niagara Falls, NY Metro Area",2017,2307817.6799999997,33289891.25631792,12782447.16189504
174,15380,"Buffalo-Niagara Falls, NY Metro Area",2018,3269757.995,47583298.65241452,18044137.472960796
175,15540,"Burlington-South Burlington, VT Metro Area",2014,94962.56,1427960.204809152,146908.599289312
176,15540,"Burlington-South Burlington, VT Metro Area",2015,158162.53,2370031.90142907,542123.096141779
177,15540,"Burlington-South Burlington, VT Metro Area",2016,284808.41000000003,4159809.06629842,932496.3582556162
178,15540,"Burlington-South Burlington, VT Metro Area",2017,443232.23,6393552.17089562,2454956.73662744
179,15540,"Burlington-South Burlington, VT Metro Area",2018,629178.62,9156149.851748899,3472117.97683142
180,15940,"Canton-Massillon, OH Metro Area",2014,177726.12,2672482.994510004,274945.150450074
181,15940,"Canton-Massillon, OH Metro Area",2015,294172.48,4408112.09913312,1008315.279588064
182,15940,"Canton-Massillon, OH Metro Area",2016,525678.11,7677865.15830982,1721132.192654336
183,15940,"Canton-Massillon, OH Metro Area",2017,811851.8099999999,11710829.11157214,4496651.947225681
184,15940,"Canton-Massillon, OH Metro Area",2018,1143659.8425,16643160.724942537,6311279.138068043
185,15980,"Cape Coral-Fort Myers, FL Metro Area",2014,298985.72000000003,4495874.057799323,462535.691252494
186,15980,"Cape Coral-Fort Myers, FL Metro Area",2015,512446.86,7678907.2986323405,1756479.732281298
187,15980,"Cape Coral-Fort Myers, FL Metro Area",2016,946260.16,13820735.11328192,3098167.4774364163
188,15980,"Cape Coral-Fort Myers, FL Metro Area",2017,1500624.7199999997,21646265.291347682,8311599.464492161
189,15980,"Cape Coral-Fort Myers, FL Metro Area",2018,2172528.295,31615814.641293023,11989082.763563095
190,16300,"Cedar Rapids, IA Metro Area",2014,116109.4,1745947.06170798,179623.09902263
191,16300,"Cedar Rapids, IA Metro Area",2015,194209.19999999998,2910183.5912148003,665677.84925556
192,16300,"Cedar Rapids, IA Metro Area",2016,350816.69,5123902.23192778,1148615.259782144
193,16300,"Cedar Rapids, IA Metro Area",2017,548694.7899999999,7914832.28952826,3039088.4955791202
194,16300,"Cedar Rapids, IA Metro Area",2018,782371.3275,11385493.541248612,4317510.901387927
195,16580,"Champaign-Urbana, IL Metro Area",2015,174960.56,2621746.8112826403,599700.576931208
196,16580,"Champaign-Urbana, IL Metro Area",2016,314232.32,4589564.09910784,1028833.7133240321
197,16580,"Champaign-Urbana, IL Metro Area",2017,489229.99999999994,7057062.453620001,2709727.32344
198,16580,"Champaign-Urbana, IL Metro Area",2018,694241.52,10102980.5978244,3831167.15227032
199,16620,"Charleston, WV Metro Area",2014,98283.24,1477893.5563627079,152045.74436509798
200,16620,"Charleston, WV Metro Area",2015,160042.28,2398199.55571932,548566.189142204
201,16620,"Charleston, WV Metro Area",2016,287648.49,4201290.25195938,941795.115469824
202,16620,"Charleston, WV Metro Area",2017,436630.67,6298325.75139698,2418392.2832837603
203,16620,"Charleston, WV Metro Area",2018,607886.8075,8846299.803339211,3354619.2529546074
204,16700,"Charleston-North Charleston-Summerville, SC Metro Area",2014,320183.16,4814621.791262172,495328.46999518195
205,16700,"Charleston-North Charleston-Summerville, SC Metro Area",2015,543503.98,8144291.64198162,1862932.139508514
206,16700,"Charleston-North Charleston-Summerville, SC Metro Area",2016,997113.05,14563474.110594101,3264665.8428876805
207,16700,"Charleston-North Charleston-Summerville, SC Metro Area",2017,1574936.93,22718206.723877423,8723196.925609041
208,16700,"Charleston-North Charleston-Summerville, SC Metro Area",2018,2270156.3675,33036551.508587413,12527842.624110568
209,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2013,607193.0800000001,9268869.372291736,472590.04394792597
210,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2014,1047338.16,15748914.240075672,1620248.8861699319
211,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2015,1771244.99,26541729.77345781,6071177.655064157
212,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2016,3241351.3400000003,47342010.34018108,10612566.954665985
213,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2017,5126369.149999999,73947033.6076301,28393725.9689612
214,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2018,7391788.32,107569328.29397039,40791534.058809124
215,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2013,607193.0800000001,9268869.372291736,472590.04394792597
216,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2014,1047338.16,15748914.240075672,1620248.8861699319
217,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2015,1771244.99,26541729.77345781,6071177.655064157
218,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2016,3241351.3400000003,47342010.34018108,10612566.954665985
219,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2017,5126369.149999999,73947033.6076301,28393725.9689612
220,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2018,7391788.32,107569328.29397039,40791534.058809124
221,16860,"Chattanooga, TN-GA Metro Area",2014,238987.32,3593672.942410044,369717.206750814
222,16860,"Chattanooga, TN-GA Metro Area",2015,398836.23,5976476.15111937,1367064.195679689
223,16860,"Chattanooga, TN-GA Metro Area",2016,722072.0,10546323.586864,2364148.9743872
224,16860,"Chattanooga, TN-GA Metro Area",2017,1126398.2799999998,16248110.31541432,6238849.20465184
225,16860,"Chattanooga, TN-GA Metro Area",2018,1603885.8675000002,23340620.42338991,8851033.357320068
226,16860,"Chattanooga, TN-GA Metro Area",2014,238987.32,3593672.942410044,369717.206750814
227,16860,"Chattanooga, TN-GA Metro Area",2015,398836.23,5976476.15111937,1367064.195679689
228,16860,"Chattanooga, TN-GA Metro Area",2016,722072.0,10546323.586864,2364148.9743872
229,16860,"Chattanooga, TN-GA Metro Area",2017,1126398.2799999998,16248110.31541432,6238849.20465184
230,16860,"Chattanooga, TN-GA Metro Area",2018,1603885.8675000002,23340620.42338991,8851033.357320068
231,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2012,5713467.6,87776076.10924643,2258741.8172475463
232,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2013,18501857.599999998,282779713.7483088,14418034.39457312
233,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2014,31240958.7,472230808.6570536,48583123.25224918
234,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2015,52239090.76,780446399.6313863,178519967.7187255
235,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2016,93131956.72,1359781942.1474311,304819689.8125518
236,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2017,144438509.25,2085636569.1400886,800829868.448798
237,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2018,204353338.455,2976764328.7581162,1128823480.455964
238,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2012,5713467.6,87776076.10924643,2258741.8172475463
239,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2013,18501857.599999998,282779713.7483088,14418034.39457312
240,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2014,31240958.7,472230808.6570536,48583123.25224918
241,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2015,52239090.76,780446399.6313863,178519967.7187255
242,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2016,93131956.72,1359781942.1474311,304819689.8125518
243,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2017,144438509.25,2085636569.1400886,800829868.448798
244,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2018,204353338.455,2976764328.7581162,1128823480.455964
245,17020,"Chico, CA Metro Area",2015,164550.03,2465747.2315415703,564017.101483029
246,17020,"Chico, CA Metro Area",2016,297191.84,4340676.98514208,973041.1700387842
247,17020,"Chico, CA Metro Area",2017,465466.81999999995,6714282.482325081,2578108.78382096
248,17020,"Chico, CA Metro Area",2018,664346.8825000001,9667937.555971337,3666193.7965726824
249,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2014,945987.24,14224891.714979507,1463457.391775898
250,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2015,1576310.17,23620672.920742232,5403012.646801831
251,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2016,2831487.71,41355689.76762502,9270625.042359296
252,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2017,4426914.38,63857513.35054772,24519614.19785264
253,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2018,6301810.3925,91707376.02469479,34776498.20711059
254,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2016,2831487.71,41355689.76762502,9270625.042359296
255,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2017,4426914.38,63857513.35054772,24519614.19785264
256,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2018,6301810.3925,91707376.02469479,34776498.20711059
257,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2014,907983.12,13653420.484856904,1404664.410242724
258,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2015,1504391.3,22542983.937044702,5156501.15969159
259,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2016,2692851.72,39330822.42569064,8816714.444009474
260,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2017,4179453.3199999994,60287928.17535608,23148986.89419296
261,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2018,5912109.595000001,86036237.83621652,32625936.980816394
262,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2014,907983.12,13653420.484856904,1404664.410242724
263,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2015,1504391.3,22542983.937044702,5156501.15969159
264,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2016,2692851.72,39330822.42569064,8816714.444009474
265,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2017,4179453.3199999994,60287928.17535608,23148986.89419296
266,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2018,5912109.595000001,86036237.83621652,32625936.980816394
267,17780,"College Station-Bryan, TX Metro Area",2014,105579.32,1587605.340576444,163332.896829214
