SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
040,08,000,00000,00000,00000,0,A,Colorado,Colorado,5029196,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
162,08,000,00760,00000,00000,0,A,Aguilar town,Colorado,538,538,534,517,513,485,468,467,471,476
162,08,000,00925,00000,00000,0,A,Akron town,Colorado,1702,1702,1705,1685,1663,1677,1670,1688,1707,1734
162,08,000,01090,00000,00000,0,A,Alamosa city,Colorado,8780,8844,9302,9408,9418,9495,9544,9663,9752,9871
162,08,000,01530,00000,00000,0,A,Alma town,Colorado,270,270,271,268,268,271,276,280,291,298
162,08,000,02355,00000,00000,0,A,Antonito town,Colorado,781,780,785,782,775,769,769,750,749,755
162,08,000,03235,00000,00000,0,A,Arriba town,Colorado,193,193,193,192,191,192,196,197,201,201
162,08,000,03455,00000,00000,0,A,Arvada city,Colorado,106433,106642,106794,107900,110036,111688,113497,115171,117477,118807
162,08,000,03620,00000,00000,0,A,Aspen city,Colorado,6658,6663,6664,6644,6682,6743,6864,7162,7394,7359
162,08,000,03950,00000,00000,0,A,Ault town,Colorado,1519,1524,1530,1544,1564,1585,1612,1630,1689,1757
162,08,000,04000,00000,00000,0,A,Aurora city,Colorado,325078,324709,326027,332144,338436,344522,351594,358666,362036,366623
162,08,000,04110,00000,00000,0,A,Avon town,Colorado,6447,6391,6373,6344,6384,6428,6475,6507,6562,6541
162,08,000,04935,00000,00000,0,A,Basalt town,Colorado,3857,3854,3848,3827,3847,3871,3890,3886,3920,4170
162,08,000,05265,00000,00000,0,A,Bayfield town,Colorado,2333,2332,2354,2386,2433,2484,2521,2560,2617,2687
162,08,000,06090,00000,00000,0,A,Bennett town,Colorado,2308,2302,2310,2342,2376,2406,2433,2467,2482,2471
162,08,000,06255,00000,00000,0,A,Berthoud town,Colorado,5105,5183,5200,5294,5424,5665,6476,6879,7489,8889
162,08,000,06530,00000,00000,0,A,Bethune town,Colorado,237,237,237,239,238,236,236,237,236,234
162,08,000,07025,00000,00000,0,A,Black Hawk city,Colorado,118,118,118,117,117,119,123,124,126,127
162,08,000,07190,00000,00000,0,A,Blanca town,Colorado,385,385,384,393,389,382,381,378,390,392
162,08,000,07410,00000,00000,0,A,Blue River town,Colorado,849,849,851,849,860,869,879,894,911,917
162,08,000,07571,00000,00000,0,A,Bonanza town,Colorado,16,16,16,16,17,17,17,17,17,18
162,08,000,07795,00000,00000,0,A,Boone town,Colorado,339,339,339,341,343,343,344,350,354,358
162,08,000,07850,00000,00000,0,A,Boulder city,Colorado,97385,97705,98770,101049,102053,103607,105281,107462,107844,107125
162,08,000,08070,00000,00000,0,A,Bow Mar town,Colorado,866,866,868,878,892,909,924,944,970,967
162,08,000,08345,00000,00000,0,A,Branson town,Colorado,74,74,74,71,72,68,67,67,67,68
162,08,000,08400,00000,00000,0,A,Breckenridge town,Colorado,4540,4563,4574,4562,4613,4686,4753,4870,4930,4928
162,08,000,08675,00000,00000,0,A,Brighton city,Colorado,33352,33780,33925,34508,35133,36693,37352,38374,39184,40562
162,08,000,09115,00000,00000,0,A,Brookside town,Colorado,233,233,235,235,242,240,241,244,249,255
162,08,000,09280,00000,00000,0,A,Broomfield city,Colorado,55889,55858,56214,57445,58899,60065,61706,64796,66509,68341
162,08,000,09555,00000,00000,0,A,Brush city,Colorado,5463,5473,5485,5511,5466,5446,5407,5410,5357,5364
162,08,000,10105,00000,00000,0,A,Buena Vista town,Colorado,2617,2566,2566,2596,2617,2680,2687,2707,2732,2806
162,08,000,10600,00000,00000,0,A,Burlington city,Colorado,4254,4254,4251,4101,4021,4237,3967,4179,3620,3178
162,08,000,11260,00000,00000,0,A,Calhan town,Colorado,780,780,785,796,804,808,806,812,822,829
162,08,000,11645,00000,00000,0,A,Campo town,Colorado,109,109,110,109,107,105,103,102,102,102
162,08,000,11810,00000,00000,0,A,Cañon City city,Colorado,16400,16421,16414,16426,16414,16200,16148,16201,16377,16539
162,08,000,12045,00000,00000,0,A,Carbondale town,Colorado,6427,6443,6405,6384,6457,6476,6514,6607,6767,6820
162,08,000,12387,00000,00000,0,A,Castle Pines city,Colorado,A,10360,10395,10472,10601,10655,10703,10658,10587,10523
162,08,000,12415,00000,00000,0,A,Castle Rock town,Colorado,48231,48262,48592,49674,50982,52616,55114,57112,59255,62276
162,08,000,12635,00000,00000,0,A,Cedaredge town,Colorado,2253,2253,2246,2212,2209,2215,2178,2174,2209,2228
162,08,000,12815,00000,00000,0,A,Centennial city,Colorado,100377,100638,100966,102345,104032,106408,107221,108848,109498,110250
162,08,000,12855,00000,00000,0,A,Center town,Colorado,2230,2240,2246,2241,2276,2229,2195,2191,2234,2277
162,08,000,12910,00000,00000,0,A,Central City city,Colorado,663,663,668,660,663,674,709,719,729,736
162,08,000,13460,00000,00000,0,A,Cheraw town,Colorado,252,254,254,254,251,251,249,247,247,250
162,08,000,13845,00000,00000,0,A,Cherry Hills Village city,Colorado,5987,5987,6013,6113,6233,6365,6456,6571,6653,6644
162,08,000,14175,00000,00000,0,A,Cheyenne Wells town,Colorado,846,846,845,856,861,864,847,832,835,841
162,08,000,14765,00000,00000,0,A,City of Creede town,Colorado,290,290,286,288,290,298,285,304,309,312
