,CBSA,MNAME,TTI_INTERPOLATION,Year,TTI,DEL_PER_AUTO_COMMUTER,TOT_DELAY_HRS
0,10420,"Akron, OH Metro Area",0,2012,1.11,30.0,13358.0
1,10420,"Akron, OH Metro Area",0,2013,1.11,32.0,13825.0
2,10420,"Akron, OH Metro Area",0,2014,1.11,33.0,14470.0
3,10420,"Akron, OH Metro Area",0,2015,1.1,35.0,14783.0
4,10420,"Akron, OH Metro Area",0,2016,1.1,35.0,15128.0
5,10420,"Akron, OH Metro Area",0,2017,1.1,37.0,15352.0
6,10420,"Akron, OH Metro Area",0,2018,1.0975000000000001,38.0,15572.5
7,10500,"Albany, GA Metro Area",1,2012,1.065,16.5,1693.0
8,10500,"Albany, GA Metro Area",1,2013,1.0675000000000001,16.75,1722.5
9,10500,"Albany, GA Metro Area",1,2014,1.07,17.0,1752.0
10,10500,"Albany, GA Metro Area",1,2015,1.07,17.0,1791.0
11,10500,"Albany, GA Metro Area",1,2016,1.08,18.0,1831.0
12,10500,"Albany, GA Metro Area",1,2017,1.08,18.0,1870.0
13,10500,"Albany, GA Metro Area",1,2018,1.0825,18.25,1899.5
14,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2012,1.16,45.0,15389.0
15,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2013,1.16,46.0,15838.0
16,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2014,1.17,47.0,16422.0
17,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2015,1.17,48.0,16907.0
18,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2016,1.17,48.0,17258.0
19,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2017,1.17,49.0,17489.0
20,10580,"Albany-Schenectady-Troy, NY Metro Area",0,2018,1.17,49.5,17755.75
21,10740,"Albuquerque, NM Metro Area",0,2012,1.19,40.0,20398.0
22,10740,"Albuquerque, NM Metro Area",0,2013,1.19,41.0,21013.0
23,10740,"Albuquerque, NM Metro Area",0,2014,1.18,41.0,21652.0
24,10740,"Albuquerque, NM Metro Area",0,2015,1.19,43.0,22255.0
25,10740,"Albuquerque, NM Metro Area",0,2016,1.19,44.0,22741.0
26,10740,"Albuquerque, NM Metro Area",0,2017,1.2,44.0,23302.0
27,10740,"Albuquerque, NM Metro Area",0,2018,1.205,44.75,23714.5
28,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2012,1.18,32.0,15728.0
29,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2013,1.18,33.0,16145.0
30,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2014,1.18,34.0,16592.0
31,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2015,1.19,35.0,17010.0
32,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2016,1.2,37.0,17408.0
33,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2017,1.2,38.0,18068.0
34,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,2018,1.205,39.0,18437.0
35,11020,"Altoona, PA Metro Area",1,2012,1.045,16.5,1378.5
36,11020,"Altoona, PA Metro Area",1,2013,1.0475,16.75,1400.75
37,11020,"Altoona, PA Metro Area",1,2014,1.05,17.0,1423.0
38,11020,"Altoona, PA Metro Area",1,2015,1.06,17.0,1453.0
39,11020,"Altoona, PA Metro Area",1,2016,1.06,18.0,1483.0
40,11020,"Altoona, PA Metro Area",1,2017,1.06,18.0,1512.0
41,11020,"Altoona, PA Metro Area",1,2018,1.0625,18.25,1534.25
42,11180,"Ames, IA Metro Area",1,2012,1.065,7.5,890.0
43,11180,"Ames, IA Metro Area",1,2013,1.0675000000000001,7.75,902.0
44,11180,"Ames, IA Metro Area",1,2014,1.07,8.0,914.0
45,11180,"Ames, IA Metro Area",1,2015,1.08,8.0,930.0
46,11180,"Ames, IA Metro Area",1,2016,1.08,8.0,946.0
47,11180,"Ames, IA Metro Area",1,2017,1.08,9.0,962.0
48,11180,"Ames, IA Metro Area",1,2018,1.0825,9.25,974.0
49,11260,"Anchorage, AK Metro Area",0,2012,1.2,40.0,9177.0
50,11260,"Anchorage, AK Metro Area",0,2013,1.2,41.0,9501.0
51,11260,"Anchorage, AK Metro Area",0,2014,1.2,41.0,9658.0
52,11260,"Anchorage, AK Metro Area",0,2015,1.21,41.0,9976.0
53,11260,"Anchorage, AK Metro Area",0,2016,1.22,42.0,10487.0
54,11260,"Anchorage, AK Metro Area",0,2017,1.22,42.0,11149.0
55,11260,"Anchorage, AK Metro Area",0,2018,1.225,42.25,11521.75
56,11460,"Ann Arbor, MI Metro Area",1,2012,1.11,22.0,6750.0
57,11460,"Ann Arbor, MI Metro Area",1,2013,1.11,22.0,6795.0
58,11460,"Ann Arbor, MI Metro Area",1,2014,1.11,22.0,6840.0
59,11460,"Ann Arbor, MI Metro Area",1,2015,1.11,22.0,6900.0
60,11460,"Ann Arbor, MI Metro Area",1,2016,1.11,22.0,6960.0
61,11460,"Ann Arbor, MI Metro Area",1,2017,1.11,22.0,7020.0
62,11460,"Ann Arbor, MI Metro Area",1,2018,1.11,22.0,7065.0
63,11540,"Appleton, WI Metro Area",1,2012,1.06,15.0,3405.5
64,11540,"Appleton, WI Metro Area",1,2013,1.06,15.0,3435.25
65,11540,"Appleton, WI Metro Area",1,2014,1.06,15.0,3465.0
66,11540,"Appleton, WI Metro Area",1,2015,1.06,15.0,3505.0
67,11540,"Appleton, WI Metro Area",1,2016,1.06,15.0,3544.0
68,11540,"Appleton, WI Metro Area",1,2017,1.06,15.0,3584.0
69,11540,"Appleton, WI Metro Area",1,2018,1.06,15.0,3613.75
70,11700,"Asheville, NC Metro Area",1,2012,1.08,25.5,7726.0
71,11700,"Asheville, NC Metro Area",1,2013,1.08,25.75,7804.0
72,11700,"Asheville, NC Metro Area",1,2014,1.08,26.0,7882.0
73,11700,"Asheville, NC Metro Area",1,2015,1.08,26.0,7985.0
74,11700,"Asheville, NC Metro Area",1,2016,1.08,27.0,8088.0
75,11700,"Asheville, NC Metro Area",1,2017,1.08,27.0,8194.0
76,11700,"Asheville, NC Metro Area",1,2018,1.08,27.25,8272.0
77,12020,"Athens-Clarke County, GA Metro Area",1,2012,1.08,21.0,2937.5
78,12020,"Athens-Clarke County, GA Metro Area",1,2013,1.085,22.0,3081.25
79,12020,"Athens-Clarke County, GA Metro Area",1,2014,1.09,23.0,3225.0
80,12020,"Athens-Clarke County, GA Metro Area",1,2015,1.09,24.0,3417.0
81,12020,"Athens-Clarke County, GA Metro Area",1,2016,1.1,26.0,3608.0
82,12020,"Athens-Clarke County, GA Metro Area",1,2017,1.11,27.0,3800.0
83,12020,"Athens-Clarke County, GA Metro Area",1,2018,1.1150000000000002,28.0,3943.75
84,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2012,1.24,64.0,215539.0
85,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2013,1.25,66.0,224398.0
86,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2014,1.25,68.0,227691.0
87,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2015,1.27,71.0,232059.0
88,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2016,1.28,74.0,235198.0
89,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2017,1.3,77.0,237405.0
90,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,2018,1.3125,79.25,239833.5
91,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2012,1.1,23.5,9745.5
92,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2013,1.1,23.75,9796.25
93,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2014,1.1,24.0,9847.0
94,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2015,1.1,24.0,9914.0
95,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2016,1.1,24.0,9982.0
96,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2017,1.1,25.0,10050.0
97,12260,"Augusta-Richmond County, GA-SC Metro Area",1,2018,1.1,25.25,10100.75
98,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2012,1.31,55.0,54518.0
99,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2013,1.32,58.0,56789.0
100,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2014,1.33,59.0,58506.0
101,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2015,1.33,61.0,61262.0
102,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2016,1.34,63.0,64709.0
103,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2017,1.34,66.0,68187.0
104,12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,2018,1.3425,67.75,70607.25
105,12540,"Bakersfield-Delano, CA Metro Area",0,2012,1.11,18.0,7079.0
106,12540,"Bakersfield-Delano, CA Metro Area",0,2013,1.12,18.0,7201.0
107,12540,"Bakersfield-Delano, CA Metro Area",0,2014,1.12,22.0,7834.0
108,12540,"Bakersfield-Delano, CA Metro Area",0,2015,1.13,22.0,8067.0
109,12540,"Bakersfield-Delano, CA Metro Area",0,2016,1.13,23.0,8467.0
110,12540,"Bakersfield-Delano, CA Metro Area",0,2017,1.13,24.0,8896.0
111,12540,"Bakersfield-Delano, CA Metro Area",0,2018,1.1324999999999998,24.5,9161.5
112,12580,"Baltimore-Towson, MD Metro Area",0,2012,1.25,50.0,82074.0
113,12580,"Baltimore-Towson, MD Metro Area",0,2013,1.25,51.0,84539.0
114,12580,"Baltimore-Towson, MD Metro Area",0,2014,1.26,54.0,86755.0
115,12580,"Baltimore-Towson, MD Metro Area",0,2015,1.25,55.0,88266.0
116,12580,"Baltimore-Towson, MD Metro Area",0,2016,1.25,57.0,91419.0
117,12580,"Baltimore-Towson, MD Metro Area",0,2017,1.25,59.0,93815.0
118,12580,"Baltimore-Towson, MD Metro Area",0,2018,1.2475,60.25,95580.0
119,12940,"Baton Rouge, LA Metro Area",0,2012,1.21,48.0,22891.0
120,12940,"Baton Rouge, LA Metro Area",0,2013,1.22,50.0,24500.0
121,12940,"Baton Rouge, LA Metro Area",0,2014,1.22,52.0,26174.0
122,12940,"Baton Rouge, LA Metro Area",0,2015,1.23,55.0,27246.0
123,12940,"Baton Rouge, LA Metro Area",0,2016,1.23,56.0,27852.0
124,12940,"Baton Rouge, LA Metro Area",0,2017,1.23,58.0,28362.0
125,12940,"Baton Rouge, LA Metro Area",0,2018,1.2325,59.5,28909.0
126,13020,"Bay City, MI Metro Area",1,2012,1.05,15.0,1103.5
127,13020,"Bay City, MI Metro Area",1,2013,1.05,15.0,1099.75
128,13020,"Bay City, MI Metro Area",1,2014,1.05,15.0,1096.0
129,13020,"Bay City, MI Metro Area",1,2015,1.05,15.0,1091.0
130,13020,"Bay City, MI Metro Area",1,2016,1.05,15.0,1086.0
131,13020,"Bay City, MI Metro Area",1,2017,1.05,15.0,1081.0
132,13020,"Bay City, MI Metro Area",1,2018,1.05,15.0,1077.25
133,13140,"Beaumont-Port Arthur, TX Metro Area",0,2012,1.13,34.0,6800.0
134,13140,"Beaumont-Port Arthur, TX Metro Area",0,2013,1.14,37.0,7220.0
135,13140,"Beaumont-Port Arthur, TX Metro Area",0,2014,1.13,38.0,7566.0
136,13140,"Beaumont-Port Arthur, TX Metro Area",0,2015,1.13,39.0,7786.0
137,13140,"Beaumont-Port Arthur, TX Metro Area",0,2016,1.13,40.0,8491.0
138,13140,"Beaumont-Port Arthur, TX Metro Area",0,2017,1.13,41.0,8493.0
139,13140,"Beaumont-Port Arthur, TX Metro Area",0,2018,1.13,41.75,8724.75
140,13380,"Bellingham, WA Metro Area",1,2012,1.08,18.0,2105.0
141,13380,"Bellingham, WA Metro Area",1,2013,1.09,20.0,2353.0
142,13380,"Bellingham, WA Metro Area",1,2014,1.1,22.0,2601.0
143,13380,"Bellingham, WA Metro Area",1,2015,1.11,24.0,2932.0
144,13380,"Bellingham, WA Metro Area",1,2016,1.13,27.0,3262.0
145,13380,"Bellingham, WA Metro Area",1,2017,1.14,30.0,3593.0
146,13380,"Bellingham, WA Metro Area",1,2018,1.15,32.0,3841.0
147,13740,"Billings, MT Metro Area",1,2012,1.0750000000000002,14.0,1927.5
148,13740,"Billings, MT Metro Area",1,2013,1.0775000000000001,14.5,1968.75
149,13740,"Billings, MT Metro Area",1,2014,1.08,15.0,2010.0
150,13740,"Billings, MT Metro Area",1,2015,1.08,16.0,2065.0
151,13740,"Billings, MT Metro Area",1,2016,1.09,16.0,2120.0
152,13740,"Billings, MT Metro Area",1,2017,1.09,17.0,2175.0
153,13740,"Billings, MT Metro Area",1,2018,1.0925,17.5,2216.25
154,13780,"Binghamton, NY Metro Area",1,2012,1.0550000000000002,19.0,3102.0
155,13780,"Binghamton, NY Metro Area",1,2013,1.0525,18.5,3042.5
156,13780,"Binghamton, NY Metro Area",1,2014,1.05,18.0,2983.0
157,13780,"Binghamton, NY Metro Area",1,2015,1.05,17.0,2903.0
158,13780,"Binghamton, NY Metro Area",1,2016,1.05,17.0,2824.0
159,13780,"Binghamton, NY Metro Area",1,2017,1.04,16.0,2745.0
