NTD_ID,Legacy NTD ID,Agency Name,Reporter Type,Form Module Type,Mode,TOS,Expense Type,2015
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,CB,PT,Funds Earned During Period,15973711.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,983881.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,DT,PT,Funds Earned During Period,430252.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,LR,PT,Funds Earned During Period,18203801.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,136162762.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,MB,PT,Funds Earned During Period,1180841.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,SR,DO,Funds Earned During Period,465698.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,TB,DO,Funds Earned During Period,22028748.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,7121362.00
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,472560.00
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,170357.00
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,7988366.00
2,2,Spokane Transit Authority,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,590762.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,CB,PT,Funds Earned During Period,10442112.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,72326.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,162720.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,9366803.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,3026565.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,0.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,0.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0.00
5,5,Everett Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,104641.00
5,5,Everett Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,1401252.00
6,6,Yakima Transit,Full Reporter,Full Reporter,CB,PT,Funds Earned During Period,174695.00
6,6,Yakima Transit,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,152642.00
6,6,Yakima Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,812661.00
6,6,Yakima Transit,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,209074.00
7,7,Lane Transit District,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,308991.00
7,7,Lane Transit District,Full Reporter,Full Reporter,DT,PT,Funds Earned During Period,0.00
7,7,Lane Transit District,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,5385722.00
7,7,Lane Transit District,Full Reporter,Full Reporter,MB,PT,Funds Earned During Period,37258.00
7,7,Lane Transit District,Full Reporter,Full Reporter,RB,DO,Funds Earned During Period,1897201.00
7,7,Lane Transit District,Full Reporter,Full Reporter,VP,PT,Funds Earned During Period,324066.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,6737573.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,DT,PT,Funds Earned During Period,867326.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,LR,DO,Funds Earned During Period,46025815.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,68567921.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,SR,PT,Funds Earned During Period,498003.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Full Reporter,YR,PT,Funds Earned During Period,522503.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,2910.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,0.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,0.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.00
11,11,Valley Regional Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,88536.00
11,11,Valley Regional Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,931936.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,1220138.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,4191141.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Full Reporter,VP,PT,Funds Earned During Period,1175529.00
14,0T14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.00
14,0T14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,36703.00
15,0T15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.00
15,0T15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.00
16,16,RiverCities Transit,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,14948.00
16,16,RiverCities Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,133339.00
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.00
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.00
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,0.00
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,11385.00
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,288193.00
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,31742.00
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,DT,PT,Funds Earned During Period,165741.00
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,1285120.00
18,18,Ben Franklin Transit,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,2209862.00
19,19,Intercity Transit,Full Reporter,Full Reporter,CB,DO,Funds Earned During Period,255059.00
19,19,Intercity Transit,Full Reporter,Full Reporter,CB,PT,Funds Earned During Period,72227.00
19,19,Intercity Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,284661.00
19,19,Intercity Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,2475078.00
19,19,Intercity Transit,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,1746164.00
20,20,Kitsap Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,372561.00
20,20,Kitsap Transit,Full Reporter,Full Reporter,FB,PT,Funds Earned During Period,834621.00
20,20,Kitsap Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,4866090.00
20,20,Kitsap Transit,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,596936.00
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,80336.00
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,DT,PT,Funds Earned During Period,84.00
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,1669332.00
21,21,Whatcom Transportation Authority,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,233308.00
22,22,City of Pocatello,Reduced Reporter,Reduced Reporter,DR,DO,Funds Expended on Capital,0.00
22,22,City of Pocatello,Reduced Reporter,Reduced Reporter,DR,DO,Funds Expended on Operations,38546.00
22,22,City of Pocatello,Reduced Reporter,Reduced Reporter,MB,DO,Funds Expended on Capital,0.00
22,22,City of Pocatello,Reduced Reporter,Reduced Reporter,MB,DO,Funds Expended on Operations,93336.00
23,23,City of Seattle - Seattle Center Monorail Transit,Full Reporter,Full Reporter,MG,PT,Funds Earned During Period,4334884.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,CB,DO,Funds Earned During Period,2938339.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,399531.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,4273160.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,209957.00
25,25,Salem Area Mass Transit District,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,226675.00
25,25,Salem Area Mass Transit District,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,2623816.00
25,25,Salem Area Mass Transit District,Full Reporter,Full Reporter,VP,PT,Funds Earned During Period,481530.00
28,28,Pierce County Ferry Operations,Full Reporter,Full Reporter,FB,PT,Funds Earned During Period,2233060.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,CB,DO,Funds Earned During Period,4049767.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,CB,PT,Funds Earned During Period,14539068.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,353714.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,7753747.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,2932352.00
30,0T30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.00
30,0T30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,5325.00
31,0T31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.00
31,0T31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,14299.00
32,0T32,Skokomish Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.00
32,0T32,Skokomish Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.00
32,0T32,Skokomish Indian Tribe,Reduced Reporter,Tribe,MB,PT,Funds Expended on Capital,0.00
32,0T32,Skokomish Indian Tribe,Reduced Reporter,Tribe,MB,PT,Funds Expended on Operations,0.00
34,34,Rogue Valley Transportation District,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,119981.00
34,34,Rogue Valley Transportation District,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,1256420.00
35,35,Washington State Ferries,Full Reporter,Full Reporter,FB,DO,Funds Earned During Period,39554501.00
36,0T36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.00
36,0T36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,1092.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,CB,DO,Funds Earned During Period,26488050.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,CB,PT,Funds Earned During Period,8830121.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,CR,PT,Funds Earned During Period,11903668.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,LR,DO,Funds Earned During Period,18203801.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Full Reporter,SR,DO,Funds Earned During Period,0.00
41,41,Alaska Railroad Corporation,Full Reporter,Full Reporter,AR,DO,Funds Earned During Period,19932525.00
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Reduced Reporter,DR,DO,Funds Expended on Capital,0.00
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Reduced Reporter,DR,DO,Funds Expended on Operations,39092.00
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Reduced Reporter,MB,DO,Funds Expended on Capital,0.00
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Reduced Reporter,MB,DO,Funds Expended on Operations,14080.00
43,43,Link Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,32690.00
43,43,Link Transit,Full Reporter,Full Reporter,DR,PT,Funds Earned During Period,744.00
43,43,Link Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,624053.00
44,44,Skagit Transit,Full Reporter,Full Reporter,CB,DO,Funds Earned During Period,123823.00
44,44,Skagit Transit,Full Reporter,Full Reporter,DR,DO,Funds Earned During Period,5678.00
44,44,Skagit Transit,Full Reporter,Full Reporter,MB,DO,Funds Earned During Period,337201.00
44,44,Skagit Transit,Full Reporter,Full Reporter,VP,DO,Funds Earned During Period,479466.00
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Reduced Reporter,CB,DO,Funds Expended on Capital,0.00
