NTD_ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,2016
1,1,King County Department of Transportation,Full Reporter,Urban,CB,PT,Funds Earned During Period,16362096.00
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Funds Earned During Period,957269.00
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Funds Earned During Period,440458.00
1,1,King County Department of Transportation,Full Reporter,Urban,FB,DO,Funds Earned During Period,2477371.00
1,1,King County Department of Transportation,Full Reporter,Urban,LR,PT,Funds Earned During Period,30786785.00
1,1,King County Department of Transportation,Full Reporter,Urban,MB,DO,Funds Earned During Period,139001364.00
1,1,King County Department of Transportation,Full Reporter,Urban,MB,PT,Funds Earned During Period,1229557.00
1,1,King County Department of Transportation,Full Reporter,Urban,SR,DO,Funds Earned During Period,1250080.00
1,1,King County Department of Transportation,Full Reporter,Urban,TB,DO,Funds Earned During Period,22872383.00
1,1,King County Department of Transportation,Full Reporter,Urban,VP,DO,Funds Earned During Period,7293271.00
2,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,455855.00
2,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,192427.00
2,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,7517135.00
2,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,569848.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,11065478.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,97116.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,221644.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,8576749.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,3017326.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribal,FB,DO,Funds Expended on Capital,0.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribal,FB,DO,Funds Expended on Operations,0.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribal,MB,DO,Funds Expended on Capital,0.00
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribal,MB,DO,Funds Expended on Operations,0.00
5,5,Everett Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,103809.00
5,5,Everett Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,1287776.00
6,6,Yakima Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,212775.00
6,6,Yakima Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,120722.00
6,6,Yakima Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,828202.00
6,6,Yakima Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,162052.00
7,7,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,313677.00
7,7,Lane Transit District,Full Reporter,Urban,DT,PT,Funds Earned During Period,0.00
7,7,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,5205513.00
7,7,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,28461.00
7,7,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,1914337.00
7,7,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,214498.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,7312066.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DT,PT,Funds Earned During Period,1095793.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Funds Earned During Period,49059712.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Funds Earned During Period,66843094.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Funds Earned During Period,854201.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Funds Earned During Period,540148.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribal,DR,DO,Funds Expended on Capital,0.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribal,DR,DO,Funds Expended on Operations,0.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribal,MB,DO,Funds Expended on Capital,0.00
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribal,MB,DO,Funds Expended on Operations,83.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribal,CB,DO,Funds Expended on Capital,0.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribal,CB,DO,Funds Expended on Operations,0.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribal,DR,DO,Funds Expended on Capital,0.00
10,0T10,Klamath Tribes,Reduced Reporter,Tribal,DR,DO,Funds Expended on Operations,0.00
11,11,Valley Regional Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,94984.00
11,11,Valley Regional Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,790719.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,DR,PT,Funds Earned During Period,1168554.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,DO,Funds Earned During Period,3904205.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,VP,PT,Funds Earned During Period,932106.00
