NTD_ID,4 digit NTDID,Reporter Name,Reporter Type,Mode,TOS,Expense Type,2014
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,CB,PT,Funds Earned During Period,14708647.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DR,PT,Funds Earned During Period,957280.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,DT,PT,Funds Earned During Period,309318.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,LR,PT,Funds Earned During Period,15867923.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,DO,Funds Earned During Period,130249639.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Funds Earned During Period,1069328.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Funds Earned During Period,423340.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Funds Earned During Period,24787685.00
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Funds Earned During Period,11804793.00
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,470539.00
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,157919.00
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,8475543.00
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Funds Earned During Period,746614.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,CB,PT,Funds Earned During Period,10256954.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,72523.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,164470.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,8858933.00
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Funds Earned During Period,3116822.00
5,5,Everett Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,110663.00
5,5,Everett Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,1443345.00
6,6,Yakima Transit,Full Reporter: Operating,CB,PT,Funds Earned During Period,0.00
6,6,Yakima Transit,Full Reporter: Operating,DR,PT,Funds Earned During Period,125862.00
6,6,Yakima Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,958667.00
6,6,Yakima Transit,Full Reporter: Operating,VP,DO,Funds Earned During Period,238266.00
7,7,Lane Transit District,Full Reporter: Operating,DR,PT,Funds Earned During Period,285891.00
7,7,Lane Transit District,Full Reporter: Operating,DT,PT,Funds Earned During Period,0.00
7,7,Lane Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,5296259.00
7,7,Lane Transit District,Full Reporter: Operating,MB,PT,Funds Earned During Period,39382.00
7,7,Lane Transit District,Full Reporter: Operating,RB,DO,Funds Earned During Period,1772690.00
7,7,Lane Transit District,Full Reporter: Operating,VP,PT,Funds Earned During Period,267017.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,DR,PT,Funds Earned During Period,5168822.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,DT,PT,Funds Earned During Period,610351.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,LR,DO,Funds Earned During Period,46404323.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,MB,DO,Funds Earned During Period,65529184.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,SR,PT,Funds Earned During Period,531922.00
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,YR,PT,Funds Earned During Period,554133.00
11,11,Valley Regional Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,93103.00
11,11,Valley Regional Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,877868.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter: Operating,DR,PT,Funds Earned During Period,1245627.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter: Operating,MB,DO,Funds Earned During Period,4243486.00
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter: Operating,VP,PT,Funds Earned During Period,1595871.00
16,16,RiverCities Transit,Full Reporter: Operating,DR,PT,Funds Earned During Period,0.00
16,16,RiverCities Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,121006.00
18,18,Ben Franklin Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,290085.00
18,18,Ben Franklin Transit,Full Reporter: Operating,DR,PT,Funds Earned During Period,30660.00
18,18,Ben Franklin Transit,Full Reporter: Operating,DT,PT,Funds Earned During Period,155724.00
18,18,Ben Franklin Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,1461664.00
18,18,Ben Franklin Transit,Full Reporter: Operating,VP,DO,Funds Earned During Period,2282102.00
19,19,Intercity Transit,Full Reporter: Operating,CB,DO,Funds Earned During Period,289072.00
19,19,Intercity Transit,Full Reporter: Operating,CB,PT,Funds Earned During Period,68452.00
19,19,Intercity Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,236646.00
19,19,Intercity Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,2608098.00
19,19,Intercity Transit,Full Reporter: Operating,VP,DO,Funds Earned During Period,1832856.00
20,20,Kitsap Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,295423.00
20,20,Kitsap Transit,Full Reporter: Operating,DT,PT,Funds Earned During Period,284.00
20,20,Kitsap Transit,Full Reporter: Operating,FB,PT,Funds Earned During Period,761800.00
20,20,Kitsap Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,5027829.00
20,20,Kitsap Transit,Full Reporter: Operating,VP,DO,Funds Earned During Period,646508.00
21,21,Whatcom Transportation Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,80929.00
21,21,Whatcom Transportation Authority,Full Reporter: Operating,DT,PT,Funds Earned During Period,83.00
21,21,Whatcom Transportation Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,1825001.00
21,21,Whatcom Transportation Authority,Full Reporter: Operating,VP,DO,Funds Earned During Period,270074.00
22,22,City of Pocatello - Pocatello Regional Transit,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
22,22,City of Pocatello - Pocatello Regional Transit,Small Systems Reporter,DR,DO,Funds Expended on Operations,36919.00
22,22,City of Pocatello - Pocatello Regional Transit,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
