,record,lma_code,lma_fips,lma_title,two_digit,Area_Code
2,3,MT0111500000000,11500,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",MT,LAUMT0111500000000
4,5,MT0112220000000,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",MT,LAUMT0112220000000
5,6,MT0113820000000,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",MT,LAUMT0113820000000
19,20,MT1317980000000,17980,"Columbus, GA-AL Metropolitan Statistical Area",MT,LAUMT1317980000000
24,25,MT0119300000000,19300,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",MT,LAUMT0119300000000
25,26,MT0119460000000,19460,"Decatur, AL Metropolitan Statistical Area",MT,LAUMT0119460000000
27,28,MT0120020000000,20020,"Dothan, AL Metropolitan Statistical Area",MT,LAUMT0120020000000
33,34,MT0122520000000,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",MT,LAUMT0122520000000
37,38,MT0123460000000,23460,"Gadsden, AL Metropolitan Statistical Area",MT,LAUMT0123460000000
39,40,MT0126620000000,26620,"Huntsville, AL Metropolitan Statistical Area",MT,LAUMT0126620000000
45,46,MT0133660000000,33660,"Mobile, AL Metropolitan Statistical Area",MT,LAUMT0133660000000
47,48,MT0133860000000,33860,"Montgomery, AL Metropolitan Statistical Area",MT,LAUMT0133860000000
60,61,MT0146220000000,46220,"Tuscaloosa, AL Metropolitan Statistical Area",MT,LAUMT0146220000000
69,70,MT0211260000000,11260,"Anchorage, AK Metropolitan Statistical Area",MT,LAUMT0211260000000
75,76,MT0221820000000,21820,"Fairbanks, AK Metropolitan Statistical Area",MT,LAUMT0221820000000
97,98,MT0422380000000,22380,"Flagstaff, AZ Metropolitan Statistical Area",MT,LAUMT0422380000000
100,101,MT0429420000000,29420,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",MT,LAUMT0429420000000
103,104,MT0438060000000,38060,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",MT,LAUMT0438060000000
105,106,MT0439140000000,39140,"Prescott, AZ Metropolitan Statistical Area",MT,LAUMT0439140000000
108,109,MT0443420000000,43420,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",MT,LAUMT0443420000000
109,110,MT0446060000000,46060,"Tucson, AZ Metropolitan Statistical Area",MT,LAUMT0446060000000
110,111,MT0449740000000,49740,"Yuma, AZ Metropolitan Statistical Area",MT,LAUMT0449740000000
129,130,MT0522220000000,22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",MT,LAUMT0522220000000
133,134,MT0522900000000,22900,"Fort Smith, AR-OK Metropolitan Statistical Area",MT,LAUMT0522900000000
142,143,MT0526300000000,26300,"Hot Springs, AR Metropolitan Statistical Area",MT,LAUMT0526300000000
147,148,MT0527860000000,27860,"Jonesboro, AR Metropolitan Statistical Area",MT,LAUMT0527860000000
152,153,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",MT,LAUMT0530780000000
162,163,MT4732820000000,32820,"Memphis, TN-MS-AR Metropolitan Statistical Area",MT,LAUMT4732820000000
168,169,MT0538220000000,38220,"Pine Bluff, AR Metropolitan Statistical Area",MT,LAUMT0538220000000
182,183,MT4845500000000,45500,"Texarkana, TX-AR Metropolitan Statistical Area",MT,LAUMT4845500000000
188,189,MT0612540000000,12540,"Bakersfield, CA Metropolitan Statistical Area",MT,LAUMT0612540000000
190,191,MT0617020000000,17020,"Chico, CA Metropolitan Statistical Area",MT,LAUMT0617020000000
194,195,MT0620940000000,20940,"El Centro, CA Metropolitan Statistical Area",MT,LAUMT0620940000000
196,197,MT0623420000000,23420,"Fresno, CA Metropolitan Statistical Area",MT,LAUMT0623420000000
198,199,MT0625260000000,25260,"Hanford-Corcoran, CA Metropolitan Statistical Area",MT,LAUMT0625260000000
200,201,MT0631080000000,31080,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",MT,LAUMT0631080000000
202,203,MT0631460000000,31460,"Madera, CA Metropolitan Statistical Area",MT,LAUMT0631460000000
204,205,MT0632900000000,32900,"Merced, CA Metropolitan Statistical Area",MT,LAUMT0632900000000
205,206,MT0633700000000,33700,"Modesto, CA Metropolitan Statistical Area",MT,LAUMT0633700000000
208,209,MT0634900000000,34900,"Napa, CA Metropolitan Statistical Area",MT,LAUMT0634900000000
209,210,MT0637100000000,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",MT,LAUMT0637100000000
212,213,MT0639820000000,39820,"Redding, CA Metropolitan Statistical Area",MT,LAUMT0639820000000
213,214,MT0640140000000,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",MT,LAUMT0640140000000
215,216,MT0640900000000,40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",MT,LAUMT0640900000000
219,220,MT0641500000000,41500,"Salinas, CA Metropolitan Statistical Area",MT,LAUMT0641500000000
220,221,MT0641740000000,41740,"San Diego-Carlsbad, CA Metropolitan Statistical Area",MT,LAUMT0641740000000
221,222,MT0641860000000,41860,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",MT,LAUMT0641860000000
226,227,MT0641940000000,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",MT,LAUMT0641940000000
228,229,MT0642020000000,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",MT,LAUMT0642020000000
229,230,MT0642100000000,42100,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",MT,LAUMT0642100000000
230,231,MT0642200000000,42200,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",MT,LAUMT0642200000000
231,232,MT0642220000000,42220,"Santa Rosa, CA Metropolitan Statistical Area",MT,LAUMT0642220000000
235,236,MT0644700000000,44700,"Stockton-Lodi, CA Metropolitan Statistical Area",MT,LAUMT0644700000000
240,241,MT0646700000000,46700,"Vallejo-Fairfield, CA Metropolitan Statistical Area",MT,LAUMT0646700000000
241,242,MT0647300000000,47300,"Visalia-Porterville, CA Metropolitan Statistical Area",MT,LAUMT0647300000000
242,243,MT0649700000000,49700,"Yuba City, CA Metropolitan Statistical Area",MT,LAUMT0649700000000
249,250,MT0814500000000,14500,"Boulder, CO Metropolitan Statistical Area",MT,LAUMT0814500000000
254,255,MT0817820000000,17820,"Colorado Springs, CO Metropolitan Statistical Area",MT,LAUMT0817820000000
260,261,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",MT,LAUMT0819740000000
273,274,MT0822660000000,22660,"Fort Collins, CO Metropolitan Statistical Area",MT,LAUMT0822660000000
278,279,MT0824300000000,24300,"Grand Junction, CO Metropolitan Statistical Area",MT,LAUMT0824300000000
279,280,MT0824540000000,24540,"Greeley, CO Metropolitan Statistical Area",MT,LAUMT0824540000000
297,298,MT0839380000000,39380,"Pueblo, CO Metropolitan Statistical Area",MT,LAUMT0839380000000
308,309,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",MT,LAUMT0971950000000
332,333,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA",MT,LAUMT0972850000000
342,343,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",MT,LAUMT0973450000000
409,410,MT0975700000000,75700,"New Haven, CT Metropolitan NECTA",MT,LAUMT0975700000000
432,433,MT0976450000000,76450,"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",MT,LAUMT0976450000000
452,453,MT2578100000000,78100,"Springfield, MA-CT Metropolitan NECTA",MT,LAUMT2578100000000
460,461,MT0978700000000,78700,"Waterbury, CT Metropolitan NECTA",MT,LAUMT0978700000000
469,470,MT2579600000000,79600,"Worcester, MA-CT Metropolitan NECTA",MT,LAUMT2579600000000
477,478,MT1020100000000,20100,"Dover, DE Metropolitan Statistical Area",MT,LAUMT1020100000000
478,479,MT4237980000000,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",MT,LAUMT4237980000000
479,480,MT1041540000000,41540,"Salisbury, MD-DE Metropolitan Statistical Area",MT,LAUMT1041540000000
480,481,MT1147900000000,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",MT,LAUMT1147900000000
484,485,MT1215980000000,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",MT,LAUMT1215980000000
486,487,MT1218880000000,18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",MT,LAUMT1218880000000
488,489,MT1219660000000,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",MT,LAUMT1219660000000
492,493,MT1223540000000,23540,"Gainesville, FL Metropolitan Statistical Area",MT,LAUMT1223540000000
497,498,MT1226140000000,26140,"Homosassa Springs, FL Metropolitan Statistical Area",MT,LAUMT1226140000000
499,500,MT1227260000000,27260,"Jacksonville, FL Metropolitan Statistical Area",MT,LAUMT1227260000000
507,508,MT1229460000000,29460,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",MT,LAUMT1229460000000
511,512,MT1233100000000,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",MT,LAUMT1233100000000
514,515,MT1234940000000,34940,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",MT,LAUMT1234940000000
515,516,MT1235840000000,35840,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",MT,LAUMT1235840000000
517,518,MT1236100000000,36100,"Ocala, FL Metropolitan Statistical Area",MT,LAUMT1236100000000
519,520,MT1236740000000,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",MT,LAUMT1236740000000
524,525,MT1237340000000,37340,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",MT,LAUMT1237340000000
525,526,MT1237460000000,37460,"Panama City, FL Metropolitan Statistical Area",MT,LAUMT1237460000000
527,528,MT1237860000000,37860,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",MT,LAUMT1237860000000
529,530,MT1238940000000,38940,"Port St. Lucie, FL Metropolitan Statistical Area",MT,LAUMT1238940000000
531,532,MT1239460000000,39460,"Punta Gorda, FL Metropolitan Statistical Area",MT,LAUMT1239460000000
532,533,MT1242680000000,42680,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",MT,LAUMT1242680000000
533,534,MT1242700000000,42700,"Sebring, FL Metropolitan Statistical Area",MT,LAUMT1242700000000
535,536,MT1245220000000,45220,"Tallahassee, FL Metropolitan Statistical Area",MT,LAUMT1245220000000
539,540,MT1245300000000,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",MT,LAUMT1245300000000
544,545,MT1245540000000,45540,"The Villages, FL Metropolitan Statistical Area",MT,LAUMT1245540000000
548,549,MT1310500000000,10500,"Albany, GA Metropolitan Statistical Area",MT,LAUMT1310500000000
556,557,MT1312020000000,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",MT,LAUMT1312020000000
561,562,MT1312060000000,12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",MT,LAUMT1312060000000
590,591,MT1312260000000,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",MT,LAUMT1312260000000
600,601,MT1315260000000,15260,"Brunswick, GA Metropolitan Statistical Area",MT,LAUMT1315260000000
608,609,MT4716860000000,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",MT,LAUMT4716860000000
620,621,MT1319140000000,19140,"Dalton, GA Metropolitan Statistical Area",MT,LAUMT1319140000000
635,636,MT1323580000000,23580,"Gainesville, GA Metropolitan Statistical Area",MT,LAUMT1323580000000
643,644,MT1325980000000,25980,"Hinesville, GA Metropolitan Statistical Area",MT,LAUMT1325980000000
654,655,MT1331420000000,31420,"Macon-Bibb County, GA Metropolitan Statistical Area",MT,LAUMT1331420000000
667,668,MT1340660000000,40660,"Rome, GA Metropolitan Statistical Area",MT,LAUMT1340660000000
669,670,MT1342340000000,42340,"Savannah, GA Metropolitan Statistical Area",MT,LAUMT1342340000000
689,690,MT1346660000000,46660,"Valdosta, GA Metropolitan Statistical Area",MT,LAUMT1346660000000
695,696,MT1347580000000,47580,"Warner Robins, GA Metropolitan Statistical Area",MT,LAUMT1347580000000
708,709,MT1527980000000,27980,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",MT,LAUMT1527980000000
710,711,MT1546520000000,46520,"Urban Honolulu, HI Metropolitan Statistical Area",MT,LAUMT1546520000000
715,716,MT1614260000000,14260,"Boise City, ID Metropolitan Statistical Area",MT,LAUMT1614260000000
726,727,MT1617660000000,17660,"Coeur d'Alene, ID Metropolitan Statistical Area",MT,LAUMT1617660000000
732,733,MT1626820000000,26820,"Idaho Falls, ID Metropolitan Statistical Area",MT,LAUMT1626820000000
739,740,MT1630300000000,30300,"Lewiston, ID-WA Metropolitan Statistical Area",MT,LAUMT1630300000000
740,741,MT4930860000000,30860,"Logan, UT-ID Metropolitan Statistical Area",MT,LAUMT4930860000000
745,746,MT1638540000000,38540,"Pocatello, ID Metropolitan Statistical Area",MT,LAUMT1638540000000
751,752,MT1646300000000,46300,"Twin Falls, ID Metropolitan Statistical Area",MT,LAUMT1646300000000
755,756,MT1714010000000,14010,"Bloomington, IL Metropolitan Statistical Area",MT,LAUMT1714010000000
760,761,MT2916020000000,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",MT,LAUMT2916020000000
761,762,MT1716060000000,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",MT,LAUMT1716060000000
766,767,MT1716580000000,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",MT,LAUMT1716580000000
771,772,MT1716980000000,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",MT,LAUMT1716980000000
783,784,MT1719180000000,19180,"Danville, IL Metropolitan Statistical Area",MT,LAUMT1719180000000
784,785,MT1719340000000,19340,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",MT,LAUMT1719340000000
787,788,MT1719500000000,19500,"Decatur, IL Metropolitan Statistical Area",MT,LAUMT1719500000000
808,809,MT1728100000000,28100,"Kankakee, IL Metropolitan Statistical Area",MT,LAUMT1728100000000
820,821,MT1737900000000,37900,"Peoria, IL Metropolitan Statistical Area",MT,LAUMT1737900000000
834,835,MT1740420000000,40420,"Rockford, IL Metropolitan Statistical Area",MT,LAUMT1740420000000
836,837,MT2941180000000,41180,"St. Louis, MO-IL Metropolitan Statistical Area",MT,LAUMT2941180000000
847,848,MT1744100000000,44100,"Springfield, IL Metropolitan Statistical Area",MT,LAUMT1744100000000
861,862,MT1814020000000,14020,"Bloomington, IN Metropolitan Statistical Area",MT,LAUMT1814020000000
867,868,MT3917140000000,17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",MT,LAUMT3917140000000
870,871,MT1818020000000,18020,"Columbus, IN Metropolitan Statistical Area",MT,LAUMT1818020000000
875,876,MT1821140000000,21140,"Elkhart-Goshen, IN Metropolitan Statistical Area",MT,LAUMT1821140000000
876,877,MT1821780000000,21780,"Evansville, IN-KY Metropolitan Statistical Area",MT,LAUMT1821780000000
879,880,MT1823060000000,23060,"Fort Wayne, IN Metropolitan Statistical Area",MT,LAUMT1823060000000
890,891,MT1826900000000,26900,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",MT,LAUMT1826900000000
905,906,MT1829020000000,29020,"Kokomo, IN Metropolitan Statistical Area",MT,LAUMT1829020000000
906,907,MT1829200000000,29200,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",MT,LAUMT1829200000000
911,912,MT2131140000000,31140,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",MT,LAUMT2131140000000
919,920,MT1833140000000,33140,"Michigan City-La Porte, IN Metropolitan Statistical Area",MT,LAUMT1833140000000
920,921,MT1834620000000,34620,"Muncie, IN Metropolitan Statistical Area",MT,LAUMT1834620000000
934,935,MT1843780000000,43780,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",MT,LAUMT1843780000000
938,939,MT1845460000000,45460,"Terre Haute, IN Metropolitan Statistical Area",MT,LAUMT1845460000000
952,953,MT1911180000000,11180,"Ames, IA Metropolitan Statistical Area",MT,LAUMT1911180000000
963,964,MT1916300000000,16300,"Cedar Rapids, IA Metropolitan Statistical Area",MT,LAUMT1916300000000
975,976,MT1919780000000,19780,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",MT,LAUMT1919780000000
980,981,MT1920220000000,20220,"Dubuque, IA Metropolitan Statistical Area",MT,LAUMT1920220000000
997,998,MT1926980000000,26980,"Iowa City, IA Metropolitan Statistical Area",MT,LAUMT1926980000000
1016,1017,MT3136540000000,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",MT,LAUMT3136540000000
