,0
81,"Denver-Aurora-Broomfield, CO Metro Area"
82,"Des Moines-West Des Moines, IA Metro Area"
83,"Detroit-Warren-Livonia, MI Metro Area"
84,"Dubuque, IA Metro Area"
85,"Duluth, MN-WI Metro Area"
86,"Durham-Chapel Hill, NC Metro Area"
87,"East Stroudsburg, PA Micro Area"
88,"Eau Claire, WI Metro Area"
89,"El Centro, CA Metro Area"
90,"El Paso, TX Metro Area"
91,"Elizabethtown, KY Metro Area"
92,"Elkhart-Goshen, IN Metro Area"
93,"Elmira, NY Metro Area"
94,"Erie, PA Metro Area"
95,"Eugene-Springfield, OR Metro Area"
96,"Evansville, IN-KY Metro Area"
97,"Fairbanks, AK Metro Area"
98,"Fargo, ND-MN Metro Area"
99,"Fayetteville, NC Metro Area"
100,"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
101,"Flagstaff, AZ Metro Area"
102,"Flint, MI Metro Area"
103,"Florence, SC Metro Area"
104,"Fond du Lac, WI Metro Area"
105,"Fort Collins-Loveland, CO Metro Area"
106,"Fort Smith, AR-OK Metro Area"
107,"Fort Wayne, IN Metro Area"
108,"Fresno, CA Metro Area"
109,"Gainesville, FL Metro Area"
110,"Gainesville, GA Metro Area"
111,"Glens Falls, NY Metro Area"
112,"Grand Forks, ND-MN Metro Area"
113,"Grand Junction, CO Metro Area"
114,"Grand Rapids-Wyoming, MI Metro Area"
115,"Great Falls, MT Metro Area"
116,"Greeley, CO Metro Area"
117,"Green Bay, WI Metro Area"
118,"Greensboro-High Point, NC Metro Area"
119,"Greenville-Mauldin-Easley, SC Metro Area"
120,"Gulfport-Biloxi, MS Metro Area"
121,"Hagerstown-Martinsburg, MD-WV Metro Area"
122,"Hanford-Corcoran, CA Metro Area"
123,"Harrisburg-Carlisle, PA Metro Area"
124,"Harrisonburg, VA Metro Area"
125,"Hartford-West Hartford-East Hartford, CT Metro Area"
126,"Hickory-Lenoir-Morganton, NC Metro Area"
127,"Holland-Grand Haven, MI Metro Area"
128,"Houma-Bayou Cane-Thibodaux, LA Metro Area"
129,"Houston-Sugar Land-Baytown, TX Metro Area"
130,"Huntington-Ashland, WV-KY-OH Metro Area"
131,"Huntsville, AL Metro Area"
132,"Idaho Falls, ID Metro Area"
133,"Indianapolis-Carmel, IN Metro Area"
134,"Iowa City, IA Metro Area"
135,"Ithaca, NY Metro Area"
136,"Jackson, MI Metro Area"
137,"Jackson, MS Metro Area"
138,"Jackson, TN Metro Area"
139,"Jacksonville, FL Metro Area"
140,"Janesville, WI Metro Area"
141,"Jefferson City, MO Metro Area"
142,"Johnson City, TN Metro Area"
143,"Johnstown, PA Metro Area"
144,"Jonesboro, AR Metro Area"
145,"Kahului-Wailuku, HI Micro Area"
146,"Kalamazoo-Portage, MI Metro Area"
147,"Kankakee-Bradley, IL Metro Area"
148,"Kansas City, MO-KS Metro Area"
149,"Kennewick-Pasco-Richland, WA Metro Area"
150,"Killeen-Temple-Fort Hood, TX Metro Area"
151,"Kingsport-Bristol-Bristol, TN-VA Metro Area"
152,"Knoxville, TN Metro Area"
153,"Kokomo, IN Metro Area"
154,"La Crosse, WI-MN Metro Area"
155,"Lafayette, IN Metro Area"
156,"Lafayette, LA Metro Area"
157,"Lakeland-Winter Haven, FL Metro Area"
158,"Lancaster, PA Metro Area"
159,"Lansing-East Lansing, MI Metro Area"
160,"Laredo, TX Metro Area"
161,"Las Cruces, NM Metro Area"
162,"Las Vegas-Paradise, NV Metro Area"
163,"Lawrence, KS Metro Area"
164,"Lawton, OK Metro Area"
165,"Lebanon, PA Metro Area"
166,"Lewiston-Auburn, ME Metro Area"
167,"Lexington-Fayette, KY Metro Area"
168,"Lima, OH Metro Area"
169,"Lincoln, NE Metro Area"
170,"Little Rock-North Little Rock-Conway, AR Metro Area"
171,"Logan, UT-ID Metro Area"
172,"Longview, WA Metro Area"
173,"Los Angeles-Long Beach-Santa Ana, CA Metro Area"
174,"Louisville/Jefferson County, KY-IN Metro Area"
175,"Lubbock, TX Metro Area"
176,"Lynchburg, VA Metro Area"
177,"Macon, GA Metro Area"
178,"Madison, WI Metro Area"
179,"Manchester-Nashua, NH Metro Area"
180,"Mansfield, OH Metro Area"
181,"Marion-Herrin, IL Micro Area"
182,"McAllen-Edinburg-Mission, TX Metro Area"
183,"Medford, OR Metro Area"
184,"Memphis, TN-MS-AR Metro Area"
185,"Merced, CA Metro Area"
186,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
187,"Milwaukee-Waukesha-West Allis, WI Metro Area"
188,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
189,"Missoula, MT Metro Area"
190,"Mobile, AL Metro Area"
191,"Modesto, CA Metro Area"
192,"Monroe, LA Metro Area"
193,"Montgomery, AL Metro Area"
194,"Morgantown, WV Metro Area"
195,"Mount Vernon-Anacortes, WA Metro Area"
196,"Muncie, IN Metro Area"
197,"Muskegon-Norton Shores, MI Metro Area"
198,"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area"
199,"Napa, CA Metro Area"
200,"Naples-Marco Island, FL Metro Area"
201,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
202,"New Haven-Milford, CT Metro Area"
203,"New Iberia, LA Micro Area"
204,"New Orleans-Metairie-Kenner, LA Metro Area"
205,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area"
206,"Niles-Benton Harbor, MI Metro Area"
207,"North Port-Bradenton-Sarasota, FL Metro Area"
208,"Norwich-New London, CT Metro Area"
209,"Ocala, FL Metro Area"
210,"Ocean City, NJ Metro Area"
211,"Odessa, TX Metro Area"
212,"Oklahoma City, OK Metro Area"
213,"Olympia, WA Metro Area"
214,"Omaha-Council Bluffs, NE-IA Metro Area"
215,"Orlando-Kissimmee-Sanford, FL Metro Area"
216,"Oshkosh-Neenah, WI Metro Area"
217,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
218,"Palm Bay-Melbourne-Titusville, FL Metro Area"
219,"Palm Coast, FL Metro Area"
220,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area"
221,"Parkersburg-Marietta-Vienna, WV-OH Metro Area"
222,"Pascagoula, MS Metro Area"
223,"Pensacola-Ferry Pass-Brent, FL Metro Area"
224,"Peoria, IL Metro Area"
225,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
226,"Phoenix-Mesa-Glendale, AZ Metro Area"
227,"Pittsburgh, PA Metro Area"
228,"Pittsfield, MA Metro Area"
229,"Pocatello, ID Metro Area"
230,"Port St. Lucie, FL Metro Area"
231,"Portland-South Portland-Biddeford, ME Metro Area"
232,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
233,"Poughkeepsie-Newburgh-Middletown, NY Metro Area"
234,"Providence-New Bedford-Fall River, RI-MA Metro Area"
235,"Pueblo, CO Metro Area"
236,"Racine, WI Metro Area"
237,"Raleigh-Cary, NC Metro Area"
238,"Rapid City, SD Metro Area"
239,"Reading, PA Metro Area"
240,"Redding, CA Metro Area"
241,"Reno-Sparks, NV Metro Area"
242,"Richmond, VA Metro Area"
243,"Riverside-San Bernardino-Ontario, CA Metro Area"
244,"Roanoke, VA Metro Area"
245,"Rochester, MN Metro Area"
246,"Rochester, NY Metro Area"
247,"Rockford, IL Metro Area"
248,"Rome, GA Metro Area"
249,"Sacramento--Arden-Arcade--Roseville, CA Metro Area"
250,"Saginaw-Saginaw Township North, MI Metro Area"
251,"Salem, OR Metro Area"
252,"Salinas, CA Metro Area"
253,"Salisbury, MD Metro Area"
254,"Salt Lake City, UT Metro Area"
255,"San Angelo, TX Metro Area"
256,"San Antonio-New Braunfels, TX Metro Area"
257,"San Diego-Carlsbad-San Marcos, CA Metro Area"
258,"San Francisco-Oakland-Fremont, CA Metro Area"
259,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
260,"San Juan-Caguas-Guaynabo, PR Metro Area"
261,"San Luis Obispo-Paso Robles, CA Metro Area"
262,"Santa Barbara-Santa Maria-Goleta, CA Metro Area"
263,"Santa Cruz-Watsonville, CA Metro Area"
264,"Santa Fe, NM Metro Area"
265,"Santa Rosa-Petaluma, CA Metro Area"
266,"Savannah, GA Metro Area"
267,"Scranton--Wilkes-Barre, PA Metro Area"
268,"Seaford, DE Micro Area"
269,"Seattle-Tacoma-Bellevue, WA Metro Area"
270,"Sebastian-Vero Beach, FL Metro Area"
271,"Sheboygan, WI Metro Area"
272,"Sherman-Denison, TX Metro Area"
273,"Shreveport-Bossier City, LA Metro Area"
274,"Sioux City, IA-NE-SD Metro Area"
275,"Sioux Falls, SD Metro Area"
276,"Somerset, PA Micro Area"
277,"South Bend-Mishawaka, IN-MI Metro Area"
278,"Spartanburg, SC Metro Area"
279,"Spokane, WA Metro Area"
280,"Springfield, IL Metro Area"
281,"Springfield, MA Metro Area"
282,"Springfield, MO Metro Area"
283,"Springfield, OH Metro Area"
284,"St. Cloud, MN Metro Area"
285,"St. Joseph, MO-KS Metro Area"
286,"St. Louis, MO-IL Metro Area"
287,"State College, PA Metro Area"
288,"Stockton, CA Metro Area"
289,"Sumter, SC Metro Area"
290,"Syracuse, NY Metro Area"
291,"Tallahassee, FL Metro Area"
292,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
293,"Terre Haute, IN Metro Area"
294,"Texarkana, TX-Texarkana, AR Metro Area"
295,"Thomasville-Lexington, NC Micro Area"
296,"Toledo, OH Metro Area"
297,"Topeka, KS Metro Area"
298,"Torrington, CT Micro Area"
299,"Tucson, AZ Metro Area"
300,"Tulsa, OK Metro Area"
301,"Tuscaloosa, AL Metro Area"
302,"Utica-Rome, NY Metro Area"
303,"Vallejo-Fairfield, CA Metro Area"
304,"Victoria, TX Metro Area"
305,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
306,"Visalia-Porterville, CA Metro Area"
307,"Waco, TX Metro Area"
308,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
309,"Waterloo-Cedar Falls, IA Metro Area"
310,"Wausau, WI Metro Area"
311,"Wenatchee-East Wenatchee, WA Metro Area"
312,"Wheeling, WV-OH Metro Area"
313,"Wichita, KS Metro Area"
314,"Williamsport, PA Metro Area"
315,"Wilmington, NC Metro Area"
316,"Winchester, VA-WV Metro Area"
317,"Winston-Salem, NC Metro Area"
318,"Worcester, MA Metro Area"
319,"Yakima, WA Metro Area"
320,"York-Hanover, PA Metro Area"
321,"Youngstown-Warren-Boardman, OH-PA Metro Area"
322,"Yuba City, CA Metro Area"
323,"Yuma, AZ Metro Area"
