,CBSA,MNAME,Year,POP_CENSUSTRACT
84,10780,"Alexandria, LA Metro Area",2005,
85,10780,"Alexandria, LA Metro Area",2006,
86,10780,"Alexandria, LA Metro Area",2007,
87,10780,"Alexandria, LA Metro Area",2008,
88,10780,"Alexandria, LA Metro Area",2009,
89,10780,"Alexandria, LA Metro Area",2010,
90,10780,"Alexandria, LA Metro Area",2011,
91,10780,"Alexandria, LA Metro Area",2012,
92,10780,"Alexandria, LA Metro Area",2013,
93,10780,"Alexandria, LA Metro Area",2014,
94,10780,"Alexandria, LA Metro Area",2015,
95,10780,"Alexandria, LA Metro Area",2016,
96,10780,"Alexandria, LA Metro Area",2017,
97,10780,"Alexandria, LA Metro Area",2018,0
98,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2005,194826
99,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006,193929
100,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2007,193032
101,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2008,192135
102,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2009,191238
103,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,190341
104,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2011,189444
105,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2012,189384
106,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2013,190118
107,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,190167
108,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,189783
109,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,189181
110,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,190441
111,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,191235.5
112,11020,"Altoona, PA Metro Area",2005,31811
113,11020,"Altoona, PA Metro Area",2006,31385
114,11020,"Altoona, PA Metro Area",2007,30959
115,11020,"Altoona, PA Metro Area",2008,30533
116,11020,"Altoona, PA Metro Area",2009,30107
117,11020,"Altoona, PA Metro Area",2010,29681
118,11020,"Altoona, PA Metro Area",2011,29255
119,11020,"Altoona, PA Metro Area",2012,29903
120,11020,"Altoona, PA Metro Area",2013,29467
121,11020,"Altoona, PA Metro Area",2014,29623
122,11020,"Altoona, PA Metro Area",2015,29372
123,11020,"Altoona, PA Metro Area",2016,29115
124,11020,"Altoona, PA Metro Area",2017,29024
125,11020,"Altoona, PA Metro Area",2018,28891.5
126,11100,"Amarillo, TX Metro Area",2005,32547
127,11100,"Amarillo, TX Metro Area",2006,32271
128,11100,"Amarillo, TX Metro Area",2007,31995
129,11100,"Amarillo, TX Metro Area",2008,31719
130,11100,"Amarillo, TX Metro Area",2009,31443
131,11100,"Amarillo, TX Metro Area",2010,31167
132,11100,"Amarillo, TX Metro Area",2011,30891
133,11100,"Amarillo, TX Metro Area",2012,30900
134,11100,"Amarillo, TX Metro Area",2013,31557
135,11100,"Amarillo, TX Metro Area",2014,31817
136,11100,"Amarillo, TX Metro Area",2015,32453
137,11100,"Amarillo, TX Metro Area",2016,32105
138,11100,"Amarillo, TX Metro Area",2017,32532
139,11100,"Amarillo, TX Metro Area",2018,32765.25
140,11180,"Ames, IA Metro Area",2005,13406
141,11180,"Ames, IA Metro Area",2006,14250
142,11180,"Ames, IA Metro Area",2007,15094
143,11180,"Ames, IA Metro Area",2008,15938
144,11180,"Ames, IA Metro Area",2009,16782
145,11180,"Ames, IA Metro Area",2010,17626
146,11180,"Ames, IA Metro Area",2011,18470
147,11180,"Ames, IA Metro Area",2012,18244
148,11180,"Ames, IA Metro Area",2013,18230
149,11180,"Ames, IA Metro Area",2014,18009
150,11180,"Ames, IA Metro Area",2015,18304
151,11180,"Ames, IA Metro Area",2016,18830
152,11180,"Ames, IA Metro Area",2017,19080
153,11180,"Ames, IA Metro Area",2018,19399
154,11260,"Anchorage, AK Metro Area",2005,128671
155,11260,"Anchorage, AK Metro Area",2006,125810
156,11260,"Anchorage, AK Metro Area",2007,122949
157,11260,"Anchorage, AK Metro Area",2008,120088
158,11260,"Anchorage, AK Metro Area",2009,117227
159,11260,"Anchorage, AK Metro Area",2010,114366
160,11260,"Anchorage, AK Metro Area",2011,111505
161,11260,"Anchorage, AK Metro Area",2012,113139
162,11260,"Anchorage, AK Metro Area",2013,113468
163,11260,"Anchorage, AK Metro Area",2014,113333
164,11260,"Anchorage, AK Metro Area",2015,113929
165,11260,"Anchorage, AK Metro Area",2016,113530
166,11260,"Anchorage, AK Metro Area",2017,112879
167,11260,"Anchorage, AK Metro Area",2018,112291
168,11300,"Anderson, IN Metro Area",2005,
169,11300,"Anderson, IN Metro Area",2006,
170,11300,"Anderson, IN Metro Area",2007,
171,11300,"Anderson, IN Metro Area",2008,
172,11300,"Anderson, IN Metro Area",2009,
173,11300,"Anderson, IN Metro Area",2010,
174,11300,"Anderson, IN Metro Area",2011,
175,11300,"Anderson, IN Metro Area",2012,
176,11300,"Anderson, IN Metro Area",2018,0
177,11460,"Ann Arbor, MI Metro Area",2005,77020
178,11460,"Ann Arbor, MI Metro Area",2006,78060
179,11460,"Ann Arbor, MI Metro Area",2007,79100
180,11460,"Ann Arbor, MI Metro Area",2008,80140
181,11460,"Ann Arbor, MI Metro Area",2009,81180
182,11460,"Ann Arbor, MI Metro Area",2010,82220
183,11460,"Ann Arbor, MI Metro Area",2011,83260
184,11460,"Ann Arbor, MI Metro Area",2012,83507
185,11460,"Ann Arbor, MI Metro Area",2013,83130
186,11460,"Ann Arbor, MI Metro Area",2014,84947
187,11460,"Ann Arbor, MI Metro Area",2015,84696
188,11460,"Ann Arbor, MI Metro Area",2016,87037
189,11460,"Ann Arbor, MI Metro Area",2017,88090
190,11460,"Ann Arbor, MI Metro Area",2018,89465
191,11540,"Appleton, WI Metro Area",2005,14273
192,11540,"Appleton, WI Metro Area",2006,14589
193,11540,"Appleton, WI Metro Area",2007,14905
194,11540,"Appleton, WI Metro Area",2008,15221
195,11540,"Appleton, WI Metro Area",2009,15537
196,11540,"Appleton, WI Metro Area",2010,15853
197,11540,"Appleton, WI Metro Area",2011,16169
198,11540,"Appleton, WI Metro Area",2012,15820
199,11540,"Appleton, WI Metro Area",2013,15642
200,11540,"Appleton, WI Metro Area",2014,16002
201,11540,"Appleton, WI Metro Area",2015,15580
202,11540,"Appleton, WI Metro Area",2016,16175
203,11540,"Appleton, WI Metro Area",2017,16151
204,11540,"Appleton, WI Metro Area",2018,16281.75
205,11700,"Asheville, NC Metro Area",2005,7843
206,11700,"Asheville, NC Metro Area",2006,7260
207,11700,"Asheville, NC Metro Area",2007,6677
208,11700,"Asheville, NC Metro Area",2008,6094
209,11700,"Asheville, NC Metro Area",2009,5511
210,11700,"Asheville, NC Metro Area",2010,4928
211,11700,"Asheville, NC Metro Area",2011,4345
212,11700,"Asheville, NC Metro Area",2012,4493
213,11700,"Asheville, NC Metro Area",2013,4639
214,11700,"Asheville, NC Metro Area",2014,4678
215,11700,"Asheville, NC Metro Area",2015,5191
216,11700,"Asheville, NC Metro Area",2016,4883
217,11700,"Asheville, NC Metro Area",2017,4836
218,11700,"Asheville, NC Metro Area",2018,4723.75
219,12020,"Athens-Clarke County, GA Metro Area",2005,12669
220,12020,"Athens-Clarke County, GA Metro Area",2006,14345
221,12020,"Athens-Clarke County, GA Metro Area",2007,16021
222,12020,"Athens-Clarke County, GA Metro Area",2008,17697
223,12020,"Athens-Clarke County, GA Metro Area",2009,19373
224,12020,"Athens-Clarke County, GA Metro Area",2010,21049
225,12020,"Athens-Clarke County, GA Metro Area",2011,22725
226,12020,"Athens-Clarke County, GA Metro Area",2012,23023
227,12020,"Athens-Clarke County, GA Metro Area",2013,22928
228,12020,"Athens-Clarke County, GA Metro Area",2014,22794
229,12020,"Athens-Clarke County, GA Metro Area",2015,22293
230,12020,"Athens-Clarke County, GA Metro Area",2016,22686
231,12020,"Athens-Clarke County, GA Metro Area",2017,22602
232,12020,"Athens-Clarke County, GA Metro Area",2018,22637.25
233,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2005,596068
234,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2006,578444
235,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2007,560820
236,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2008,543196
237,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2009,525572
238,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2010,507948
239,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2011,490324
240,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2012,499841
241,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2013,510298
242,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2014,522992
243,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2015,534812
244,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2016,543460
245,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2017,548716
246,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2018,554820
247,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2005,596068
248,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2006,578444
249,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2007,560820
250,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2008,543196
251,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2009,525572
252,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2010,507948
253,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2011,490324
254,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2012,499841
255,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2013,510298
256,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2014,522992
257,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2015,534812
258,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2016,543460
259,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2017,548716
260,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2018,554820
261,12100,"Atlantic City-Hammonton, NJ Metro Area",2005,39905
262,12100,"Atlantic City-Hammonton, NJ Metro Area",2006,40248
263,12100,"Atlantic City-Hammonton, NJ Metro Area",2007,40591
264,12100,"Atlantic City-Hammonton, NJ Metro Area",2008,40934
265,12100,"Atlantic City-Hammonton, NJ Metro Area",2009,41277
266,12100,"Atlantic City-Hammonton, NJ Metro Area",2010,41620
267,12100,"Atlantic City-Hammonton, NJ Metro Area",2011,41963
268,12100,"Atlantic City-Hammonton, NJ Metro Area",2012,41318
269,12100,"Atlantic City-Hammonton, NJ Metro Area",2013,41507
270,12100,"Atlantic City-Hammonton, NJ Metro Area",2014,41679
271,12100,"Atlantic City-Hammonton, NJ Metro Area",2015,41810
272,12100,"Atlantic City-Hammonton, NJ Metro Area",2016,42030
273,12100,"Atlantic City-Hammonton, NJ Metro Area",2017,42225
274,12100,"Atlantic City-Hammonton, NJ Metro Area",2018,42426.25
275,12220,"Auburn-Opelika, AL Metro Area",2005,4875
276,12220,"Auburn-Opelika, AL Metro Area",2006,4650
277,12220,"Auburn-Opelika, AL Metro Area",2007,4425
278,12220,"Auburn-Opelika, AL Metro Area",2008,4200
279,12220,"Auburn-Opelika, AL Metro Area",2009,3975
280,12220,"Auburn-Opelika, AL Metro Area",2010,3750
281,12220,"Auburn-Opelika, AL Metro Area",2011,3525
282,12220,"Auburn-Opelika, AL Metro Area",2012,3635
283,12220,"Auburn-Opelika, AL Metro Area",2013,3601
284,12220,"Auburn-Opelika, AL Metro Area",2014,3354
285,12220,"Auburn-Opelika, AL Metro Area",2015,3310
286,12220,"Auburn-Opelika, AL Metro Area",2016,3292
287,12220,"Auburn-Opelika, AL Metro Area",2017,2900
288,12220,"Auburn-Opelika, AL Metro Area",2018,2601.5
289,12260,"Augusta-Richmond County, GA-SC Metro Area",2005,8450
290,12260,"Augusta-Richmond County, GA-SC Metro Area",2006,8583
291,12260,"Augusta-Richmond County, GA-SC Metro Area",2007,8716
292,12260,"Augusta-Richmond County, GA-SC Metro Area",2008,8849
293,12260,"Augusta-Richmond County, GA-SC Metro Area",2009,8982
294,12260,"Augusta-Richmond County, GA-SC Metro Area",2010,9115
295,12260,"Augusta-Richmond County, GA-SC Metro Area",2011,9248
296,12260,"Augusta-Richmond County, GA-SC Metro Area",2012,9425
297,12260,"Augusta-Richmond County, GA-SC Metro Area",2013,8907
298,12260,"Augusta-Richmond County, GA-SC Metro Area",2014,8845
299,12260,"Augusta-Richmond County, GA-SC Metro Area",2015,8607
300,12260,"Augusta-Richmond County, GA-SC Metro Area",2016,8952
301,12260,"Augusta-Richmond County, GA-SC Metro Area",2017,9207
302,12260,"Augusta-Richmond County, GA-SC Metro Area",2018,9484.5
303,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2005,400997
304,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2006,399730
305,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2007,398463
306,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2008,397196
307,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2009,395929
308,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2010,394662
309,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2011,393395
310,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2012,404087
311,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2013,408119
312,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2014,418023
313,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2015,429200
314,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2016,433514
315,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2017,436722
316,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2018,440206.5
317,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2005,400997
318,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2006,399730
319,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2007,398463
320,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2008,397196
321,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2009,395929
322,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2010,394662
323,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2011,393395
324,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2012,404087
325,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2013,408119
326,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2014,418023
327,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2015,429200
328,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2016,433514
329,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2017,436722
330,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2018,440206.5
331,12540,"Bakersfield-Delano, CA Metro Area",2005,249609
332,12540,"Bakersfield-Delano, CA Metro Area",2006,249652
333,12540,"Bakersfield-Delano, CA Metro Area",2007,249695
334,12540,"Bakersfield-Delano, CA Metro Area",2008,249738
335,12540,"Bakersfield-Delano, CA Metro Area",2009,249781
336,12540,"Bakersfield-Delano, CA Metro Area",2010,249824
337,12540,"Bakersfield-Delano, CA Metro Area",2011,249867
338,12540,"Bakersfield-Delano, CA Metro Area",2012,251713
339,12540,"Bakersfield-Delano, CA Metro Area",2013,251301
340,12540,"Bakersfield-Delano, CA Metro Area",2014,254451
341,12540,"Bakersfield-Delano, CA Metro Area",2015,254882
342,12540,"Bakersfield-Delano, CA Metro Area",2016,254644
343,12540,"Bakersfield-Delano, CA Metro Area",2017,255560
344,12540,"Bakersfield-Delano, CA Metro Area",2018,256187.5
345,12580,"Baltimore-Towson, MD Metro Area",2005,1023098
346,12580,"Baltimore-Towson, MD Metro Area",2006,1019569
347,12580,"Baltimore-Towson, MD Metro Area",2007,1016040
348,12580,"Baltimore-Towson, MD Metro Area",2008,1012511
349,12580,"Baltimore-Towson, MD Metro Area",2009,1008982
350,12580,"Baltimore-Towson, MD Metro Area",2010,1005453
351,12580,"Baltimore-Towson, MD Metro Area",2011,1001924
352,12580,"Baltimore-Towson, MD Metro Area",2012,1008750
353,12580,"Baltimore-Towson, MD Metro Area",2013,1013371
354,12580,"Baltimore-Towson, MD Metro Area",2014,1017774
355,12580,"Baltimore-Towson, MD Metro Area",2015,1023081
356,12580,"Baltimore-Towson, MD Metro Area",2016,1025569
357,12580,"Baltimore-Towson, MD Metro Area",2017,1024065
358,12580,"Baltimore-Towson, MD Metro Area",2018,1023559
359,12580,"Baltimore-Towson, MD Metro Area",2005,1023098
360,12580,"Baltimore-Towson, MD Metro Area",2006,1019569
361,12580,"Baltimore-Towson, MD Metro Area",2007,1016040
362,12580,"Baltimore-Towson, MD Metro Area",2008,1012511
363,12580,"Baltimore-Towson, MD Metro Area",2009,1008982
364,12580,"Baltimore-Towson, MD Metro Area",2010,1005453
365,12580,"Baltimore-Towson, MD Metro Area",2011,1001924
366,12580,"Baltimore-Towson, MD Metro Area",2012,1008750
367,12580,"Baltimore-Towson, MD Metro Area",2013,1013371
368,12580,"Baltimore-Towson, MD Metro Area",2014,1017774
369,12580,"Baltimore-Towson, MD Metro Area",2015,1023081
370,12580,"Baltimore-Towson, MD Metro Area",2016,1025569
371,12580,"Baltimore-Towson, MD Metro Area",2017,1024065
372,12580,"Baltimore-Towson, MD Metro Area",2018,1023559
373,12620,"Bangor, ME Metro Area",2005,4549
374,12620,"Bangor, ME Metro Area",2006,5255
375,12620,"Bangor, ME Metro Area",2007,5961
376,12620,"Bangor, ME Metro Area",2008,6667
377,12620,"Bangor, ME Metro Area",2009,7373
378,12620,"Bangor, ME Metro Area",2010,8079
379,12620,"Bangor, ME Metro Area",2011,8785
380,12620,"Bangor, ME Metro Area",2012,9272
381,12620,"Bangor, ME Metro Area",2013,8938
382,12620,"Bangor, ME Metro Area",2014,8556
383,12620,"Bangor, ME Metro Area",2015,8292
384,12620,"Bangor, ME Metro Area",2016,8222
385,12620,"Bangor, ME Metro Area",2017,7659
386,12620,"Bangor, ME Metro Area",2018,7219.25
387,12700,"Barnstable Town, MA Metro Area",2005,
388,12700,"Barnstable Town, MA Metro Area",2006,
389,12700,"Barnstable Town, MA Metro Area",2007,
390,12700,"Barnstable Town, MA Metro Area",2008,
391,12700,"Barnstable Town, MA Metro Area",2009,
392,12700,"Barnstable Town, MA Metro Area",2010,
393,12700,"Barnstable Town, MA Metro Area",2011,
394,12700,"Barnstable Town, MA Metro Area",2012,
395,12700,"Barnstable Town, MA Metro Area",2013,
396,12700,"Barnstable Town, MA Metro Area",2014,
397,12700,"Barnstable Town, MA Metro Area",2015,
398,12700,"Barnstable Town, MA Metro Area",2016,
399,12700,"Barnstable Town, MA Metro Area",2017,
400,12700,"Barnstable Town, MA Metro Area",2018,0
401,12940,"Baton Rouge, LA Metro Area",2005,85733
402,12940,"Baton Rouge, LA Metro Area",2006,84060
403,12940,"Baton Rouge, LA Metro Area",2007,82387
404,12940,"Baton Rouge, LA Metro Area",2008,80714
405,12940,"Baton Rouge, LA Metro Area",2009,79041
406,12940,"Baton Rouge, LA Metro Area",2010,77368
407,12940,"Baton Rouge, LA Metro Area",2011,75695
408,12940,"Baton Rouge, LA Metro Area",2012,75885
409,12940,"Baton Rouge, LA Metro Area",2013,75308
410,12940,"Baton Rouge, LA Metro Area",2014,77232
411,12940,"Baton Rouge, LA Metro Area",2015,76070
412,12940,"Baton Rouge, LA Metro Area",2016,75688
413,12940,"Baton Rouge, LA Metro Area",2017,75517
414,12940,"Baton Rouge, LA Metro Area",2018,75293.25
415,12980,"Battle Creek, MI Metro Area",2005,2239
416,12980,"Battle Creek, MI Metro Area",2006,2325
417,12980,"Battle Creek, MI Metro Area",2007,2411
418,12980,"Battle Creek, MI Metro Area",2008,2497
419,12980,"Battle Creek, MI Metro Area",2009,2583
420,12980,"Battle Creek, MI Metro Area",2010,2669
421,12980,"Battle Creek, MI Metro Area",2011,2755
422,12980,"Battle Creek, MI Metro Area",2012,2562
423,12980,"Battle Creek, MI Metro Area",2013,2541
424,12980,"Battle Creek, MI Metro Area",2014,2492
425,12980,"Battle Creek, MI Metro Area",2015,2656
426,12980,"Battle Creek, MI Metro Area",2016,2718
427,12980,"Battle Creek, MI Metro Area",2017,2631
428,12980,"Battle Creek, MI Metro Area",2018,2581.25
429,13020,"Bay City, MI Metro Area",2005,7310
430,13020,"Bay City, MI Metro Area",2006,7266
431,13020,"Bay City, MI Metro Area",2007,7222
432,13020,"Bay City, MI Metro Area",2008,7178
433,13020,"Bay City, MI Metro Area",2009,7134
434,13020,"Bay City, MI Metro Area",2010,7090
435,13020,"Bay City, MI Metro Area",2011,7046
436,13020,"Bay City, MI Metro Area",2012,7167
437,13020,"Bay City, MI Metro Area",2013,6926
438,13020,"Bay City, MI Metro Area",2014,7006
439,13020,"Bay City, MI Metro Area",2015,6988
440,13020,"Bay City, MI Metro Area",2016,7136
441,13020,"Bay City, MI Metro Area",2017,6840
442,13020,"Bay City, MI Metro Area",2018,6655
443,13140,"Beaumont-Port Arthur, TX Metro Area",2005,8294
444,13140,"Beaumont-Port Arthur, TX Metro Area",2006,7992
445,13140,"Beaumont-Port Arthur, TX Metro Area",2007,7690
446,13140,"Beaumont-Port Arthur, TX Metro Area",2008,7388
447,13140,"Beaumont-Port Arthur, TX Metro Area",2009,7086
448,13140,"Beaumont-Port Arthur, TX Metro Area",2010,6784
449,13140,"Beaumont-Port Arthur, TX Metro Area",2011,6482
450,13140,"Beaumont-Port Arthur, TX Metro Area",2012,6825
451,13140,"Beaumont-Port Arthur, TX Metro Area",2013,6329
452,13140,"Beaumont-Port Arthur, TX Metro Area",2014,6577
453,13140,"Beaumont-Port Arthur, TX Metro Area",2015,6294
454,13140,"Beaumont-Port Arthur, TX Metro Area",2016,6365
455,13140,"Beaumont-Port Arthur, TX Metro Area",2017,6387
456,13140,"Beaumont-Port Arthur, TX Metro Area",2018,6421.25
457,13380,"Bellingham, WA Metro Area",2005,36290
458,13380,"Bellingham, WA Metro Area",2006,36224
459,13380,"Bellingham, WA Metro Area",2007,36158
460,13380,"Bellingham, WA Metro Area",2008,36092
461,13380,"Bellingham, WA Metro Area",2009,36026
462,13380,"Bellingham, WA Metro Area",2010,35960
463,13380,"Bellingham, WA Metro Area",2011,35894
464,13380,"Bellingham, WA Metro Area",2012,35588
465,13380,"Bellingham, WA Metro Area",2013,35608
466,13380,"Bellingham, WA Metro Area",2014,35819
467,13380,"Bellingham, WA Metro Area",2015,36140
468,13380,"Bellingham, WA Metro Area",2016,36375
469,13380,"Bellingham, WA Metro Area",2017,37268
470,13380,"Bellingham, WA Metro Area",2018,37996.5
471,13460,"Bend, OR Metro Area",2005,11299
472,13460,"Bend, OR Metro Area",2006,11184
473,13460,"Bend, OR Metro Area",2007,11069
474,13460,"Bend, OR Metro Area",2008,10954
475,13460,"Bend, OR Metro Area",2009,10839
476,13460,"Bend, OR Metro Area",2010,10724
477,13460,"Bend, OR Metro Area",2011,10609
