5 digit NTD ID,4 digit NTD ID,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY, Fares FY , Operating Expenses FY , Average Cost per Trip FY , Average Fares per Trip FY 
00001,0001,King County Department of Transportation - Metro Transit Division,DR,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"9,725,896","870,776",11.17," $957,269 "," $58,765,608 ", $67.49 , $1.10 
00001,0001,King County Department of Transportation - Metro Transit Division,DT,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"1,532,467","110,665",13.85," $440,458 "," $1,344,084 ", $12.15 , $3.98 
00001,0001,King County Department of Transportation,FB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"2,976,252","601,942",4.94," $2,477,371 "," $5,091,238 ", $8.46 , $4.12 
00001,0001,King County Department of Transportation - Metro Transit Division,LR,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,MB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"480,196,177","100,924,131",4.76," $139,001,364 "," $468,335,938 ", $4.64 , $1.38 
00001,0001,King County Department of Transportation - Metro Transit Division,MB,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"3,937,786","978,883",4.02," $1,229,557 "," $9,226,895 ", $9.43 , $1.26 
00001,0001,King County Department of Transportation - Metro Transit Division,SR,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"1,555,281","1,358,297",1.15," $1,250,080 "," $8,986,612 ", $6.62 , $0.92 
00001,0001,King County Department of Transportation - Metro Transit Division,TB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"34,676,186","18,999,529",1.83," $22,872,383 "," $64,943,077 ", $3.42 , $1.20 
00001,0001,King County Department of Transportation - Metro Transit Division,VP,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,117,125",2016,12,2016,"68,191,343","3,540,538",19.26," $7,293,271 "," $9,042,386 ", $2.55 , $2.06 
00002,0002,Spokane Transit Authority,DR,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"409,271",2016,12,2016,"1,862,502","226,888",8.21," $455,855 "," $8,740,113 ", $38.52 , $2.01 
