X,metro,population,zerovehiclehh,densepop,percentdense,state,totalopex,totalvoms,totalvrm,totalvrh,rail,11-cluster,5-cluster,8-group
1,Akron,703168,0.08363789,134915,0.191867377,OH,38668376.76,124.798275,4395640.78,342506.0448,0,1,1,H
2,Albany,154830,0.10429968,0,0,GA,2506844,8,597007,34354,0,1,1,H
3,Albany-Schenectady-Troy,879291,0.096511994,181891,0.206860982,NY,61983843,205.4166667,7980016,679558,0,1,1,H
4,Albuquerque,904486,0.058683012,324610,0.358888916,NM,44644137,140,5779759,417453,0,2,2,G
5,Allentown-Bethlehem-Easton,830737,0.081315839,216259,0.260321859,NJ,24372742.28,65.91163333,2714842.465,215724.0454,0,1,1,H
6,Altoona,125917,0.09439887,25683,0.203967693,PA,4257083,20.16666667,496453,39483,0,1,1,H
7,Ames,94834,0.058641637,19994,0.210831558,IA,9534245.47,66.61946667,1326555.395,127401.008,0,2,2,G
8,Anchorage,398000,0.051064738,109187,0.274339196,AK,23154945,43,1915823,156031,0,2,2,G
9,Ann Arbor,358082,0.084047248,89311,0.249414938,MI,32881085.17,100.4472333,4100200.981,339090.7129,0,1,1,H
10,Appleton,231452,0.036508836,19046,0.0822892,WI,3804218.527,22.0038,754281.7464,47688.6228,0,3,3,F
11,Asheville,441724,0.054369175,1469,0.003325606,NC,5939817.342,19.4844,1107064.639,72026.3328,0,4,3,E
12,Athens-Clarke County,200213,0.065642916,8883,0.044367748,GA,11460700.12,64.98570833,1731895.255,180893.2525,0,4,3,E
13,Atlanta-Sandy Springs-Roswell,5612777,0.061786307,605254,0.107835034,GA,285300730,703.7232667,33441168.58,2464446.513,1,5,4,B
14,Augusta-Richmond County,584964,0.066706748,0,0,SC,3419653,12,552821,42870,0,4,3,E
15,Austin-Round Rock,1942615,0.046079262,483778,0.24903442,TX,151634125,403.5076,15543210.94,1295990.232,0,3,3,F
16,Bakersfield,871337,0.070314138,223543,0.256551713,CA,26270843,67.5,3885076,308366,0,2,2,G
17,Baltimore-Columbia-Towson,2780873,0.111440278,1086301,0.390633085,MD,321040034.8,905.3668667,27018705.6,2028479.049,1,6,4,B
18,Barnstable Town,214703,0.055770474,0,0,MA,11103844.42,44.49358333,1240274.441,108526.6234,0,4,3,E
19,Baton Rouge,824667,0.061907971,60018,0.072778467,LA,24794572,59.16666667,3187782,244192,0,4,3,E
20,Bay City,106107,0.081507069,15222,0.143458961,MI,5311676,38,1011681,49086,0,7,3,D
21,Beaumont-Port Arthur,406506,0.06989954,21409,0.052665889,TX,4133213,12,714162,52127,0,4,3,E
22,Bellingham,209729,0.074106074,22875,0.109069323,WA,18163451,42.66666667,1831845,131757,0,7,3,D
23,Bend-Redmond,170813,0.037639953,0,0,OR,3649915,22.08333333,866696,52420,0,4,3,E
24,Billings,166414,0.048709322,33398,0.200692249,MT,3578127,20,579873,37044,0,3,3,F
25,Binghamton,247030,0.110307488,52849,0.213937578,NY,7977800.118,30.85393333,1150548.098,97032.338,0,1,1,H
26,Birmingham-Hoover,1141309,0.063932287,73066,0.064019472,AL,29296453,70,2873071,228180,0,4,3,E
27,Blacksburg-Christiansburg-Radford,181288,0.056817036,7129,0.039324169,VA,6009145,27.83333333,766737,76164,0,4,3,E
29,Bloomington,164330,0.068263892,21130,0.12858273,IN,6581792,27.66666667,995276,94614,0,7,3,D
28,Bloomington,189576,0.059193417,42722,0.22535553,IL,8197286,26.33333333,1292349,101253,0,2,2,G
30,Boise City,663680,0.042614839,82548,0.124379219,ID,9571214,40,1481288,101086,0,3,3,F
31,Boston-Cambridge-Newton,4728844,0.13162838,1846308,0.390435379,MA,474128622.5,1001.712008,29541619.04,2790452.727,1,8,5,A
32,Bremerton-Silverdale,257488,0.05578626,14525,0.056410396,WA,20268077,89.25,2059850,123781,0,4,3,E
33,Bridgeport-Stamford-Norwalk,941618,0.080463233,312364,0.331731127,CT,40457029.16,132.9889333,4701478.398,399054.5696,0,1,1,H
